Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,5.95,5.95,5.76,5.79,1135400,5.504522
2013-03-01,4.95,6.03,4.95,5.95,727900,5.656633
2013-02-01,5.43,5.54,4.71,5.02,1134500,4.772487
2013-01-02,4.81,5.73,4.74,5.38,927600,5.114737
2012-12-03,4.25,4.74,4.02,4.67,741500,4.439744
2012-11-01,4.38,4.54,3.90,4.20,712500,3.992917
2012-10-01,4.79,4.82,4.23,4.40,848900,4.183056
2012-09-04,4.65,5.43,4.54,4.74,806300,4.506292
2012-08-01,4.86,5.11,4.56,4.64,418800,4.411223
2012-07-02,4.75,5.17,4.35,4.84,683600,4.601362
2012-06-01,4.06,4.75,3.85,4.70,780500,4.468265
2012-05-01,4.24,4.74,3.89,4.15,989000,3.945383
2012-04-02,3.59,4.39,3.59,4.22,1047000,4.011931
2012-03-01,3.86,3.86,3.34,3.60,741800,3.422501
2012-02-01,3.84,4.44,3.60,3.84,1273700,3.650667
2012-01-03,3.16,4.09,3.00,3.81,1109200,3.622146
2011-12-01,2.61,3.06,2.46,3.05,824500,2.899619
2011-11-01,2.80,3.49,2.40,2.63,1339500,2.500327
2011-10-03,2.29,3.13,1.91,3.01,1401500,2.861591
2011-09-01,3.28,3.43,2.01,2.33,1661100,2.215118
2011-08-01,5.25,5.25,2.50,3.43,2239100,3.260883
2011-07-01,5.36,6.06,5.01,5.14,848900,4.88657
2011-06-01,6.20,6.23,5.08,5.33,1016300,5.067202
2011-05-02,6.36,6.43,5.71,6.23,1049600,5.922828
2011-04-01,6.19,6.68,5.89,6.36,1669200,6.046418
2011-03-01,7.59,7.61,5.76,6.13,1962200,5.827758
2011-02-01,7.13,8.06,6.93,7.57,615900,7.196758
2011-01-03,7.12,8.31,6.87,7.03,855200,6.683383
2010-12-01,6.08,7.48,6.02,7.04,594100,6.69289
2010-11-01,6.14,6.75,5.56,5.93,884200,5.637619
2010-10-01,4.63,6.20,4.53,6.15,1073800,5.846772
2010-09-01,4.09,4.79,4.01,4.60,1112900,4.373195
2010-08-02,6.10,6.16,3.91,3.98,1402900,3.783765
2010-07-01,4.92,6.15,4.43,5.93,1809400,5.637619
2010-06-01,6.66,6.88,4.95,4.99,2867700,4.743966
2010-05-03,8.24,8.74,5.80,6.76,1133000,6.426696
2010-04-01,5.80,8.99,5.63,8.11,1135500,7.710133
2010-03-01,3.82,6.42,3.79,5.70,1090900,5.418959
2010-02-01,3.80,4.35,3.53,3.77,330400,3.584119
2010-01-04,3.70,4.24,3.49,3.78,498300,3.593626
2009-12-01,3.44,3.86,3.33,3.60,441900,3.422501
2009-11-02,3.18,3.86,2.85,3.37,578300,3.203841
2009-10-01,4.47,4.90,2.93,3.15,793200,2.994688
2009-09-01,4.01,5.31,3.34,4.53,871100,4.306647
2009-08-03,2.35,4.17,2.35,4.11,835200,3.907355
2009-07-01,2.51,2.66,1.86,2.35,484700,2.234132
2009-06-01,3.19,3.29,1.89,2.46,719500,2.338709
2009-05-01,2.00,3.60,1.86,3.12,1207800,2.966167
2009-04-01,1.30,2.16,1.22,1.98,746300,1.882375
2009-03-02,0.80,1.68,0.72,1.36,1722400,1.292945
2009-02-02,1.54,1.55,0.77,0.81,1155400,0.770063
2009-01-02,1.78,2.19,1.43,1.45,1139500,1.378507
2008-12-01,1.67,2.35,1.04,1.84,1728000,1.749278
2008-11-03,3.11,3.54,0.66,1.69,1890500,1.606674
2008-10-01,7.11,7.12,1.89,3.01,1606800,2.861591
2008-09-02,8.25,10.19,6.27,7.16,1176800,6.468879
2008-08-01,8.01,8.82,6.56,8.01,1242600,7.236833
2008-07-01,10.41,10.67,6.95,7.99,1704400,7.218762
2008-06-02,14.76,14.76,10.39,10.50,1172900,9.093554
2008-05-01,12.65,15.87,12.57,14.86,801300,12.869543
2008-04-01,12.21,13.26,12.06,12.59,907800,10.903604
2008-03-03,13.06,13.62,11.95,12.03,1429300,10.136812
2008-02-01,13.63,14.65,11.90,12.62,719100,10.633963
2008-01-02,15.64,15.69,12.00,13.49,1032000,11.367048
2007-12-03,17.43,18.889999,15.06,15.59,621100,13.136567
2007-11-01,20.629999,20.90,16.299999,17.51,664100,14.442575
2007-10-01,19.959999,22.74,19.32,20.940001,530700,17.271702
2007-09-04,21.959999,22.99,19.76,19.93,559000,16.221766
2007-08-01,21.959999,23.48,19.00,21.940001,864800,17.85778
2007-07-02,26.26,29.50,21.73,21.959999,952000,17.874058
2007-06-01,26.360001,28.42,23.280001,26.030001,898200,20.955065
2007-05-01,25.629999,27.00,24.18,26.190001,615100,21.08387
