Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,8.73,8.74,8.70,8.74,7400,6.238301
2013-03-01,8.40,8.96,8.31,8.73,39100,6.231164
2013-02-01,8.37,9.10,8.27,8.36,42500,5.967071
2013-01-02,7.87,8.56,7.87,8.30,35800,5.815271
2012-12-03,8.15,8.20,7.58,7.80,45200,5.464953
2012-11-01,8.33,8.63,7.26,8.07,41200,5.654124
2012-10-01,7.95,8.33,7.80,8.33,40000,5.719422
2012-09-04,7.82,7.99,6.93,7.87,39700,5.403584
2012-08-01,7.48,8.19,7.35,7.88,47300,5.41045
2012-07-02,7.43,7.76,7.32,7.47,31700,5.024721
2012-06-01,7.04,7.53,6.85,7.46,27400,5.017994
2012-05-01,7.33,7.40,6.93,7.09,38700,4.769113
2012-04-02,7.13,7.42,7.04,7.31,30700,4.80828
2012-03-01,7.34,7.34,6.90,7.12,31700,4.683305
2012-02-01,7.08,7.36,6.84,7.28,36100,4.788548
2012-01-03,6.43,7.15,6.39,7.00,34800,4.503455
2011-12-01,6.23,6.57,6.06,6.30,42600,4.05311
2011-11-01,6.16,6.51,6.00,6.20,35500,3.988774
2011-10-03,5.93,6.78,5.11,6.43,29200,4.031013
2011-09-01,6.71,6.71,5.83,5.94,26200,3.723829
2011-08-01,6.92,6.98,5.68,6.68,57100,4.18774
2011-07-01,7.50,7.75,6.26,6.80,46400,4.153487
2011-06-01,7.69,7.84,7.01,7.49,31800,4.574944
2011-05-02,7.98,7.98,7.52,7.65,31600,4.672673
2011-04-01,8.28,8.36,7.83,7.88,33400,4.717267
2011-03-01,8.13,8.30,7.40,8.29,38500,4.962708
2011-02-01,7.71,8.47,7.71,8.05,37600,4.819035
2011-01-03,7.66,8.38,7.65,7.76,22400,4.559197
2010-12-01,7.76,8.06,7.52,7.62,39600,4.476943
2010-11-01,7.64,7.92,7.15,7.50,24200,4.406441
2010-10-01,7.14,7.72,7.08,7.55,31000,4.342526
2010-09-01,6.57,7.38,6.57,7.18,26600,4.129714
2010-08-02,6.88,7.14,6.35,6.50,24700,3.738599
2010-07-01,6.46,7.10,6.14,6.82,24000,3.835295
2010-06-01,7.13,7.70,6.39,6.52,36100,3.666587
2010-05-03,7.67,7.75,5.83,6.94,50800,3.902778
2010-04-01,7.01,8.17,7.01,7.70,40500,4.237647
2010-03-01,6.11,7.14,6.08,7.08,43900,3.896434
2010-02-01,5.80,6.08,5.31,6.08,44100,3.34609
2010-01-04,5.98,6.62,5.79,5.86,35700,3.147076
2009-12-01,5.75,6.28,5.47,5.98,39500,3.211522
2009-11-02,5.29,5.68,5.04,5.43,31000,2.916147
2009-10-01,5.40,5.72,5.10,5.16,23300,2.701243
2009-09-01,4.98,5.61,4.63,5.36,34500,2.805942
2009-08-03,5.00,5.57,4.81,5.05,35600,2.643658
2009-07-01,4.54,4.99,3.82,4.95,29700,2.519754
2009-06-01,4.06,4.92,3.94,4.55,27700,2.316138
2009-05-01,3.74,4.58,3.73,4.09,30900,2.081979
2009-04-01,2.88,3.97,2.88,3.76,34700,1.849736
2009-03-02,2.49,3.02,1.81,2.90,45500,1.426658
2009-02-02,3.97,4.25,2.47,2.54,43300,1.249556
2009-01-02,3.98,4.99,3.66,4.07,45200,1.885758
2008-12-01,3.27,4.60,3.00,3.93,64000,1.820892
2008-11-03,5.38,6.17,2.16,3.29,48900,1.52436
2008-10-01,7.17,9.40,3.39,5.31,56400,2.279385
2008-09-02,9.32,9.78,6.10,7.04,58600,3.02201
2008-08-01,9.15,9.58,8.57,9.20,44900,3.949218
2008-07-01,8.80,9.40,7.25,9.12,61900,3.759124
2008-06-02,12.45,12.45,8.63,8.99,53100,3.705539
2008-05-01,13.29,14.22,12.40,12.46,36300,5.13582
2008-04-01,13.08,13.53,11.97,13.28,28200,5.329763
2008-03-03,13.60,13.60,11.46,12.93,35000,5.189296
2008-02-01,13.19,13.99,12.40,13.67,41200,5.486285
2008-01-02,12.09,13.18,10.36,13.18,55800,5.144008
2007-12-03,14.15,14.44,11.41,12.01,116900,4.68737
2007-11-01,14.24,14.80,12.94,14.23,72300,5.553811
2007-10-01,15.71,16.35,13.65,14.28,53800,5.435429
2007-09-04,16.35,17.23,14.48,15.84,47300,6.029215
2007-08-01,16.75,17.60,12.99,16.450001,53200,6.261401
2007-07-02,19.75,20.049999,15.48,16.85,24700,6.276106
2007-06-01,20.700001,20.719999,19.450001,19.90,16500,7.412137
2007-05-25,20.01,20.49,20.00,20.49,30300,7.631894
