Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,17.209999,17.209999,17.049999,17.15,49800,12.313303
2013-03-01,17.43,17.52,16.73,17.26,36600,12.306124
2013-02-01,17.129999,17.49,16.92,17.48,45700,12.377422
2013-01-02,16.58,17.32,16.42,17.24,29100,12.12251
2012-12-03,17.129999,17.129999,16.309999,16.60,36000,11.588106
2012-11-01,17.700001,17.950001,15.32,17.049999,60000,11.818472
2012-10-01,17.74,17.950001,17.33,17.690001,29200,12.169908
2012-09-04,17.40,17.879999,17.219999,17.84,46200,12.181602
2012-08-01,17.60,17.809999,17.120001,17.450001,34900,11.824486
2012-07-02,16.93,17.700001,16.85,17.700001,36400,11.903768
2012-06-01,16.48,17.450001,16.209999,17.030001,47000,11.363727
2012-05-01,17.24,17.469999,15.72,16.629999,44200,11.008067
2012-04-02,17.24,17.559999,16.549999,17.34,36200,11.391993
2012-03-01,17.799999,17.90,16.799999,17.309999,62600,11.286876
2012-02-01,16.48,18.08,16.17,17.85,103200,11.554214
2012-01-03,15.19,16.67,15.00,16.48,79300,10.583272
2011-12-01,14.40,15.31,14.36,15.28,52100,9.72916
2011-11-01,14.33,14.54,14.12,14.54,62900,9.181577
2011-10-03,13.80,14.55,12.81,14.51,54100,9.086857
2011-09-01,4.849952,4.849952,4.529955,4.609954,13900,8.634416
2011-08-01,5.099949,5.129949,4.219958,4.899951,27300,8.959834
2011-07-01,5.159948,5.259947,4.99995,5.089949,13000,9.234117
2011-06-01,5.269948,5.279947,4.99995,5.189948,14300,9.342966
2011-05-02,5.139949,5.309947,5.04995,5.299947,19500,9.468979
2011-04-01,4.889951,5.159948,4.799952,5.159948,16200,9.14739
2011-03-01,4.729953,4.929951,4.689953,4.919951,14400,8.659884
2011-02-01,4.719953,4.779953,4.669953,4.779953,9600,8.35186
2011-01-03,4.679953,4.759953,4.579954,4.749953,13800,8.238289
2010-12-01,4.719953,4.779953,4.399956,4.679953,19200,8.056179
2010-11-01,4.789952,4.879951,4.539955,4.749953,14000,8.116428
2010-10-01,4.699953,4.839952,4.639954,4.829952,14600,8.19332
2010-09-01,4.649953,4.739953,4.559955,4.739953,13200,7.981279
2010-08-02,4.589954,4.679953,4.499955,4.679953,14100,7.821316
2010-07-01,4.309957,4.709953,4.279957,4.609954,16100,7.645838
2010-06-01,4.299957,4.449955,4.269958,4.379956,9500,7.206327
2010-05-03,4.569954,4.569954,4.02996,4.339957,19000,7.082931
2010-04-01,4.469955,4.609954,4.389956,4.609954,13600,7.466453
2010-03-01,4.279957,4.589954,4.279957,4.529955,19300,7.280197
2010-02-01,4.639954,4.739953,4.219958,4.369956,20200,6.96681
2010-01-04,4.599954,4.739953,4.459956,4.669953,18200,7.373341
2009-12-01,4.369956,4.629954,4.299957,4.609954,18400,7.20756
2009-11-02,4.359956,4.429956,4.189958,4.399956,13400,6.808877
2009-10-01,4.249958,4.719953,4.109959,4.389956,13400,6.723766
2009-09-01,4.089959,4.349957,4.02996,4.289957,16900,6.501682
2009-08-03,4.229958,4.229958,3.909961,4.159958,16700,6.236462
2009-07-01,4.559955,4.619954,3.559965,4.259957,37800,6.318915
2009-06-01,5.859941,5.919941,4.519955,4.629954,26800,6.76391
2009-05-01,6.199938,6.199938,5.059949,5.909941,17200,8.473147
2009-04-01,5.149949,6.449936,5.01995,6.249938,10800,8.802898
2009-03-02,5.499945,5.549944,4.129959,5.299947,11800,7.295842
2009-02-02,6.829932,7.799922,4.99995,5.759943,15700,7.763877
2009-01-02,6.079939,7.549924,5.749943,7.079929,26100,9.340914
2008-12-01,5.649944,6.189938,4.459956,6.149939,16600,7.916029
2008-11-03,7.00993,7.00993,4.699953,5.829942,12200,7.289183
2008-10-01,6.649934,7.569924,3.649963,7.149929,21000,8.730765
2008-09-02,9.449905,10.109899,5.449946,6.849931,27000,8.160518
2008-08-01,10.449896,10.459895,8.399917,9.479905,12600,11.094731
2008-07-01,11.209888,11.569884,9.599904,10.519895,11800,12.116429
2008-06-02,13.189868,13.519865,11.449885,11.499886,9700,13.052803
2008-05-01,13.799863,13.839862,12.529875,13.409866,11200,15.031155
2008-04-01,12.149879,13.919861,12.01988,13.869862,11800,15.359576
2008-03-03,13.709864,13.779862,11.319886,12.149879,13800,13.26992
2008-02-01,13.769863,14.279858,13.05987,13.879861,10500,14.976989
2008-01-02,12.99987,13.749863,11.659883,13.719863,12000,14.624145
2007-12-03,13.879861,14.299858,12.519876,13.04987,23600,13.909992
2007-11-01,14.97985,14.97985,12.189878,13.97986,22600,14.534136
2007-10-01,15.709844,16.689833,14.369857,15.10985,11900,15.535308
2007-09-04,16.099838,16.259838,15.019851,15.829843,13200,16.103872
2007-08-01,18.099819,18.139818,12.639874,16.229837,34600,16.340904
2007-07-02,19.549805,19.709803,17.669823,18.349817,20000,18.307251
2007-06-01,20.459797,20.749792,18.519815,19.589804,14600,19.37775
2007-05-01,20.949791,21.029791,20.349796,20.649794,11300,20.261076
2007-04-02,20.549795,21.269789,20.179798,21.06979,11300,20.50931
2007-03-01,20.449795,20.719793,19.649803,20.719793,16200,20.006067
2007-02-01,20.859793,21.029791,20.359797,20.629793,16500,19.757923
2007-01-03,21.349789,21.349789,20.399797,20.97979,14700,19.933186
2006-12-01,20.99979,21.629784,20.779793,21.359787,12100,20.135561
2006-11-01,20.739794,21.249788,20.469795,21.209789,12700,19.836731
2006-10-02,20.529795,20.98979,20.399797,20.889791,14100,19.381262
2006-09-01,20.549795,20.779793,20.0098,20.699793,21500,19.050045
2006-08-01,19.649803,20.559795,19.609804,20.559795,17000,18.767515
2006-07-03,19.389807,19.969801,19.249807,19.759802,10200,17.884821
2006-06-01,19.679804,19.9998,18.999811,19.549805,11200,17.543598
2006-05-01,19.9998,20.099798,19.359808,19.749804,30900,17.573212
