Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,21.129999,21.23,21.00,21.120001,46600,15.882579
2013-03-01,20.639999,21.33,20.51,21.18,27900,15.927699
2013-02-01,21.309999,21.60,20.59,20.73,30300,15.486969
2013-01-02,20.60,21.690001,20.32,21.33,32800,15.830924
2012-12-03,20.309999,20.77,19.77,20.139999,40800,14.852232
2012-11-01,20.59,20.91,18.299999,20.24,52900,14.766545
2012-10-01,20.91,21.42,20.379999,20.59,35600,14.916795
2012-09-04,21.18,21.35,20.41,20.780001,29800,14.954414
2012-08-01,20.66,21.27,20.629999,21.27,31800,15.205433
2012-07-02,19.51,20.75,19.10,20.51,52800,14.565118
2012-06-01,18.940001,19.52,18.440001,19.43,24900,13.702196
2012-05-01,18.950001,19.129999,18.75,19.030001,29100,13.322258
2012-04-02,18.940001,19.10,18.50,19.00,28000,13.202415
2012-03-01,19.40,19.559999,18.65,19.01,52900,13.112031
2012-02-01,19.17,19.67,18.77,19.43,32600,13.302818
2012-01-03,18.74,19.34,18.10,19.200001,35700,13.049596
2011-12-01,18.200001,19.08,17.639999,18.700001,22200,12.615466
2011-11-01,17.450001,18.809999,17.25,18.10,27800,12.081636
2011-10-03,17.379999,18.00,15.53,17.74,44200,11.752497
2011-09-01,18.26,18.790001,17.389999,17.42,29800,11.447859
2011-08-01,18.139999,18.83,15.50,18.25,66200,11.902792
2011-07-01,19.08,19.190001,17.75,17.889999,43400,11.576123
2011-06-01,19.219999,19.389999,18.48,19.17,29800,12.315914
2011-05-02,18.60,19.90,18.57,19.32,28100,12.324043
2011-04-01,18.309999,18.620001,18.040001,18.58,29400,11.771317
2011-03-01,17.879999,18.74,17.77,18.33,22800,11.528234
2011-02-01,17.459999,17.870001,17.440001,17.870001,27300,11.156914
2011-01-03,17.219999,17.540001,16.50,17.51,37700,10.849193
2010-12-01,18.00,18.049999,16.00,17.26,42700,10.611224
2010-11-01,17.719999,18.17,16.299999,17.84,40800,10.858499
2010-10-01,17.959999,18.469999,17.469999,17.76,33500,10.728778
2010-09-01,17.450001,18.219999,17.17,17.940001,32900,10.757372
2010-08-02,17.459999,18.299999,16.950001,17.200001,45200,10.238803
2010-07-01,16.58,17.629999,16.18,17.440001,31800,10.303806
2010-06-01,15.63,17.139999,15.62,16.639999,51900,9.758181
2010-05-03,17.35,17.35,13.49,15.91,84100,9.261037
2010-04-01,16.08,16.99,15.87,16.93,55700,9.780065
2010-03-01,15.77,16.82,15.76,16.00,59200,9.176396
2010-02-01,14.88,16.08,14.88,15.82,58800,9.008829
2010-01-04,14.53,15.36,14.49,14.87,65600,8.406259
2009-12-01,13.10,14.64,13.10,14.52,39000,8.146043
2009-11-02,12.20,13.44,12.18,13.10,36300,7.2888
2009-10-01,12.92,13.47,12.56,12.71,37100,7.012423
2009-09-01,11.72,12.92,11.57,12.91,29300,7.064254
2009-08-03,11.19,12.49,11.19,11.66,43600,6.325476
2009-07-01,10.51,11.30,10.14,10.99,41700,5.907262
2009-06-01,9.15,10.53,9.12,10.50,55300,5.58708
2009-05-01,7.62,9.06,7.55,9.06,46200,4.768348
2009-04-01,6.44,7.95,6.44,7.65,48600,3.973655
2009-03-02,6.55,6.84,5.11,6.70,71300,3.430925
2009-02-02,8.22,8.31,5.84,6.95,42400,3.495289
2009-01-02,8.00,8.85,7.62,8.39,41400,4.16074
2008-12-01,7.01,8.20,5.93,8.05,48300,3.936612
2008-11-03,9.08,9.08,4.68,7.28,46300,3.503962
2008-10-01,7.76,9.10,4.00,9.10,96000,4.308122
2008-09-02,13.20,13.40,7.00,7.71,88400,3.597863
2008-08-01,13.18,13.65,12.80,13.15,28400,6.041548
2008-07-01,14.92,14.92,12.31,13.24,37000,6.019572
2008-06-02,15.99,15.99,14.48,14.98,22800,6.740771
2008-05-01,15.92,16.370001,15.84,15.99,27700,7.134438
2008-04-01,15.77,16.049999,15.20,15.94,27000,7.055545
2008-03-03,17.49,17.50,15.37,15.69,31100,6.888033
2008-02-01,17.99,18.24,16.18,17.50,40200,7.619982
2008-01-02,16.879999,18.16,16.309999,17.969999,48700,7.767325
2007-12-03,16.709999,17.10,16.299999,16.879999,68300,7.241829
2007-11-01,18.690001,18.690001,16.559999,17.00,46200,7.235464
2007-10-01,18.65,18.90,18.030001,18.700001,20400,7.899364
2007-09-04,18.620001,19.27,18.559999,18.60,27800,7.8027
2007-08-01,19.219999,19.379999,16.280001,18.690001,37200,7.787912
2007-07-02,20.299999,20.549999,19.16,19.360001,23100,8.010295
2007-06-01,20.85,21.110001,19.870001,20.389999,24900,8.382685
2007-05-01,21.65,21.690001,20.559999,20.809999,20300,8.502425
2007-04-02,22.35,22.49,21.59,21.629999,20800,8.784988
2007-03-01,21.629999,22.51,21.530001,22.35,24200,9.025219
2007-02-01,21.719999,22.09,21.450001,21.620001,20900,8.679617
2007-01-03,21.549999,22.200001,21.26,21.700001,23600,8.660347
2006-12-01,22.120001,22.280001,21.40,21.48,31300,8.522096
2006-11-01,21.049999,22.110001,20.700001,22.08,25800,8.709175
2006-10-02,20.309999,21.190001,20.24,20.959999,27100,8.217465
2006-09-01,20.67,20.98,20.15,20.209999,28400,7.874712
2006-08-01,19.83,20.799999,19.65,20.440001,26900,7.914674
2006-07-03,19.219999,19.879999,19.00,19.73,17500,7.591909
2006-06-01,19.58,19.90,18.85,19.120001,26500,7.308795
2006-05-01,19.57,19.65,19.219999,19.60,18700,7.44335
2006-04-03,19.799999,19.99,19.049999,19.450001,23400,7.33755
2006-03-01,20.700001,20.889999,19.709999,19.809999,32400,7.42395
2006-02-01,20.440001,20.85,20.34,20.690001,19500,7.704237
2006-01-03,19.25,20.549999,19.200001,20.43,27300,7.555771
2005-12-01,19.75,19.940001,18.610001,19.16,59800,7.037685
2005-11-01,20.50,20.90,19.629999,19.700001,26000,7.182994
2005-10-03,20.73,21.25,20.07,20.52,25600,7.42656
2005-09-01,22.15,22.459999,20.450001,20.65,34100,7.419229
2005-08-01,22.110001,22.16,21.370001,22.10,23600,7.88663
2005-07-01,22.16,22.42,21.639999,22.09,25400,7.829812
2005-06-01,21.93,22.469999,21.82,22.07,26000,7.770689
2005-05-02,21.59,22.10,21.469999,21.879999,19700,7.65257
2005-04-01,21.52,21.879999,21.10,21.549999,25400,7.486332
2005-03-01,23.549999,23.90,21.07,21.48,32200,7.410839
2005-02-01,24.219999,24.790001,23.26,23.540001,30100,8.061443
2005-01-03,24.860001,24.870001,23.85,24.25,21000,8.304588
2004-12-01,24.25,24.950001,24.049999,24.799999,29600,8.436527
2004-11-01,24.450001,24.719999,23.50,24.15,31700,8.161434
2004-10-01,23.610001,24.50,23.48,24.35,26200,8.173529
2004-09-01,23.40,24.50,23.370001,23.690001,24400,7.898669
2004-08-02,22.74,23.74,22.610001,23.459999,19200,7.769599
2004-07-01,22.299999,23.450001,22.25,22.690001,19300,7.46251
2004-06-01,23.40,23.91,21.90,22.25,20500,7.266494
2004-05-03,23.190001,23.950001,21.309999,23.49,34900,7.618248
2004-04-01,25.85,26.25,22.799999,23.24,36900,7.483023
2004-03-01,25.90,26.860001,25.43,25.93,30800,8.293535
2004-02-02,25.809999,26.40,25.60,25.860001,29600,8.220199
2004-01-02,25.76,26.77,25.299999,25.799999,36000,8.149632
2003-12-01,25.110001,25.85,24.85,25.85,38500,8.114529
