Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,1.01,1.02,0.98,1.00,26600,10.00
2013-03-01,0.88,1.09,0.86,1.01,50000,10.10
2013-02-01,1.00,1.03,0.85,0.88,14600,8.80
2013-01-02,0.79,1.07,0.76,0.97,15500,9.70
2012-12-03,0.68,0.79,0.61,0.78,26900,7.80
2012-11-01,0.94,1.10,0.63,0.67,43900,6.70
2012-10-01,1.05,1.16,0.89,0.94,13400,9.40
2012-09-04,1.14,1.17,1.00,1.05,13800,10.50
2012-08-01,1.08,1.19,1.07,1.16,6300,11.60
2012-07-02,1.17,1.24,1.06,1.07,7000,10.70
2012-06-01,1.12,1.22,1.02,1.17,15000,11.70
2012-05-01,1.07,1.23,0.95,1.14,13900,11.40
2012-04-02,1.21,1.25,0.86,1.06,17000,10.60
2012-03-01,1.23,1.35,1.18,1.22,12000,12.20
2012-02-01,1.34,1.52,1.21,1.22,15500,12.20
2012-01-03,1.21,1.35,1.18,1.26,13100,12.60
2011-12-01,1.11,1.40,1.04,1.17,25600,11.70
2011-11-01,0.94,1.13,0.83,1.13,35700,11.30
2011-10-03,1.00,1.05,0.83,0.96,21300,9.60
2011-09-01,1.39,1.43,1.00,1.02,18900,10.20
2011-08-01,1.68,1.70,1.18,1.40,25100,14.00
2011-07-01,1.77,1.86,1.48,1.65,21400,16.50
2011-06-01,1.80,2.00,1.31,1.77,31300,17.700001
2011-05-02,2.14,2.18,1.70,1.80,26000,18.00
2011-04-01,2.22,2.24,2.00,2.15,16100,21.50
2011-03-01,2.34,2.44,1.99,2.20,19100,22.00
2011-02-01,2.20,2.54,2.13,2.33,19500,23.299999
2011-01-03,2.19,2.40,2.10,2.20,14900,22.00
2010-12-01,2.09,2.24,1.94,2.17,25600,21.700001
2010-11-01,2.15,2.49,2.03,2.04,14600,20.40
2010-10-01,2.36,2.55,2.21,2.23,11600,22.299999
2010-09-01,2.09,2.45,2.04,2.34,16900,23.40
2010-08-02,2.75,2.85,2.01,2.05,15600,20.50
2010-07-01,2.37,2.90,2.17,2.69,17500,26.90
2010-06-01,2.76,2.87,2.35,2.35,25100,23.50
2010-05-03,3.54,3.58,2.40,2.80,39800,28.00
2010-04-01,2.87,4.08,2.62,3.51,66500,35.099998
2010-03-01,2.37,3.21,2.35,2.84,43400,28.40
2010-02-01,2.15,2.37,2.07,2.36,20100,23.60
2010-01-04,2.14,2.46,2.09,2.14,37500,21.40
2009-12-01,2.11,2.37,2.06,2.13,22400,21.299999
2009-11-02,1.98,2.44,1.89,2.07,40800,20.700001
2009-10-01,2.20,2.21,1.85,1.96,31700,19.60
2009-09-01,2.60,2.79,2.15,2.20,33900,22.00
2009-08-03,1.84,2.93,1.77,2.64,59000,26.40
2009-07-01,2.06,2.12,1.65,1.83,25100,18.299999
2009-06-01,1.81,2.19,1.70,2.02,34700,20.200001
2009-05-01,1.92,2.15,1.62,1.76,43200,17.60
2009-04-01,1.23,2.71,1.23,1.92,71800,19.200001
2009-03-02,0.95,1.53,0.71,1.29,35800,12.90
2009-02-02,1.10,1.44,0.93,0.95,38900,9.50
2009-01-02,1.35,1.68,1.10,1.15,53500,11.50
2008-12-01,1.39,1.45,1.06,1.29,52900,12.90
2008-11-03,1.79,1.92,0.58,1.39,82200,13.90
2008-10-01,2.78,2.85,1.17,1.70,94600,17.00
2008-09-02,4.28,4.75,2.00,2.49,160500,24.90
2008-08-01,2.44,5.14,2.39,4.12,281200,41.200001
2008-07-01,2.54,2.88,1.65,2.51,123600,25.10
2008-06-02,3.41,4.65,2.51,2.57,189700,25.700001
2008-05-01,3.76,4.13,2.95,3.29,209000,32.900002
2008-04-01,7.70,8.25,3.12,3.70,409400,37.00
2008-03-03,11.990001,12.45,7.36,7.46,181300,74.599998
2008-02-01,16.50,17.730001,11.66,12.030001,131300,120.300003
2008-01-02,15.460001,19.389999,12.11,16.440001,208600,164.399994
2007-12-03,30.060001,30.120001,11.01,15.30,398400,153.00
2007-11-01,38.799999,39.139999,25.60,30.01,158200,297.671692
2007-10-01,37.939999,41.77,36.860001,38.829998,91500,385.15799
2007-09-04,32.860001,41.59,30.60,37.93,142500,376.230804
2007-08-01,32.260002,36.070004,29.23,33.490002,113000,329.88205
2007-07-02,38.639999,42.50,32.650002,32.960003,125600,324.661469
2007-06-01,37.650002,41.73,36.950001,38.639999,132000,380.610413
2007-05-01,35.600002,38.700001,34.600002,37.260002,169000,364.628998
2007-04-02,43.389999,45.700001,30.620001,36.25,356800,354.745056
2007-03-01,44.049999,46.350002,40.600002,44.889999,121800,439.296722
2007-02-01,54.920002,55.850002,43.380001,45.139999,157200,440.27533
2007-01-03,55.75,57.559998,51.049999,54.400002,118900,530.593201
2006-12-01,74.840004,76.940002,51.00,54.650002,99500,533.031616
2006-11-01,67.410004,77.869995,61.120003,74.840004,156300,486.637207
2006-10-02,69.380005,73.810005,64.670006,67.450005,107400,437.846344
2006-09-01,52.500004,71.50,50.550003,69.260002,173400,449.595825
2006-08-01,45.400002,54.889999,43.610001,52.500004,140500,339.836365
2006-07-03,56.940002,57.400002,44.730003,45.800003,144300,296.466766
2006-06-01,45.370003,58.260002,44.340004,56.940002,156600,368.576813
2006-05-01,47.989998,49.390003,42.68,45.370003,72100,292.896698
2006-04-03,43.299999,48.869999,42.600002,48.100002,110800,310.520844
2006-03-01,36.080002,50.000004,35.710003,43.250004,172400,279.210541
2006-02-01,32.500004,37.100002,31.690001,36.18,92900,232.948395
2006-01-03,33.360001,34.610001,31.440002,32.380001,123900,208.481735
2005-12-01,35.00,35.25,22.200001,32.860001,168400,211.57225
2005-11-01,29.59,35.500004,22.370001,33.799999,189500,216.457642
2005-10-03,23.800001,29.880001,20.889999,29.59,191800,189.49649
2005-09-01,28.930002,29.280001,21.00,25.40,278300,162.663437
2005-08-01,34.750004,34.860001,28.40,28.930002,140500,184.447006
2005-07-01,35.310001,36.380001,33.300003,34.750004,121700,221.553177
2005-06-01,38.220001,44.000004,32.52,35.060001,245700,223.529633
2005-05-02,39.00,44.770004,35.120003,44.650002,118200,284.671906
2005-04-01,59.870003,60.990002,38.150002,38.530003,155800,245.653061
2005-03-01,69.550003,73.270004,53.400002,57.530003,137400,366.790039
2005-02-01,64.700005,69.800003,62.799999,69.550003,45700,443.42511
2005-01-03,56.000004,64.350006,53.07,64.330002,99500,410.144348
2004-12-01,57.000004,59.560005,54.050003,56.250004,30300,358.629242
2004-11-01,53.700001,58.800003,53.410004,56.760002,58400,361.880798
2004-10-01,46.950001,56.250004,46.670002,53.600002,81500,341.733826
2004-09-01,41.380001,51.000004,41.080002,46.400002,55300,295.829285
2004-08-02,41.550003,42.700001,37.25,41.369999,39100,263.759827
2004-07-01,40.380005,44.000004,39.419998,41.960003,38600,267.521484
2004-06-01,34.050003,41.960003,32.810001,40.260002,70500,256.682892
2004-05-03,29.620003,35.57,28.760002,34.000004,24800,216.771454
2004-04-01,29.500002,34.400002,28.85,29.660002,24700,189.101212
2004-03-01,30.700003,32.720001,27.150002,29.450001,10600,187.762329
2004-02-02,30.65,31.40,27.620001,30.68,15100,195.604355
2004-01-02,21.850002,31.200001,21.68,30.610001,21600,195.158066
2003-12-01,23.650002,25.300001,21.520002,21.880001,14800,139.49881
2003-11-03,22.150002,24.00,19.900002,23.75,44000,151.421234
2003-10-31,18.50,22.860001,18.210001,22.150002,3201200,141.22023
