Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.14,15.19,15.12,15.13,49000,12.280227
2013-03-01,16.049999,16.129999,14.84,15.12,30900,12.27211
2013-02-01,16.50,16.66,15.96,16.00,12400,12.92245
2013-01-02,16.059999,16.99,16.059999,16.49,18200,13.257442
2012-12-03,16.98,17.02,15.35,15.99,25700,12.798271
2012-11-01,16.99,17.07,16.290001,16.950001,17600,13.500682
2012-10-01,17.459999,17.59,16.60,16.940001,14700,13.425737
2012-09-04,16.98,17.540001,16.82,17.309999,9600,13.651442
2012-08-01,16.549999,16.99,16.440001,16.969999,14100,13.31887
2012-07-02,16.52,16.940001,16.35,16.57,13700,12.940681
2012-06-01,16.10,16.52,15.78,16.40,11100,12.743292
2012-05-01,16.08,16.120001,15.78,16.02,7700,12.384244
2012-04-02,15.90,16.25,15.75,16.02,7700,12.320001
2012-03-01,15.54,16.09,14.51,15.97,14900,12.218312
2012-02-01,15.86,16.17,14.97,15.51,14400,11.801323
2012-01-03,15.14,15.94,15.01,15.75,16700,11.918453
2011-12-01,14.90,15.28,14.80,15.14,10200,11.394576
2011-11-01,14.24,14.97,14.15,14.90,12300,11.152226
2011-10-03,14.39,14.90,13.89,14.25,14200,10.60492
2011-09-01,13.49,14.44,13.34,14.32,15800,10.596596
2011-08-01,13.35,13.79,12.65,13.49,16500,9.923977
2011-07-01,13.57,13.83,13.18,13.23,8700,9.673656
2011-06-01,13.66,13.76,13.26,13.51,12800,9.818587
2011-05-02,13.48,13.60,13.13,13.60,13600,9.822728
2011-04-01,13.35,13.50,13.09,13.40,9400,9.615439
2011-03-01,13.36,13.60,13.02,13.28,11700,9.466428
2011-02-01,12.96,13.44,12.93,13.31,11200,9.425751
2011-01-03,13.40,13.42,12.14,12.93,29300,9.097284
2010-12-01,14.50,14.50,12.80,13.36,22200,9.334032
2010-11-01,15.01,15.18,13.00,14.40,26900,9.994123
2010-10-01,15.52,15.58,14.94,15.09,8800,10.407506
2010-09-01,15.67,16.360001,15.39,15.54,13100,10.656963
2010-08-02,15.06,15.65,14.92,15.65,11600,10.673303
2010-07-01,14.56,15.11,14.45,15.03,11400,10.191792
2010-06-01,14.46,14.68,14.18,14.49,14500,9.767821
2010-05-03,14.99,15.11,13.85,14.34,13800,9.609417
2010-04-01,14.83,15.37,14.70,14.95,10200,9.959886
2010-03-01,14.77,14.94,14.54,14.82,15300,9.817172
2010-02-01,14.50,15.09,14.47,14.70,13600,9.680517
2010-01-04,14.80,14.99,14.45,14.47,10700,9.471954
2009-12-01,14.82,15.36,14.36,14.88,17700,9.680744
2009-11-02,13.49,14.66,13.17,14.47,34000,9.355692
2009-10-01,15.45,16.290001,13.26,13.43,38700,8.628925
2009-09-01,13.94,15.59,13.65,15.53,24100,9.916051
2009-08-03,14.18,14.95,13.41,13.41,28900,8.512662
2009-07-01,12.69,14.02,12.69,13.83,8200,8.723635
2009-06-01,13.49,13.99,12.52,12.80,11300,8.020972
2009-05-01,12.90,13.79,12.69,13.39,14300,8.333738
2009-04-01,11.68,13.02,11.36,12.90,11200,7.97258
2009-03-02,10.38,11.86,10.18,11.66,15400,7.154463
2009-02-02,10.77,11.36,10.43,11.03,12300,6.714518
2009-01-02,9.15,10.91,9.09,10.77,16100,6.515569
2008-12-01,9.44,9.79,7.71,9.08,45600,5.458012
2008-11-03,10.11,12.19,9.25,9.45,18400,5.633721
2008-10-01,10.40,11.20,7.04,10.11,24400,5.989482
2008-09-02,13.52,13.62,9.25,10.38,25000,6.108197
2008-08-01,13.71,13.93,13.34,13.49,5900,7.896356
2008-07-01,13.40,14.05,13.18,13.70,19600,7.979975
2008-06-02,14.13,14.16,13.32,13.56,7700,7.859025
2008-05-01,14.76,14.86,13.83,14.18,8700,8.178256
2008-04-01,13.82,14.90,13.76,14.70,5900,8.438468
2008-03-03,13.70,14.14,13.40,13.84,7600,7.908504
2008-02-01,14.98,15.40,13.50,13.60,14900,7.734225
2008-01-02,13.35,15.18,12.44,14.96,18100,8.46722
2007-12-03,13.97,14.07,12.80,13.32,25300,7.504375
2007-11-01,14.84,14.98,13.26,13.92,12700,7.802873
2007-10-01,15.05,15.71,14.40,14.84,6100,8.277478
2007-09-04,14.15,15.01,14.15,14.99,4800,8.323725
2007-08-01,14.93,15.15,13.86,14.20,9200,7.849159
2007-07-02,14.99,15.50,14.20,14.87,6600,8.181264
2007-06-01,15.40,15.56,14.65,14.96,7000,8.194162
2007-05-01,15.86,16.24,14.93,15.38,10500,8.386957
2007-04-02,15.80,16.139999,15.65,15.85,8600,8.606229
2007-03-01,15.30,16.040001,15.27,15.80,6900,8.543155
2007-02-01,15.55,15.60,15.22,15.36,6900,8.270378
2007-01-03,15.29,15.82,15.17,15.50,8100,8.309497
2006-12-01,15.88,15.92,15.13,15.35,7800,8.19383
2006-11-01,15.59,15.99,15.45,15.80,8700,8.397771
2006-10-02,15.57,15.75,15.34,15.59,7100,8.250521
2006-09-01,15.43,16.00,15.35,15.57,9600,8.201575
2006-08-01,14.95,15.56,14.73,15.43,9600,8.090324
2006-07-03,14.74,15.19,14.61,14.91,8100,7.780326
2006-06-01,14.95,15.34,14.45,14.71,9600,7.637844
2006-05-01,14.75,15.20,14.66,14.89,8700,7.693978
2006-04-03,15.04,15.42,14.43,14.67,9400,7.543211
2006-03-01,15.22,15.40,14.73,14.94,6800,7.644022
2006-02-01,15.40,15.59,14.87,15.16,7800,7.71866
2006-01-03,14.50,15.48,14.50,15.48,9200,7.843585
2005-12-01,15.50,15.50,14.32,14.55,8800,7.336363
2005-11-01,14.07,14.50,13.84,14.44,18300,7.244091
2005-10-03,14.60,14.60,14.00,14.07,15700,7.02239
2005-09-01,15.87,16.370001,14.56,14.56,17300,7.229855
2005-08-01,15.28,16.200001,15.23,15.86,14000,7.837604
2005-07-01,15.70,16.10,15.24,15.28,19300,7.511015
2005-06-01,14.90,15.85,14.88,15.50,15400,7.578368
2005-05-02,14.73,15.02,14.58,14.92,12600,7.255384
2005-04-01,14.50,14.75,14.30,14.70,11700,7.108128
2005-03-01,14.53,14.88,14.12,14.42,11500,6.932258
2005-02-01,14.75,14.99,14.37,14.47,16800,6.915745
2005-01-03,14.18,14.85,13.95,14.85,13800,7.057133
2004-12-01,14.35,14.45,13.83,14.08,16400,6.652498
2004-11-01,14.51,14.69,13.99,14.31,16100,6.721313
2004-10-01,14.73,14.73,14.30,14.53,7600,6.784387
2004-09-01,14.08,14.70,14.08,14.70,13500,6.824382
2004-08-02,13.85,14.23,13.72,14.05,11200,6.484838
2004-07-01,13.08,13.88,13.03,13.85,14200,6.354444
2004-06-01,13.35,13.40,12.95,13.04,11500,5.946182
2004-05-03,13.60,13.85,12.65,13.23,16400,5.994314
2004-04-01,14.91,14.91,13.43,13.57,13900,6.108938
2004-03-01,14.93,15.00,14.73,14.91,16900,6.672915
2004-02-02,14.69,14.99,14.60,14.92,12800,6.639873
2004-01-02,14.19,15.15,14.13,14.59,17300,6.45601
2003-12-01,14.30,14.60,13.94,14.15,21800,6.22541
2003-11-03,14.30,14.35,13.93,14.25,14000,6.232268
2003-10-01,13.81,14.45,13.71,14.29,11400,6.212713
2003-09-02,13.76,14.12,13.61,13.80,10200,5.963683
2003-08-01,13.95,14.40,13.57,13.66,14300,5.86761
2003-07-01,15.11,15.32,13.85,13.85,9900,5.914278
2003-06-02,15.06,15.12,14.74,15.00,13300,6.369195
2003-05-01,14.80,15.05,14.54,14.98,12700,6.324844
2003-04-01,14.12,15.02,13.96,14.75,9700,6.192506
2003-03-03,14.62,14.90,13.69,14.06,9700,5.868674
2003-02-03,14.60,14.61,13.59,14.56,10900,6.041949
2003-01-02,15.00,15.02,14.60,14.61,21900,6.026268
2002-12-20,15.00,15.05,15.00,15.00,43900,6.187134
