Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,14.57,14.70,13.98,14.04,371400,14.04
2013-03-01,16.27,17.190001,13.43,14.61,399300,14.61
2013-02-01,14.79,16.76,14.33,16.41,182200,16.41
2013-01-02,13.45,14.76,12.68,14.64,175700,14.64
2012-12-03,12.60,13.33,11.70,13.14,117600,13.14
2012-11-01,9.63,13.09,9.40,12.42,137000,12.42
2012-10-01,11.68,11.92,9.25,9.63,127500,9.63
2012-09-04,11.99,12.87,11.38,11.59,125700,11.59
2012-08-01,13.36,14.20,11.40,11.98,103000,11.98
2012-07-02,12.57,13.50,10.90,13.28,117000,13.28
2012-06-01,11.19,13.21,10.93,12.55,195500,12.55
2012-05-01,16.76,17.08,10.19,11.66,192100,11.66
2012-04-02,17.969999,18.459999,15.25,16.82,148100,16.82
2012-03-01,17.799999,19.540001,15.53,17.709999,169400,17.709999
2012-02-01,16.610001,21.040001,16.440001,17.870001,238600,17.870001
2012-01-03,14.01,17.870001,14.01,16.469999,119000,16.469999
2011-12-01,14.13,16.08,13.21,13.68,200100,13.68
2011-11-01,11.88,16.139999,11.75,14.19,246400,14.19
2011-10-03,18.51,20.469999,11.54,12.40,350800,12.40
2011-09-01,16.57,21.09,15.17,18.700001,216500,18.700001
2011-08-01,15.55,18.74,12.69,16.49,257600,16.49
2011-07-01,24.360001,24.360001,15.34,15.40,326700,15.40
2011-06-01,23.67,25.379999,18.370001,24.280001,235500,24.280001
2011-05-02,23.389999,25.90,22.040001,23.690001,175000,23.690001
2011-04-01,20.51,23.08,19.15,23.049999,216800,23.049999
2011-03-01,29.200001,30.00,18.25,20.16,724800,20.16
2011-02-01,24.91,32.91,24.84,29.23,291100,29.23
2011-01-03,22.00,26.02,21.190001,23.950001,129700,23.950001
2010-12-01,17.26,22.74,16.00,21.50,96000,21.50
2010-11-01,14.15,20.02,13.07,17.24,152800,17.24
2010-10-01,15.95,19.469999,13.53,14.08,146700,14.08
2010-09-01,12.25,17.040001,12.22,15.82,180600,15.82
2010-08-02,10.24,18.23,9.86,12.21,142200,12.21
2010-07-01,10.75,11.24,9.61,10.16,104000,10.16
2010-06-25,10.95,10.95,10.41,10.70,978300,10.70
