Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,6.77,6.80,6.71,6.77,1369200,6.77
2013-03-01,5.12,6.99,5.07,6.75,1778200,6.75
2013-02-01,5.16,5.80,5.04,5.13,1933300,5.13
2013-01-02,4.28,5.42,3.60,5.10,1878600,5.10
2012-12-03,2.92,4.28,2.80,4.18,1588800,4.18
2012-11-01,2.66,2.89,2.38,2.87,993300,2.87
2012-10-01,3.45,3.75,2.58,2.63,1185100,2.63
2012-09-04,3.27,4.20,3.15,3.43,794300,3.43
2012-08-01,3.10,3.60,2.87,3.28,740700,3.28
2012-07-02,4.81,5.06,2.65,3.07,762200,3.07
2012-06-01,4.36,4.98,4.02,4.80,635100,4.80
2012-05-01,5.21,5.39,4.12,4.44,835300,4.44
2012-04-02,5.92,5.96,4.80,5.19,886800,5.19
2012-03-01,5.68,6.39,5.16,5.94,940200,5.94
2012-02-01,6.85,7.50,5.45,5.55,1346200,5.55
2012-01-03,5.01,7.11,4.84,6.76,1065500,6.76
2011-12-01,5.76,6.00,4.27,4.89,1033400,4.89
2011-11-01,6.24,7.36,4.82,5.81,1392900,5.81
2011-10-03,6.03,6.96,5.21,6.47,1807800,6.47
2011-09-01,8.42,8.73,6.00,6.15,1622000,6.15
2011-08-01,13.99,13.99,7.14,8.37,2469800,8.37
2011-07-01,13.49,14.28,12.74,13.02,951400,13.02
2011-06-01,13.04,13.49,12.00,13.44,1224600,13.44
2011-05-02,15.15,15.29,11.62,13.10,1238800,13.10
2011-04-01,16.700001,17.84,14.11,15.00,1047000,15.00
2011-03-01,16.799999,17.02,13.40,16.59,980300,16.59
2011-02-01,15.52,16.50,14.76,15.92,735000,15.92
2011-01-03,14.87,16.120001,13.44,15.42,1010300,15.42
2010-12-01,14.67,15.53,14.21,14.64,645700,14.64
2010-11-01,13.79,15.50,13.59,14.27,996700,14.27
2010-10-01,13.12,14.36,12.44,13.72,1004700,13.72
2010-09-01,11.05,13.77,10.97,12.89,922400,12.89
2010-08-02,10.99,11.63,9.72,10.70,1105900,10.70
2010-07-01,7.40,10.82,6.68,10.67,1114600,10.67
2010-06-01,8.87,8.98,6.91,7.37,1282900,7.37
2010-05-03,11.02,11.33,8.14,9.01,1490000,9.01
2010-04-01,8.91,11.62,8.82,10.92,1109300,10.92
2010-03-01,8.24,9.16,8.11,8.79,1066000,8.79
2010-02-01,7.81,8.93,6.93,8.19,482400,8.19
2010-01-04,8.41,9.13,7.50,7.76,768300,7.76
2009-12-01,6.65,8.47,6.47,8.24,985700,8.24
2009-11-02,6.24,7.45,5.40,6.47,2834500,6.47
2009-10-01,8.86,8.98,5.65,6.13,821400,6.13
2009-09-01,7.76,10.46,6.88,8.90,617100,8.90
2009-08-03,5.14,8.25,5.02,7.88,1292800,7.88
2009-07-01,2.79,5.09,1.95,4.97,1037300,4.97
2009-06-01,3.69,4.40,2.45,2.75,713200,2.75
2009-05-01,2.77,6.00,2.77,3.69,1286400,3.69
2009-04-01,1.33,3.45,1.33,2.77,1194100,2.77
2009-03-02,1.39,3.05,0.81,1.43,1795400,1.43
2009-02-02,4.07,4.45,1.27,1.47,1012400,1.47
2009-01-02,7.12,7.77,3.94,3.96,638700,3.946622
2008-12-01,6.34,8.18,5.58,7.05,605000,7.026183
2008-11-03,15.40,16.17,5.54,6.43,863200,6.408277
2008-10-01,19.91,20.969999,11.84,15.48,684800,15.213429
2008-09-02,22.00,24.129999,19.18,20.10,668400,19.753872
2008-08-01,21.799999,24.01,19.77,22.040001,736300,21.660465
2008-07-01,18.559999,22.91,17.280001,21.76,353600,21.253447
2008-06-02,19.139999,21.10,18.379999,18.76,426100,18.323284
2008-05-01,17.469999,19.360001,16.629999,19.360001,293400,18.909317
2008-04-01,14.87,18.209999,13.52,17.58,413100,17.033045
2008-03-03,16.07,16.280001,13.77,14.86,614200,14.39767
2008-02-01,17.68,18.59,16.059999,16.10,356900,15.599092
2008-01-02,20.58,20.65,15.80,17.68,378500,16.986109
2007-12-03,21.190001,23.209999,20.280001,20.73,234900,19.916405
2007-11-01,20.26,22.25,18.040001,21.190001,313700,20.358353
2007-10-01,20.049999,22.799999,19.280001,20.719999,259200,19.765373
2007-09-04,19.59,20.25,17.440001,19.98,285500,19.059467
2007-08-01,22.23,23.049999,17.370001,19.57,524500,18.668356
2007-07-02,25.139999,26.030001,21.33,22.35,292100,21.164614
2007-06-01,23.879999,25.48,23.17,24.93,325300,23.607777
2007-05-01,20.870001,24.040001,19.98,23.77,461100,22.5093
2007-04-02,21.709999,22.280001,20.17,20.809999,263700,19.571886
2007-03-01,19.299999,22.129999,19.299999,21.610001,351900,20.324291
2007-02-01,21.33,22.950001,20.360001,21.200001,221700,19.938684
2007-01-03,20.889999,21.58,20.27,21.309999,240600,19.911116
2006-12-01,20.85,21.700001,18.860001,20.690001,207800,19.331816
2006-11-01,19.75,21.219999,19.139999,20.860001,233400,19.490656
