Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,8.86,8.89,7.95,8.02,86000,8.02
2013-03-01,9.01,9.50,8.75,8.76,10800,8.76
2013-02-01,9.24,9.63,8.90,9.05,11500,9.05
2013-01-01,8.89,9.26,8.50,9.17,12700,9.17
2012-12-03,8.64,8.94,8.23,8.89,10700,8.89
2012-11-01,8.90,8.93,7.94,8.76,9800,8.76
2012-10-01,7.98,9.17,7.98,8.88,8200,8.88
2012-09-03,7.97,8.36,7.89,7.93,19200,7.93
2012-08-01,7.91,8.05,7.44,7.97,8900,7.97
2012-07-02,8.00,8.19,7.74,7.92,20200,7.92
2012-06-01,7.80,8.03,7.75,8.00,28200,8.00
2012-05-01,8.31,8.39,7.71,7.99,10700,7.99
2012-04-02,8.31,8.50,8.029,8.30,17100,8.30
2012-03-01,6.95,8.45,6.95,8.36,24800,8.36
2012-02-01,6.78,7.22,6.69,6.96,22500,6.96
2012-01-02,6.68,6.88,6.49,6.77,14100,6.77
2011-12-01,5.75,6.80,5.16,6.68,35000,6.68
2011-11-01,5.15,6.10,5.10,5.80,20200,5.80
2011-10-03,5.20,5.70,4.91,5.28,25500,5.28
2011-09-01,5.08,5.50,4.81,5.25,23800,5.25
2011-08-01,7.75,7.84,4.88,5.15,56500,5.15
2011-07-01,7.89,8.18,7.61,7.75,49700,7.75
2011-06-01,9.43,9.47,7.48,7.84,41300,7.84
2011-05-02,10.925,10.925,9.23,9.43,44600,9.43
2011-04-01,11.42,11.69,10.88,10.95,17500,10.95
2011-03-01,11.43,12.13,11.07,11.36,46800,11.36
2011-02-01,11.70,11.88,11.10,11.40,34100,11.40
2011-01-03,10.90,12.20,10.72,11.71,43600,11.71
2010-12-17,11.00,11.30,10.90,11.05,331500,11.05
