Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,13.69,13.70,13.13,13.25,29000,128.921692
2013-03-01,13.07,14.30,12.80,13.68,21900,133.10556
2013-02-01,12.05,13.99,11.940001,13.150001,23900,127.409966
2013-01-02,10.25,12.09,10.11,11.990001,20000,116.170761
2012-12-03,10.05,10.30,9.52,10.07,14500,97.567932
2012-11-01,9.030001,10.490001,8.530001,10.01,28200,96.404678
2012-10-01,9.580001,10.20,8.70,9.00,23100,86.677536
2012-09-04,8.75,10.04,8.68,9.55,33800,91.974495
2012-08-01,10.54,11.02,8.50,8.76,23500,83.851181
2012-07-02,11.780001,12.13,10.06,10.50,15700,100.506554
2012-06-01,10.10,12.690001,9.87,11.76,31300,112.567337
2012-05-01,11.57,11.72,9.35,10.280001,25600,97.924957
2012-04-02,12.85,13.45,11.25,11.580001,25900,110.308464
2012-03-01,10.04,13.70,9.690001,12.99,50000,123.112198
2012-02-01,10.62,11.190001,9.43,9.46,36600,89.656769
2012-01-03,9.91,10.88,9.240001,10.52,18300,99.702873
2011-12-01,10.030001,10.89,9.00,9.75,20900,92.405235
2011-11-01,11.07,12.150001,8.70,10.080001,19500,94.954399
2011-10-03,13.960001,14.089999,11.23,11.50,22600,108.33091
2011-09-01,11.70,14.30,10.62,14.02,23500,132.069504
2011-08-01,10.16,12.66,8.13,11.690001,43600,109.605736
2011-07-01,9.89,11.27,9.51,10.10,25300,94.697853
2011-06-01,9.900001,10.29,9.12,9.92,32100,93.01017
2011-05-02,13.31,13.31,8.80,9.900001,69400,92.268486
2011-04-01,13.05,14.139999,13.04,13.31,27600,124.049866
2011-03-01,11.41,13.30,11.32,13.030001,55900,121.440247
2011-02-01,13.57,14.45,11.22,11.38,40500,105.547714
2011-01-03,13.400001,14.80,12.900001,13.57,19700,125.859612
2010-12-02,15.00,15.339999,12.05,13.25,80200,122.89167
