Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,70.139999,70.239998,68.120003,68.160004,5577600,62.908096
2013-03-01,67.540001,70.800003,66.470001,70.510002,2029900,65.077019
2013-02-01,66.459999,69.040001,64.470001,67.970001,3158600,62.732731
2013-01-02,70.669998,72.010002,66.129997,66.300003,2876800,61.19141
2012-12-03,66.779999,70.589996,65.290001,69.269997,1673300,63.93256
2012-11-01,68.290001,69.949997,61.700001,66.50,1944000,60.915676
2012-10-01,66.029999,68.75,65.029999,68.080002,1447700,62.362999
2012-09-04,65.550003,67.290001,64.290001,66.120003,1813200,60.108608
2012-08-01,63.700001,66.580002,61.09,65.510002,1534500,59.554066
2012-07-02,66.089996,66.589996,61.299999,63.439999,1850600,57.67226
2012-06-01,63.139999,65.959999,61.540001,65.959999,1720700,59.500221
2012-05-01,67.57,68.68,62.77,64.010002,1866000,57.741196
2012-04-02,73.389999,74.540001,66.440002,67.50,1844300,60.8894
2012-03-01,72.760002,74.150002,70.690002,73.379997,1389000,65.707664
2012-02-01,69.82,73.669998,69.099998,73.230003,1666900,65.573357
2012-01-03,67.970001,72.889999,66.760002,69.160004,2265900,61.928902
2011-12-01,66.07,67.360001,62.310001,66.410004,1481200,59.07526
2011-11-01,62.790001,66.379997,60.599998,66.059998,2324500,58.763908
2011-10-03,56.849998,66.419998,54.720001,64.190002,2283300,57.100449
2011-09-01,64.080002,64.660004,53.950001,56.889999,2697400,50.190224
2011-08-01,68.449997,68.449997,57.389999,64.080002,3276000,56.533478
2011-07-01,74.440002,75.93,66.559998,68.139999,2153200,60.115341
2011-06-01,73.830002,74.980003,69.199997,74.519997,2116300,65.74398
2011-05-02,73.150002,75.290001,69.830002,74.220001,2438100,65.061974
2011-04-01,76.830002,78.00,70.470001,72.82,2541500,63.834717
2011-03-01,76.349998,78.120003,73.220001,76.559998,2002300,66.690399
2011-02-01,75.489998,78.269997,74.889999,76.120003,1673900,66.307129
2011-01-03,70.260002,76.50,69.449997,75.400002,2450500,65.679947
2010-12-01,67.029999,71.440002,66.959999,70.959999,1848500,61.447948
2010-11-01,68.330002,69.970001,64.830002,66.089996,1924300,57.230762
2010-10-01,63.330002,68.129997,61.509998,68.120003,2279200,58.988651
2010-09-01,56.700001,64.599998,56.23,62.810001,2170000,54.030186
2010-08-02,62.060001,64.440002,55.459999,55.869999,2272200,48.06028
2010-07-01,58.610001,63.080002,56.93,61.25,2385500,52.688248
2010-06-01,67.00,69.099998,58.470001,58.560001,2793900,50.374264
2010-05-03,76.830002,77.580002,64.00,67.900002,2247200,57.995903
2010-04-01,77.529999,79.00,75.529999,76.360001,1943800,65.221901
2010-03-01,72.540001,78.620003,71.089996,77.199997,2181600,65.581612
2010-02-01,67.220001,73.099998,65.300003,72.550003,2537800,61.631428
2010-01-04,68.510002,71.489998,65.919998,66.849998,2001700,56.789257
2009-12-01,66.489998,70.839996,66.230003,68.169998,1530800,57.597572
2009-11-02,62.709999,68.739998,62.189999,65.900002,1896800,55.679626
2009-10-01,64.400002,68.839996,62.599998,62.700001,2546700,52.97591
2009-09-01,59.150002,65.32,57.360001,64.599998,2620300,54.266605
2009-08-03,55.799999,60.169998,54.740002,59.189999,2118800,49.721985
2009-07-01,55.630001,56.23,49.849998,55.389999,2753300,46.529835
2009-06-01,57.279999,61.119999,54.32,55.389999,2477500,46.529835
2009-05-01,52.02,57.959999,51.259998,56.900002,2944400,47.479641
2009-04-01,41.200001,54.34,40.779999,51.669998,3919500,43.115517
2009-03-02,42.939999,43.450001,35.279999,41.59,5300600,34.414906
2009-02-02,55.990002,57.540001,43.759998,43.82,3251400,36.260185
2009-01-02,57.759998,61.459999,51.490002,56.73,3055500,46.942955
2008-12-01,50.52,58.209999,48.16,57.59,2559100,47.351883
2008-11-03,60.080002,63.860001,47.810001,51.669998,3908100,42.484314
2008-10-01,73.07,73.620003,51.900002,60.32,4261100,49.596554
2008-09-02,93.029999,93.949997,70.00,73.620003,4107800,60.206448
2008-08-01,89.00,94.410004,87.970001,92.300003,2278700,75.482956
2008-07-01,83.080002,91.730003,80.25,89.139999,2564500,72.898705
2008-06-02,91.75,92.459999,82.50,84.199997,2317200,68.572533
2008-05-01,90.470001,95.129997,89.550003,92.150002,1855700,75.04702
2008-04-01,83.860001,91.75,82.470001,90.419998,1877800,73.638107
2008-03-03,81.260002,87.50,81.050003,83.370003,2211400,67.616348
2008-02-01,84.900002,85.599998,81.650002,81.849998,1929700,66.383568
2008-01-02,88.75,89.879997,74.010002,84.529999,2475100,68.557152
2007-12-03,89.110001,94.550003,87.199997,88.989998,1560800,71.929077
2007-11-01,89.870003,93.57,86.379997,88.779999,2058500,71.759338
2007-10-01,84.400002,91.879997,82.410004,90.959999,1679400,73.521393
2007-09-04,78.529999,85.699997,76.620003,84.470001,1547900,68.038086
2007-08-01,78.010002,81.00,70.610001,78.559998,2444600,63.277752
2007-07-02,78.639999,84.089996,77.349998,78.559998,2399600,63.277752
2007-06-01,80.239998,81.349998,77.32,78.220001,1953900,62.770218
2007-05-01,78.599998,82.410004,77.910004,80.239998,1531800,64.391228
2007-04-02,76.470001,81.00,76.010002,78.50,1381700,62.994911
2007-03-01,75.00,78.919998,74.379997,76.400002,1458300,61.08289
2007-02-01,78.010002,80.480003,74.25,76.379997,1761100,61.066895
2007-01-03,75.050003,81.279999,73.589996,78.150002,2071400,62.48204
2006-12-01,74.839996,75.970001,72.360001,74.349998,1266300,59.272251
2006-11-01,71.050003,75.139999,69.290001,74.839996,1670400,59.66288
2006-10-02,72.669998,77.980003,70.529999,71.099998,1918100,56.681332
2006-09-01,67.529999,72.919998,67.080002,71.669998,1145400,56.958492
2006-08-01,67.00,69.93,66.00,67.550003,1161400,53.684196
2006-07-03,65.50,69.870003,64.50,67.019997,1928900,53.262981
2006-06-01,63.57,66.779999,62.189999,65.459999,1452900,51.839684
2006-05-01,65.75,69.209999,61.689999,63.639999,1600700,50.398373
2006-04-03,64.230003,69.620003,63.279999,65.620003,1723000,51.966396
2006-03-01,125.75,131.899994,63.849998,63.98,1926100,50.488594
2006-02-01,115.050003,125.309998,114.379997,123.269997,1986200,48.638081
2006-01-03,114.949997,119.889999,113.349998,116.360001,1663100,45.911633
2005-12-01,114.75,116.25,110.169998,114.050003,2025000,44.844814
2005-11-01,115.849998,119.379997,114.099998,114.300003,1524600,44.943111
2005-10-03,119.559998,122.269997,114.300003,116.300003,1682300,45.729519
2005-09-01,114.650002,120.769997,113.57,119.550003,1559000,46.851662
2005-08-01,115.120003,116.779999,112.650002,114.589996,1151800,44.907833
2005-07-01,109.800003,117.620003,107.309998,115.190002,1844500,45.142975
2005-06-01,107.790001,112.889999,107.480003,109.540001,1522400,42.928741
2005-05-02,105.059998,108.589996,104.010002,107.980003,1586200,42.165222
2005-04-01,107.199997,108.980003,100.720001,105.050003,2173300,41.021084
2005-03-01,105.349998,109.959999,104.25,107.050003,1863400,41.647316
2005-02-01,103.120003,107.339996,102.449997,105.349998,1437100,40.985939
2005-01-03,105.379997,105.480003,97.589996,103.25,2978600,40.168941
2004-12-01,108.800003,109.900002,103.50,104.599998,1307300,40.549835
2004-11-01,102.150002,109.980003,99.949997,108.360001,1746300,42.007458
2004-10-01,102.849998,103.620003,96.25,102.120003,1562900,39.588425
2004-09-01,97.720001,102.769997,96.50,102.099998,1475200,39.441109
2004-08-02,98.830002,100.300003,93.620003,97.639999,1073300,37.71822
2004-07-01,98.919998,101.940002,95.629997,98.82,1668800,38.174049
2004-06-01,95.300003,100.779999,94.940002,99.300003,1603800,38.359474
2004-05-03,93.589996,95.760002,90.610001,95.629997,1925800,36.809479
2004-04-01,89.809998,95.620003,89.400002,93.620003,1506300,36.035801
