Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,0.19,0.19,0.19,0.19,000,0.14
2013-03-01,0.13,0.20,0.12,0.19,2800,0.14
2013-02-01,0.22,0.30,0.12,0.13,3400,0.07184
2013-01-01,68.50,70.60,0.17,70.37,109500,38.88868
2012-12-03,70.17,76.57,64.39,68.50,1468400,37.85526
2012-11-01,69.26,72.69,66.95,69.85,548500,38.60131
2012-10-01,60.61,70.00,54.55,69.33,678100,38.28606
2012-09-03,60.28,64.43,58.39,60.41,410200,33.36017
2012-08-01,57.14,63.23,56.55,60.28,608600,33.28838
2012-07-02,52.89,58.35,45.54,56.98,936500,31.44105
2012-06-01,52.96,54.36,47.74,52.91,752500,29.19526
2012-05-01,65.09,65.64,53.85,54.08,719400,29.84085
2012-04-02,62.95,67.41,59.00,65.14,1018100,35.91288
2012-03-01,68.96,70.93,62.14,63.02,1078700,34.74409
2012-02-01,75.75,80.23,68.57,68.68,1040900,37.83625
2012-01-02,77.06,84.46,70.78,74.60,848400,41.09762
2011-12-01,85.12,86.99,74.24,77.06,381400,42.45285
2011-11-01,73.58,85.86,73.40,85.72,680100,47.2237
2011-10-03,63.10,82.22,58.26,77.33,598700,42.57463
2011-09-01,79.10,79.96,62.50,63.55,571200,34.98794
2011-08-01,86.53,86.83,63.69,78.79,893900,43.37844
2011-07-01,84.26,92.93,81.94,85.29,529400,46.92622
2011-06-01,83.63,84.36,76.51,84.05,469800,46.24398
2011-05-02,86.68,86.96,76.92,83.78,327200,46.09542
2011-04-01,78.92,86.82,74.14,86.41,485100,47.5136
2011-03-01,73.51,78.93,68.4611,78.03,429800,42.90575
2011-02-01,72.72,77.70,69.75,73.14,416800,40.19023
2011-01-03,69.43,73.61,68.04,72.14,372500,39.64074
2010-12-01,66.22,71.2593,66.04,68.82,388800,37.81641
2010-11-01,58.23,65.64,57.92,65.45,258700,35.9646
2010-10-01,53.98,61.92,52.17,57.82,308500,31.74712
2010-09-01,48.84,54.57,48.42,53.68,300200,29.47398
2010-08-02,51.81,53.72,46.44,47.74,354900,26.21252
2010-07-01,44.65,52.78,43.41,50.77,504700,27.84978
2010-06-01,44.88,49.33,43.17,44.59,685900,24.45976
2010-05-03,50.55,51.69,42.37,45.54,449100,24.98088
2010-04-01,44.65,53.66,44.49,50.29,368200,27.55943
2010-03-01,43.89,46.14,43.21,44.04,320100,24.13436
2010-02-01,40.16,43.90,37.04,43.61,389300,23.87203
2010-01-04,41.71,43.35,39.64,39.85,456600,21.81381
2009-12-01,37.75,43.82,37.75,42.55,304300,23.29179
2009-11-02,35.89,40.40,35.66,37.43,362900,20.48911
2009-10-01,34.87,41.17,31.64,35.91,437900,19.63186
2009-09-01,32.17,36.22,31.76,34.88,371300,19.06876
2009-08-03,29.58,32.99,29.11,32.47,370800,17.75122
2009-07-01,25.05,31.00,22.18,29.19,544300,15.95806
2009-06-01,28.68,30.49,23.335,25.17,493400,13.76034
2009-05-01,26.75,29.50,25.42,28.34,472100,15.49337
2009-04-01,21.26,28.15,21.11,26.62,827400,14.55305
2009-03-02,18.40,22.59,17.22,21.74,531300,11.88517
2009-02-02,21.60,24.16,18.19,18.92,561600,10.34349
2009-01-02,23.55,25.90,20.64,21.77,496500,11.90157
2008-12-01,24.08,26.54,19.85,23.34,575800,12.75989
2008-11-03,25.51,26.84,17.70,24.75,596000,13.53073
2008-10-01,34.21,35.62,19.00,25.62,893200,14.00635
2008-09-02,45.91,45.99,30.58,34.72,771900,18.98129
2008-08-01,45.73,47.72,42.34,45.14,486000,24.67786
2008-07-01,56.51,56.99,40.30,45.60,1123900,24.92934
2008-06-02,53.18,57.87,51.1301,56.80,569300,31.05234
2008-05-01,46.75,53.06,46.26,53.06,486300,29.00769
2008-04-01,37.19,49.20,37.05,46.45,590300,25.39403
2008-03-03,37.18,39.00,34.34,37.10,554000,20.28242
2008-02-01,32.58,39.10,31.78,36.91,440100,20.17855
2008-01-02,33.07,33.45,27.09,32.44,347300,17.73482
2007-12-03,33.33,35.49,32.32,33.00,313000,18.04097
2007-11-01,35.54,35.86,30.37,33.11,468800,18.10111
2007-10-01,39.50,41.10,33.87,36.13,400000,19.75213
2007-09-04,40.21,41.15,36.01,39.00,407700,21.32115
2007-08-01,43.08,43.10,34.25,39.91,577600,21.81864
2007-07-02,42.54,46.09,39.39,41.59,394400,22.73709
2007-06-01,41.40,43.94,39.05,42.85,483100,23.42593
2007-05-01,38.00,41.71,37.55,41.19,516600,22.51841
2007-04-02,34.97,40.54,34.60,37.80,590600,20.66511
2007-03-01,33.20,35.55,31.01,34.85,565400,19.05236
2007-02-01,38.62,39.87,33.47,33.86,686600,18.51113
2007-01-03,36.50,38.90,34.78,38.55,508100,21.07513
2006-12-01,37.92,39.60,36.40,37.31,411500,20.39723
2006-11-01,33.99,38.58,32.14,38.24,514700,20.90566
2006-10-02,33.08,37.66,29.77,33.99,911200,18.5822
2006-09-01,36.50,38.30,30.44,33.08,640100,18.08471
2006-08-01,34.54,38.43,34.00,35.97,559800,19.66466
2006-07-03,38.00,38.76,30.90,34.65,803800,18.94302
2006-06-01,75.66,76.55,31.24,38.50,851700,21.0478
2006-05-01,75.00,81.45,69.13,75.46,694200,20.62684
2006-04-03,65.80,78.46,62.07,74.53,648100,20.37263
2006-03-01,61.36,65.45,58.73,65.20,481500,17.82229
2006-02-01,52.80,63.12,52.68,61.36,759200,16.77264
2006-01-03,49.55,53.53,48.56,52.90,344600,14.46011
2005-12-01,49.05,52.16,47.68,49.30,303200,13.47606
2005-11-01,48.60,50.18,45.96,48.80,387700,13.33938
2005-10-03,44.65,48.60,42.54,48.60,576300,13.28471
2005-09-01,41.81,45.02,41.32,44.60,382700,12.19132
2005-08-01,41.26,42.58,38.21,41.82,384500,11.43141
2005-07-01,35.08,43.66,32.82,41.10,685400,11.2346
2005-06-01,38.50,39.13,34.82,35.08,387000,9.58905
2005-05-02,36.63,40.87,36.18,38.35,433900,10.4829
2005-04-01,39.51,41.95,35.81,36.54,985600,9.98814
2005-03-01,41.07,43.13,39.15,39.51,269400,10.79998
2005-02-01,38.05,41.78,37.80,41.11,361500,11.23734
2005-01-03,36.04,38.21,33.97,37.86,247800,10.34896
2004-12-01,34.50,37.95,33.04,36.29,170800,9.9198
2004-11-01,29.98,34.60,29.38,34.40,217500,9.40317
2004-10-01,27.67,31.07,27.15,29.98,190500,8.19497
2004-09-01,27.69,28.08,26.01,27.57,208900,7.53621
2004-08-02,26.70,27.85,25.36,27.73,171500,7.57994
2004-07-01,28.00,28.53,25.70,26.78,194700,7.32026
2004-06-01,26.10,28.96,24.61,27.90,194100,7.62641
2004-05-03,26.20,27.05,24.55,26.19,175800,7.15899
2004-04-01,27.08,28.50,24.90,26.22,273100,7.16719
2004-03-01,29.10,29.52,23.75,27.08,427000,7.40226
2004-02-02,24.95,30.30,24.40,29.10,207900,7.95443
2004-01-02,23.97,25.75,23.97,24.92,108500,6.81183
2003-12-01,23.42,24.99,22.92,23.87,103500,6.52482
2003-11-03,20.70,23.83,20.70,23.32,126700,6.37448
2003-10-01,21.08,22.90,19.95,20.66,104400,5.64737
2003-09-02,23.56,25.10,20.18,21.01,72300,5.74304
2003-08-01,22.10,24.48,20.80,23.54,83100,6.43461
