Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,11.73,11.77,11.67,11.76,61800,8.981944
2013-03-01,11.78,12.12,11.56,11.78,78100,8.997219
2013-02-01,11.83,11.88,11.63,11.81,51600,8.781189
2013-01-02,11.54,11.86,11.45,11.79,60600,8.766317
2012-12-03,11.63,11.63,11.15,11.42,70500,8.491208
2012-11-01,11.68,11.79,11.09,11.59,57500,8.379267
2012-10-01,11.84,11.99,11.61,11.63,47900,8.408186
2012-09-04,12.01,12.23,11.78,11.81,53500,8.538321
2012-08-01,11.93,12.10,11.81,12.00,36300,8.448685
2012-07-02,11.91,12.03,11.78,11.88,30800,8.364199
2012-06-01,11.98,12.06,11.59,11.91,50800,8.38532
2012-05-01,12.24,12.37,11.98,12.05,47300,8.256894
2012-04-02,12.25,12.38,12.08,12.25,47400,8.393938
2012-03-01,12.70,12.84,12.19,12.27,53700,8.407642
2012-02-01,12.28,12.76,12.28,12.66,53800,8.45647
2012-01-03,11.94,12.31,11.67,12.31,64100,8.222682
2011-12-01,12.24,12.42,11.63,11.80,67000,7.882018
2011-11-01,12.08,12.44,11.90,12.28,62400,7.987315
2011-10-03,11.82,12.42,11.36,12.18,75200,7.922272
2011-09-01,12.86,12.91,11.73,11.92,65900,7.75316
2011-08-01,13.10,13.15,11.58,12.90,70100,8.177658
2011-07-01,13.37,13.46,13.00,13.02,70800,8.25373
2011-06-01,13.55,13.69,13.09,13.41,59600,8.50096
2011-05-02,13.70,13.70,13.30,13.58,63200,8.404063
2011-04-01,13.57,13.99,13.39,13.62,57300,8.428817
2011-03-01,13.69,13.89,13.15,13.53,52000,8.37312
2011-02-01,13.42,13.82,13.40,13.68,51400,8.268637
2011-01-03,13.46,13.54,13.29,13.39,67600,8.093351
2010-12-01,14.03,14.14,13.18,13.37,78500,8.081262
2010-11-01,14.12,14.36,13.59,13.92,70500,8.219023
2010-10-01,13.95,14.28,13.80,14.05,98400,8.29578
2010-09-01,13.75,14.10,13.57,13.86,112800,8.183596
2010-08-02,13.75,13.90,13.41,13.72,46700,7.916428
2010-07-01,13.09,13.71,12.98,13.70,44100,7.904888
2010-06-01,13.56,13.75,13.03,13.17,65400,7.599079
2010-05-03,14.62,14.94,13.20,13.68,74400,7.707623
2010-04-01,14.31,14.69,14.20,14.64,70100,8.248508
2010-03-01,14.27,14.85,14.01,14.29,62900,8.051311
2010-02-01,13.71,14.27,13.48,14.22,66100,7.834445
2010-01-04,14.51,14.65,13.40,13.69,100600,7.542444
2009-12-01,14.44,14.90,14.24,14.41,73500,7.939125
2009-11-02,14.25,14.49,14.03,14.37,64100,7.681714
2009-10-01,14.80,14.96,13.76,14.22,53700,7.601529
2009-09-01,14.46,14.94,14.13,14.84,77900,7.93296
2009-08-03,14.32,14.85,14.05,14.54,62300,7.604535
2009-07-01,13.63,14.41,13.44,14.17,59000,7.411022
2009-06-01,13.60,13.87,12.91,13.59,67300,7.107677
2009-05-01,12.81,13.53,12.70,13.42,69600,6.854343
2009-04-01,12.27,12.89,12.23,12.75,63000,6.512137
2009-03-02,11.90,13.02,10.93,12.39,105600,6.328265
2009-02-02,12.91,13.72,11.82,12.03,57700,6.044969
2009-01-02,13.07,13.68,12.75,13.01,52900,6.53741
2008-12-01,12.46,13.33,11.98,13.14,76100,6.602734
2008-11-03,13.15,13.69,11.55,12.66,102000,6.162429
2008-10-01,14.02,14.21,9.68,13.14,114200,6.396076
2008-09-02,15.88,16.08,13.50,14.02,93600,6.824429
2008-08-01,15.20,15.86,15.11,15.85,48100,7.518012
2008-07-01,15.47,15.75,14.40,15.21,44900,7.214446
2008-06-02,16.50,16.73,15.49,15.51,53500,7.356742
2008-05-01,15.92,16.610001,15.75,16.50,49700,7.631758
2008-04-01,16.049999,16.139999,15.72,15.89,50600,7.349615
2008-03-03,16.25,16.299999,14.83,15.99,62300,7.395867
2008-02-01,16.030001,16.43,15.75,16.200001,71100,7.307643
2008-01-02,16.09,16.50,14.80,16.00,77500,7.217425
2007-12-03,16.610001,17.50,15.60,15.99,147200,7.212914
2007-11-01,16.809999,16.950001,15.90,16.610001,89700,7.316086
2007-10-01,17.030001,17.85,16.65,16.90,65000,7.44382
2007-09-04,17.67,17.860001,16.59,17.129999,86900,7.545126
2007-08-01,18.00,18.68,15.00,17.67,93400,7.605789
2007-07-02,18.360001,19.50,16.870001,18.09,56800,7.786572
2007-06-01,19.799999,20.42,18.23,18.50,47300,7.96305
2007-05-01,19.549999,20.200001,19.50,19.780001,45900,8.3433
2007-04-23,19.799999,19.99,19.50,19.51,43900,8.229412
