Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,19.00,19.00,19.00,19.00,000,18.331404
2013-03-01,19.040001,19.43,18.950001,19.00,100,18.331404
2013-02-01,18.76,19.10,18.709999,19.040001,500,18.35487
2013-01-02,18.530001,18.93,18.35,18.719999,1600,18.031267
2012-12-03,18.67,18.700001,18.07,18.35,2100,17.65979
2012-11-01,17.879999,18.67,17.860001,18.67,400,17.952187
2012-10-01,17.90,18.450001,17.879999,17.879999,1400,17.17625
2012-09-04,17.549999,18.139999,17.549999,17.90,500,17.180178
2012-08-01,17.49,17.799999,16.27,17.549999,500,16.82802
2012-07-02,17.48,18.200001,17.290001,17.49,900,16.754141
2012-06-01,17.370001,19.08,16.969999,17.48,300,16.729252
2012-05-01,18.139999,18.139999,17.280001,17.549999,600,16.779779
2012-04-02,18.07,18.139999,17.389999,17.809999,300,17.01302
2012-03-01,18.25,18.40,17.389999,17.700001,400,16.892097
2012-02-01,17.66,18.469999,17.290001,18.469999,600,17.611582
2012-01-03,17.00,17.83,16.889999,17.809999,500,16.96764
2011-12-01,17.24,17.559999,16.690001,17.00,1000,16.182226
2011-11-01,17.65,17.76,15.65,17.24,1500,16.396107
2011-10-03,16.60,18.639999,16.48,17.65,500,16.771852
2011-09-01,18.030001,18.030001,16.25,16.60,800,15.76048
2011-08-01,19.17,19.50,17.50,18.030001,800,17.103653
2011-07-01,19.75,19.90,18.610001,19.17,300,18.169353
2011-06-01,20.57,20.690001,19.23,19.75,200,18.704933
2011-05-02,20.290001,20.940001,19.290001,20.57,1700,19.465792
2011-04-01,20.690001,20.940001,19.450001,20.290001,1200,19.185205
2011-03-01,20.440001,20.690001,19.040001,20.690001,1300,19.547464
2011-02-01,19.700001,20.440001,19.18,20.440001,1100,19.29537
2011-01-03,19.030001,20.08,18.309999,19.700001,800,18.58003
2010-12-01,19.50,19.950001,18.219999,19.030001,800,17.931425
2010-11-01,20.34,20.389999,19.969999,19.969999,300,18.801043
2010-10-01,19.889999,20.34,19.75,20.34,1700,19.132254
2010-09-01,18.530001,20.10,18.360001,19.860001,1300,18.664845
2010-08-02,18.360001,18.700001,18.25,18.530001,400,17.398201
2010-07-01,18.50,18.860001,18.309999,18.360001,200,17.221609
2010-06-01,18.60,19.799999,18.24,18.440001,1900,17.280771
2010-05-03,19.51,19.790001,18.02,18.51,1000,17.32971
2010-04-01,19.82,19.82,19.110001,19.57,900,18.305197
2010-03-01,18.41,19.82,18.41,19.82,2300,18.522169
2010-02-01,19.00,19.25,18.129999,18.41,2100,17.190277
2010-01-04,17.360001,19.41,17.290001,18.950001,4200,17.679564
2009-12-01,16.75,17.85,16.40,17.190001,1300,16.023378
2009-11-02,17.040001,17.51,16.51,16.51,1000,15.374614
2009-10-01,16.90,18.129999,16.66,17.040001,900,15.8536
2009-09-01,16.879999,17.75,15.73,16.66,600,15.48479
2009-08-03,16.00,16.879999,15.39,16.879999,1200,15.671938
2009-07-01,16.00,16.25,15.75,16.00,200,14.83729
2009-06-01,13.28,16.50,13.27,16.00,2200,14.820598
2009-05-01,12.80,13.75,12.71,13.05,1000,12.072739
2009-04-01,11.34,13.25,11.11,12.65,1700,11.686489
2009-03-02,11.43,12.35,9.66,11.34,4600,10.45766
2009-02-02,11.85,13.76,10.58,11.43,1200,10.519925
2009-01-02,10.25,11.39,10.25,11.35,400,10.431897
2008-12-01,13.35,16.41,9.31,10.25,3200,9.407047
2008-11-03,15.00,15.00,13.25,14.11,000,12.928885
2008-10-01,17.959999,20.290001,12.33,15.00,1200,13.715469
2008-09-02,18.75,19.68,17.25,17.959999,1300,16.378305
2008-08-01,20.91,21.309999,17.66,18.50,1100,16.82369
2008-07-01,20.84,21.889999,18.90,20.91,2200,18.96707
2008-06-02,20.200001,21.75,19.059999,20.889999,1400,18.898521
2008-05-01,20.75,20.77,19.799999,20.209999,700,18.235588
2008-04-01,19.85,22.41,19.85,20.75,900,18.683516
2008-03-03,19.950001,20.799999,18.889999,19.85,1700,17.838293
2008-02-01,19.58,20.90,19.370001,19.950001,12800,17.876165
2008-01-02,20.00,21.00,18.68,19.83,4200,17.705616
2007-12-27,19.75,20.25,19.50,19.51,1100,17.351149
