Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,7.49,7.49,7.37,7.41,6563400,7.221467
2013-03-01,7.34,7.60,7.05,7.49,2539700,7.299432
2013-02-01,7.05,7.88,7.00,7.42,1539200,7.231213
2013-01-02,6.56,7.05,6.39,7.01,1359900,6.831645
2012-12-03,6.55,6.69,5.98,6.46,1399800,6.295639
2012-11-01,6.01,6.53,5.79,6.49,910500,6.324875
2012-10-01,5.87,6.11,5.51,5.92,648400,5.769378
2012-09-04,5.59,5.90,5.50,5.81,571100,5.662176
2012-08-01,5.63,5.73,5.35,5.59,346300,5.447774
2012-07-02,5.52,5.89,5.18,5.60,512300,5.45752
2012-06-01,4.87,5.50,4.51,5.50,976600,5.360064
2012-05-01,5.34,5.55,4.78,4.95,694900,4.824057
2012-04-02,5.51,5.67,5.20,5.35,670400,5.21388
2012-03-01,5.32,5.76,5.12,5.52,593100,5.379555
2012-02-01,5.08,5.51,5.01,5.28,590800,5.145661
2012-01-03,4.40,5.18,4.38,5.01,473400,4.882531
2011-12-01,4.42,4.46,3.99,4.26,537000,4.151613
2011-11-01,4.15,4.59,3.90,4.43,641400,4.317287
2011-10-03,3.61,4.70,3.05,4.42,895100,4.307542
2011-09-01,4.25,4.39,3.41,3.45,1172000,3.362222
2011-08-01,5.05,5.05,3.58,4.21,1538800,4.102885
2011-07-01,5.47,5.61,4.79,4.95,1039700,4.824057
2011-06-01,5.47,5.50,4.80,5.44,1311000,5.30159
2011-05-02,5.50,5.87,5.07,5.48,1704700,5.340573
2011-04-01,5.49,5.64,4.66,5.49,2641900,5.350318
2011-03-01,5.28,5.55,4.78,5.42,624400,5.282099
2011-02-01,4.75,5.34,4.72,5.20,563600,5.067697
2011-01-03,4.01,4.95,3.91,4.75,447200,4.629146
2010-12-01,3.85,4.07,3.79,3.89,277000,3.791027
2010-11-01,3.68,3.91,3.45,3.72,359900,3.625352
2010-10-01,3.38,3.69,3.20,3.66,274900,3.566879
2010-09-01,3.12,3.43,3.05,3.34,337100,3.25502
2010-08-02,3.58,3.69,3.02,3.05,415500,2.972399
2010-07-01,3.14,3.78,3.04,3.50,326200,3.41095
2010-06-01,3.13,3.40,2.85,3.15,422700,3.069855
2010-05-03,3.71,3.83,2.91,3.16,393600,3.0796
2010-04-01,3.67,3.99,3.60,3.69,333500,3.596116
2010-03-01,3.55,4.10,3.49,3.61,523200,3.518151
2010-02-01,3.39,3.68,3.00,3.48,525500,3.391459
2010-01-04,3.58,3.80,3.09,3.38,540500,3.294003
2009-12-01,2.75,3.73,2.55,3.47,619000,3.381713
2009-11-02,2.31,3.00,2.20,2.70,375900,2.631304
2009-10-01,2.28,2.85,2.18,2.29,490200,2.231736
2009-09-01,2.13,3.27,1.98,2.31,579400,2.251227
2009-08-03,2.17,2.39,1.91,2.13,499000,2.075807
2009-07-01,1.86,2.17,1.37,2.13,246400,2.075807
2009-06-01,1.96,2.50,1.51,1.83,604900,1.783439
2009-05-01,1.71,1.98,1.40,1.88,476200,1.832167
2009-04-01,0.86,1.97,0.81,1.72,450600,1.676238
2009-03-02,0.84,1.00,0.60,0.87,324100,0.847865
2009-02-02,0.87,1.00,0.57,0.80,389500,0.779646
2009-01-02,1.16,1.39,0.75,0.87,455200,0.847865
2008-12-01,1.58,1.63,0.98,1.14,362100,1.110995
2008-11-03,1.83,1.89,0.73,1.65,369300,1.608019
2008-10-01,2.47,2.47,1.12,1.85,537200,1.802931
2008-09-02,2.90,3.36,2.09,2.50,657900,2.436393
2008-08-01,2.25,2.91,2.07,2.85,637600,2.777488
2008-07-01,1.99,2.50,1.79,2.25,490500,2.192753
2008-06-02,3.01,3.01,2.02,2.02,663500,1.968605
2008-05-01,2.82,3.08,2.50,2.99,381300,2.913926
2008-04-01,2.87,3.17,2.66,2.80,589200,2.72876
2008-03-03,3.08,3.25,2.85,2.92,380400,2.845707
2008-02-01,2.99,3.50,2.65,3.08,279500,3.001636
2008-01-02,3.77,3.81,2.75,2.98,288600,2.90418
2007-12-03,4.15,4.44,3.66,3.69,312900,3.596116
2007-11-01,4.60,4.72,3.81,4.10,218800,3.995684
2007-10-01,4.50,4.97,4.25,4.92,200800,4.794821
2007-09-04,4.73,5.03,4.20,4.52,236200,4.404998
2007-08-01,4.41,5.35,4.07,4.76,320200,4.638892
2007-07-02,4.91,6.10,4.34,4.44,341000,4.327034
2007-06-01,4.97,5.15,4.52,4.84,277700,4.716856
2007-05-01,5.16,5.33,4.76,4.94,219100,4.814312
2007-04-02,4.76,5.40,4.76,5.13,294900,4.999478
2007-03-01,4.70,5.05,4.40,4.74,218600,4.6194
2007-02-01,4.83,6.04,4.54,4.80,317700,4.677874
2007-01-03,4.37,4.83,4.11,4.83,356000,4.70711
2006-12-01,4.25,4.57,4.06,4.33,193100,4.219832
2006-11-01,3.90,4.42,3.71,4.24,337200,4.132122
2006-10-02,3.64,4.00,3.45,3.90,293700,3.800773
2006-09-01,3.88,4.08,3.55,3.66,192000,3.566879
2006-08-01,3.78,4.09,3.20,3.88,260800,3.781281
2006-07-03,3.79,3.99,3.36,3.82,241500,3.722808
2006-06-01,3.93,4.09,3.25,3.79,460700,3.693571
2006-05-01,2.68,3.99,2.54,3.88,698700,3.781281
2006-04-03,2.09,2.68,2.09,2.66,731500,2.592322
2006-03-01,2.65,2.80,1.94,2.07,1044400,2.017333
2006-02-01,2.67,2.85,2.20,2.60,98500,2.533848
2006-01-03,2.32,3.00,2.20,2.72,72600,2.650795
2005-12-01,2.70,2.79,2.20,2.28,101500,2.22199
2005-11-01,2.63,3.04,2.39,2.72,81500,2.650795
2005-10-03,2.75,3.00,2.09,2.65,110800,2.582576
2005-09-01,3.29,3.45,2.72,2.80,94500,2.72876
2005-08-01,3.87,3.95,3.22,3.29,100100,3.206293
2005-07-01,3.75,3.97,3.46,3.85,98200,3.752044
2005-06-01,3.75,4.02,3.44,3.65,138700,3.557133
2005-05-02,3.33,4.21,3.25,3.75,125100,3.654589
2005-04-01,4.41,4.63,2.98,3.24,135000,3.157565
2005-03-01,6.10,6.57,4.26,4.41,149600,4.297796
2005-02-01,6.70,6.91,5.70,6.07,81900,5.915561
2005-01-03,7.26,7.42,6.35,6.72,102200,6.549023
2004-12-01,8.00,8.20,7.06,7.20,176200,7.01681
2004-11-01,6.83,8.29,6.76,8.16,72000,7.952385
2004-10-01,6.58,7.18,6.09,6.86,70800,6.685462
2004-09-01,6.43,7.51,6.02,6.48,82600,6.31513
2004-08-02,6.85,7.05,5.95,6.45,67600,6.285893
2004-07-01,8.70,8.81,6.48,6.89,135000,6.714698
2004-06-01,6.36,8.86,6.14,8.65,313800,8.429918
2004-05-03,5.53,6.61,5.21,6.46,185400,6.295639
2004-04-01,4.90,5.63,4.82,5.48,64900,5.340573
2004-03-01,4.55,4.95,4.45,4.90,45100,4.77533
2004-02-02,4.65,4.85,4.20,4.55,70000,4.434235
2004-01-02,4.13,4.97,4.05,4.67,66200,4.551181
2003-12-01,3.54,4.34,3.54,4.06,43700,3.956702
2003-11-03,3.88,3.94,3.50,3.54,74600,3.449932
2003-10-01,5.06,5.06,3.71,3.86,128000,3.76179
2003-09-02,4.05,5.10,3.90,5.06,80600,4.931259
2003-08-01,5.00,5.00,3.85,4.00,94100,3.898228
2003-07-01,4.51,5.65,4.35,5.03,36700,4.902022
2003-06-02,5.65,5.99,4.50,4.51,32600,4.395253
2003-05-01,5.03,5.80,4.15,5.70,43100,5.554975
2003-04-01,5.50,6.29,5.01,5.03,33700,4.902022
2003-03-03,5.10,5.54,4.62,5.50,61700,5.360064
2003-02-03,5.79,5.95,5.05,5.14,21500,5.009223
2003-01-02,5.70,6.80,5.51,5.77,28500,5.623194
2002-12-02,7.02,7.02,5.64,5.64,20100,5.496501
2002-11-01,7.40,7.50,5.50,6.95,34400,6.773171
2002-10-01,8.00,8.30,6.37,7.45,34100,7.26045
2002-09-03,8.05,8.86,7.80,7.98,45800,7.776965
2002-08-01,8.05,8.40,7.00,8.05,44400,7.845184
2002-07-01,9.20,9.20,5.50,8.10,96700,7.893912
2002-06-03,7.28,9.25,6.87,9.25,146600,9.014652
2002-05-01,8.25,9.15,6.87,7.20,124400,7.01681
2002-04-01,6.25,8.52,6.00,8.15,139200,7.942639
2002-03-01,4.30,6.59,4.30,6.38,40200,6.217674
2002-02-01,3.70,5.34,3.60,4.30,17900,4.190596
2002-01-02,4.90,5.00,3.45,3.65,11900,3.557133
2001-12-03,5.69,5.90,4.70,4.85,15100,4.726602
2001-11-01,5.17,5.80,4.10,5.79,17500,5.642685
2001-10-01,5.60,6.70,4.90,5.17,19500,5.03846
2001-09-04,7.00,7.16,4.26,5.35,58300,5.21388
2001-08-01,5.60,7.20,4.88,7.05,36200,6.870627
2001-07-02,4.65,5.98,4.65,5.58,47900,5.438028
2001-06-01,3.03,4.99,2.96,4.75,71100,4.629146
2001-05-01,2.35,3.00,2.31,3.00,23700,2.923671
2001-04-02,2.25,2.50,1.80,2.29,23500,2.231736
2001-03-01,1.80,2.25,1.79,2.20,17700,2.144026
2001-02-01,1.54,2.60,1.51,1.80,32400,1.754203
2001-01-02,1.0625,1.63,1.0625,1.50,19500,1.461836
2000-12-01,1.4375,1.5625,1.0625,1.125,65200,1.096377
2000-11-01,1.9375,2.00,1.25,1.4375,57900,1.400926
2000-10-02,2.00,2.00,1.5625,1.875,17600,1.827294
2000-09-01,1.9375,2.125,1.5625,2.125,44200,2.070934
2000-08-01,2.375,2.625,1.25,2.00,149600,1.949114
2000-07-03,2.375,3.25,2.375,2.375,78200,2.314573
2000-06-01,3.5625,3.75,2.125,2.125,65700,2.070934
2000-05-01,4.125,4.125,2.50,3.4375,57900,3.35004
2000-04-03,4.1875,4.625,3.50,4.1875,45000,4.080957
2000-03-01,3.25,5.50,2.375,4.125,165500,4.020048
2000-02-01,5.4375,5.4375,3.125,3.1875,160100,3.1064
2000-01-03,5.9375,8.75,5.375,5.375,60700,5.238244
