Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,4.69,5.06,4.66,4.90,2212000,4.90
2013-03-01,4.17,4.77,4.13,4.69,374700,4.69
2013-02-01,3.74,4.98,3.25,4.17,615200,4.17
2013-01-02,2.28,4.04,2.25,3.74,374100,3.74
2012-12-03,2.13,2.34,1.99,2.20,91700,2.20
2012-11-01,2.18,2.30,1.70,2.10,144200,2.10
2012-10-01,2.34,2.50,2.07,2.13,191400,2.13
2012-09-04,1.84,2.34,1.80,2.28,284100,2.28
2012-08-01,1.68,2.00,1.67,1.85,158900,1.85
2012-07-02,1.48,1.75,1.45,1.68,117600,1.68
2012-06-01,1.35,1.62,1.34,1.47,505300,1.47
2012-05-01,1.80,1.99,1.35,1.39,189600,1.39
2012-04-02,1.88,1.99,1.58,1.80,169400,1.80
2012-03-01,2.09,2.15,1.85,1.89,156000,1.89
2012-02-01,2.08,2.39,1.98,2.06,143900,2.06
2012-01-03,1.69,2.11,1.54,2.05,186000,2.05
2011-12-01,1.71,1.82,1.57,1.62,129100,1.62
2011-11-01,1.84,1.99,1.56,1.70,95500,1.70
2011-10-03,1.55,2.09,1.31,1.90,130100,1.90
2011-09-01,1.91,1.97,1.50,1.56,100000,1.56
2011-08-01,2.49,2.58,1.38,1.90,225500,1.90
2011-07-01,2.65,2.75,2.25,2.43,111300,2.43
2011-06-01,2.66,2.67,2.11,2.64,180500,2.64
2011-05-02,2.80,2.95,2.31,2.65,496600,2.65
2011-04-01,2.10,2.85,2.10,2.79,304700,2.79
2011-03-01,2.40,2.52,2.00,2.07,427500,2.07
2011-02-01,1.99,2.46,1.87,2.22,299700,2.22
2011-01-03,1.89,2.19,1.87,1.98,181400,1.98
2010-12-01,2.03,2.03,1.81,1.87,295700,1.87
2010-11-01,1.99,2.19,1.44,1.99,438500,1.99
2010-10-01,2.02,2.05,1.92,1.95,165100,1.95
2010-09-01,1.89,2.39,1.88,2.01,194400,2.01
2010-08-02,2.65,2.99,1.83,1.85,206400,1.85
2010-07-01,2.44,2.83,2.12,2.60,254300,2.60
2010-06-01,3.10,3.10,2.40,2.41,456900,2.41
2010-05-03,3.73,3.98,2.50,2.99,393200,2.99
2010-04-01,2.35,4.88,2.31,3.75,527800,3.75
2010-03-01,1.65,2.80,1.63,2.30,374500,2.30
2010-02-01,2.00,2.24,1.65,1.66,343700,1.66
2010-01-04,1.57,2.15,1.52,1.98,264000,1.98
2009-12-01,1.20,1.75,1.08,1.50,279300,1.50
2009-11-02,1.73,2.18,0.89,1.12,629000,1.12
2009-10-01,2.43,2.90,1.70,1.75,706000,1.75
2009-09-01,0.74,3.57,0.68,2.32,2188300,2.32
2009-08-03,0.50,1.14,0.40,0.73,1200100,0.73
2009-07-01,0.49,0.58,0.38,0.49,191800,0.49
2009-06-01,0.68,0.73,0.48,0.49,379000,0.49
2009-05-01,0.73,0.92,0.55,0.68,344300,0.68
2009-04-01,0.34,0.72,0.32,0.68,327000,0.68
2009-03-02,0.34,0.49,0.28,0.32,195500,0.32
2009-02-02,0.33,0.55,0.31,0.33,181600,0.33
2009-01-02,0.40,0.52,0.31,0.33,181700,0.33
2008-12-01,0.57,0.59,0.30,0.40,339700,0.40
2008-11-03,0.51,0.75,0.16,0.59,906300,0.59
2008-10-01,1.68,1.75,0.41,0.55,279200,0.55
2008-09-02,2.52,2.55,1.61,1.72,293500,1.72
2008-08-01,2.51,2.65,2.10,2.46,242900,2.4231
2008-07-01,2.80,3.10,2.20,2.50,248500,2.4625
2008-06-02,4.02,4.03,2.67,2.87,271500,2.82695
2008-05-01,4.69,4.71,3.76,4.02,243600,3.923811
2008-04-01,5.81,6.05,4.49,4.70,240200,4.587541
2008-03-03,5.79,6.62,4.69,5.69,480100,5.553853
2008-02-01,7.69,7.73,5.49,5.80,348300,5.632139
2008-01-02,8.02,8.25,6.50,7.55,246900,7.331491
2007-12-03,8.52,9.58,7.31,8.02,251100,7.787889
2007-11-01,9.15,9.61,6.66,8.51,306000,8.232758
2007-10-01,8.47,10.04,8.38,9.46,136600,9.151808
2007-09-04,8.90,9.33,7.96,8.49,207700,8.213408
2007-08-01,8.02,9.75,6.53,8.95,349000,8.628393
2007-07-02,9.32,9.40,7.89,8.05,245700,7.760734
2007-06-01,10.35,10.57,9.24,9.27,243600,8.936894
2007-05-01,10.64,10.95,9.10,10.27,316000,9.869496
2007-04-02,10.50,11.33,10.17,10.67,306100,10.253897
2007-03-01,8.51,10.75,7.80,10.42,382800,10.013646
2007-02-01,8.93,9.47,7.98,8.71,319300,8.343983
2007-01-03,7.42,9.14,7.39,8.94,288600,8.564317
2006-12-01,6.32,7.42,6.11,7.33,207100,7.021974
2006-11-01,6.46,6.65,5.75,6.28,153700,5.988916
2006-10-02,6.42,6.67,6.10,6.45,119400,6.151037
2006-09-01,6.37,6.83,6.29,6.41,159000,6.112891
2006-08-01,6.65,6.68,5.91,6.39,173900,6.066814
2006-07-03,5.75,6.90,5.66,6.72,206300,6.380124
2006-06-01,6.62,6.79,5.15,5.79,494300,5.49716
2006-05-01,7.62,7.93,6.50,6.62,320900,6.254271
2006-04-03,8.30,8.63,7.58,7.59,209600,7.170682
2006-03-01,8.47,8.55,7.53,8.40,186700,7.935932
2006-02-01,8.86,9.25,8.24,8.42,222400,7.954828
2006-01-03,8.65,9.54,8.63,8.86,166600,8.370519
2005-12-01,9.00,10.36,8.95,9.82,291300,8.120159
2005-11-01,8.99,9.79,8.74,8.92,296600,7.353231
2005-10-03,10.59,11.00,8.83,9.00,392900,7.419179
2005-09-01,12.46,12.64,10.10,10.59,156700,8.729901
2005-08-01,12.77,13.59,10.80,12.30,235200,10.114795
2005-07-01,12.13,13.22,12.07,12.85,187300,10.567082
2005-06-01,11.75,12.16,10.58,12.06,198700,9.917433
2005-05-02,13.29,13.32,11.63,11.75,134900,9.635467
2005-04-01,14.50,14.66,12.80,13.15,148300,10.783522
2005-03-01,14.45,15.15,13.61,14.47,119100,11.865974
2005-02-01,14.44,15.74,14.33,14.54,122700,11.898223
2005-01-03,15.25,15.36,13.65,14.46,146400,11.832758
2004-12-01,14.90,15.74,14.90,15.50,125100,12.6838
2004-11-01,13.28,15.35,12.81,15.00,179000,12.153672
2004-10-01,12.00,13.36,12.00,13.28,162400,10.760051
2004-09-01,13.70,13.95,11.80,11.90,141400,9.641912
2004-08-02,11.87,13.95,11.20,13.74,144400,11.106874
2004-07-01,13.95,13.95,11.69,11.92,167300,9.635657
2004-06-01,14.07,14.57,13.84,13.89,126100,11.228127
2004-05-03,14.80,15.48,13.62,14.09,151700,11.365566
2004-04-01,14.67,16.190001,14.65,14.82,146700,11.954413
2004-03-01,14.06,14.83,13.52,14.62,205000,11.793086
2004-02-02,14.50,15.45,13.80,14.00,154000,11.269764
2004-01-02,14.90,16.219999,14.40,14.41,209100,11.599807
2003-12-01,13.05,15.76,12.52,15.12,242800,12.171345
2003-11-03,12.75,13.68,12.25,12.96,119700,10.417539
2003-10-01,11.73,13.00,11.35,12.72,173400,10.224621
2003-09-02,13.20,13.50,10.55,11.68,322200,9.388646
2003-08-01,12.85,14.90,12.44,13.30,256700,10.67439
2003-07-01,12.43,14.10,12.13,12.89,175000,10.34533
2003-06-02,12.55,13.38,11.96,12.40,294300,9.952063
2003-05-01,10.95,12.80,10.85,12.80,127000,10.257046
2003-04-01,9.00,11.15,8.91,11.05,148400,8.854715
2003-03-03,9.70,9.70,8.62,9.00,118000,7.211985
2003-02-03,10.00,10.08,8.90,9.64,71200,7.707575
2003-01-02,9.80,10.28,9.51,10.05,103500,8.035387
2002-12-02,10.12,10.35,9.45,9.75,180700,7.795525
2002-11-01,8.80,10.27,8.25,10.12,253800,8.075443
2002-10-01,10.90,10.95,7.95,8.85,528300,7.062023
2002-09-03,11.70,11.70,10.75,10.95,13900,8.737757
2002-08-30,11.05,11.75,11.05,11.75,63800,9.359006
