Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,20.139999,20.379999,19.75,19.889999,225800,16.650345
2013-03-01,19.639999,21.99,19.08,20.209999,129100,16.918222
2013-02-01,18.90,19.90,18.35,19.879999,103800,16.478735
2013-01-02,18.24,19.41,17.969999,18.879999,90800,15.649826
2012-12-03,16.879999,18.139999,16.50,18.059999,139400,14.970119
2012-11-01,18.26,18.33,15.65,16.84,129100,13.859541
2012-10-01,17.99,18.879999,17.860001,18.309999,100000,15.06937
2012-09-04,17.940001,19.200001,17.50,17.950001,113900,14.773087
2012-08-01,18.60,18.719999,17.280001,17.91,110000,14.639371
2012-07-02,19.280001,19.940001,18.15,18.58,132900,15.187019
2012-06-01,15.87,19.41,15.44,19.15,231700,15.652928
2012-05-01,15.78,16.459999,15.44,16.10,197400,13.068005
2012-04-02,15.58,16.25,15.02,15.82,216600,12.840734
2012-03-01,17.059999,17.209999,13.62,15.58,312800,12.645932
2012-02-01,16.83,18.059999,16.83,17.00,135600,13.798513
2012-01-03,14.21,16.959999,13.77,16.76,232300,13.603711
2011-12-01,15.89,15.92,12.22,13.95,499100,11.322898
2011-11-01,15.07,16.25,14.52,16.00,231000,12.739939
2011-10-03,14.31,16.74,13.41,15.94,219900,12.692163
2011-09-01,19.00,19.00,14.42,14.42,231300,11.48187
2011-08-01,24.32,24.32,15.53,19.01,446800,14.889632
2011-07-01,25.17,26.33,22.27,23.200001,240400,18.171461
2011-06-01,25.950001,26.469999,24.09,25.23,258600,19.761463
2011-05-02,25.530001,26.00,23.889999,25.950001,215800,19.947258
2011-04-01,23.17,25.540001,22.75,25.41,215600,19.532169
2011-03-01,29.559999,29.559999,21.01,22.879999,525500,17.587408
2011-02-01,29.27,29.809999,28.219999,29.42,407800,22.142826
2011-01-03,31.60,31.889999,27.25,29.040001,501200,21.856823
2010-12-01,30.40,32.200001,29.65,31.280001,140500,23.542747
2010-11-01,28.700001,30.23,28.219999,29.809999,163200,22.101385
2010-10-01,27.00,30.290001,26.33,28.51,191300,21.137554
2010-09-01,25.10,27.27,24.85,26.83,130600,19.891987
2010-08-02,24.290001,25.02,23.629999,24.83,114200,18.082621
2010-07-01,22.370001,24.65,21.299999,23.959999,128700,17.449038
2010-06-01,22.16,23.719999,20.82,22.41,203900,16.32024
2010-05-03,24.98,25.24,15.52,22.32,494900,15.925022
2010-04-01,23.48,25.59,23.07,24.77,67000,17.673065
2010-03-01,22.27,24.68,22.23,23.40,76100,16.695587
2010-02-01,21.74,22.42,20.76,22.09,69400,15.456841
2010-01-04,23.709999,24.00,21.50,21.57,104500,15.092985
2009-12-01,22.84,24.389999,22.15,23.530001,119900,16.464439
2009-11-02,24.639999,24.950001,21.50,22.73,109400,15.591578
2009-10-01,24.440001,25.629999,23.18,24.51,89400,16.812565
2009-09-01,23.33,26.32,22.27,24.540001,117900,16.833143
2009-08-03,22.639999,23.99,21.559999,23.59,97700,15.885642
2009-07-01,18.98,22.93,18.610001,22.389999,113000,15.077555
2009-06-01,18.49,20.049999,17.40,18.870001,110900,12.707168
2009-05-01,19.67,20.00,16.360001,18.24,162100,11.966073
2009-04-01,18.17,20.99,18.040001,19.620001,144200,12.871402
2009-03-02,16.32,18.889999,13.25,18.35,183800,12.038238
2009-02-02,20.379999,21.299999,16.389999,16.639999,119700,10.640275
2009-01-02,21.07,21.870001,18.02,20.74,121000,13.261978
2008-12-01,18.309999,22.049999,15.33,21.059999,126900,13.466599
2008-11-03,19.35,19.82,13.35,18.709999,125300,11.692663
2008-10-01,22.00,22.40,13.54,19.469999,137600,12.16762
2008-09-02,21.219999,23.120001,19.360001,22.17,102100,13.854963
2008-08-01,18.629999,21.41,18.469999,20.93,92500,12.797517
2008-07-01,14.23,19.15,13.12,18.709999,131700,11.440111
2008-06-02,17.41,18.16,14.34,14.41,182800,8.810904
2008-05-01,17.84,18.73,16.969999,17.41,114600,10.357274
2008-04-01,16.00,19.040001,15.68,18.110001,173400,10.773707
2008-03-03,26.85,27.82,13.33,15.93,448900,9.476817
2008-02-01,26.459999,28.58,26.190001,26.860001,110200,15.50645
2008-01-02,26.690001,27.90,25.690001,26.299999,139500,15.183158
2007-12-03,26.879999,28.370001,25.209999,26.68,85600,15.402534
2007-11-01,27.84,27.950001,25.43,27.120001,95700,15.38997
2007-10-01,27.139999,29.23,26.32,28.43,86200,16.133364
2007-09-04,27.35,28.620001,24.67,27.200001,73400,15.435368
2007-08-01,25.049999,28.719999,23.799999,27.27,123500,15.221625
2007-07-02,26.299999,27.49,24.799999,25.200001,113100,14.066189
2007-06-01,28.51,28.780001,26.17,26.280001,97700,14.669024
2007-05-01,28.75,29.389999,27.24,28.48,93900,15.622836
2007-04-02,28.34,30.33,28.23,28.66,72600,15.721577
2007-03-01,29.200001,30.24,27.799999,28.74,79300,15.765461
2007-02-01,31.18,32.099998,29.24,29.67,72100,16.02313
2007-01-03,31.049999,31.709999,29.870001,31.15,58200,16.822397
2006-12-01,30.82,33.849998,30.370001,30.90,79200,16.687386
2006-11-01,31.889999,31.889999,29.10,31.049999,57400,16.522751
2006-10-02,29.200001,32.560001,28.84,32.00,56000,17.028278
2006-09-01,30.299999,30.299999,29.02,29.280001,70800,15.580875
2006-08-01,28.50,30.43,28.15,30.10,59800,15.774782
2006-07-03,28.34,29.00,27.16,28.58,59400,14.978182
2006-06-01,25.90,28.469999,25.90,28.440001,72600,14.904811
2006-05-01,27.700001,28.10,25.42,25.75,71000,13.275743
2006-04-03,29.00,29.10,26.889999,27.639999,48300,14.250156
2006-03-01,28.299999,29.99,27.25,29.10,48900,15.002878
2006-02-01,28.48,28.82,27.120001,28.35,40000,14.392137
2006-01-03,26.17,28.530001,26.120001,28.530001,69400,14.483516
2005-12-01,26.950001,27.35,25.83,26.290001,59700,13.346359
2005-11-01,27.25,28.190001,26.33,26.870001,41700,13.413541
2005-10-03,28.780001,28.940001,25.25,27.25,48300,13.603237
2005-09-01,28.959999,29.85,27.66,28.780001,35200,14.367016
2005-08-01,29.92,30.700001,27.15,28.959999,38300,14.236552
2005-07-01,27.780001,30.43,27.01,30.030001,43300,14.762558
2005-06-01,27.700001,29.35,27.549999,27.700001,41900,13.617145
2005-05-02,25.309999,28.33,24.92,27.639999,45100,13.377156
2005-04-01,25.77,26.389999,24.809999,25.23,50100,12.210769
2005-03-01,26.98,27.860001,24.75,25.549999,49900,12.365642
2005-02-01,26.700001,28.50,25.91,26.83,58200,12.76696
2005-01-03,28.610001,28.780001,25.33,26.690001,87800,12.700342
2004-12-01,29.00,30.10,28.27,28.73,35700,13.671068
2004-11-01,28.00,29.889999,27.50,28.99,37400,13.591148
2004-10-01,26.17,28.700001,26.040001,28.120001,48100,13.183273
2004-09-01,25.110001,26.219999,24.700001,26.219999,36500,12.292511
2004-08-02,23.34,25.129999,22.969999,25.110001,32000,11.577973
2004-07-01,25.200001,25.32,22.75,23.360001,34300,10.771066
2004-06-01,23.799999,25.52,23.50,25.16,50800,11.601027
2004-05-03,21.60,24.10,21.35,23.799999,50700,10.78989
2004-04-01,26.65,26.799999,21.219999,21.51,113000,9.751703
2004-03-01,26.60,27.469999,25.790001,26.57,54800,12.045689
2004-02-02,26.60,26.85,25.379999,26.75,42100,11.931914
2004-01-02,26.15,27.379999,25.27,26.68,61600,11.900691
2003-12-01,25.129999,27.35,24.700001,26.15,50200,11.664283
2003-11-03,24.85,25.48,24.25,25.030001,48100,10.990575
2003-10-01,24.50,25.73,23.950001,24.75,48900,10.867627
2003-09-02,24.549999,25.25,23.65,24.50,52000,10.757854
2003-08-01,24.00,25.00,23.57,24.549999,34500,10.594551
2003-07-01,22.50,24.50,22.41,24.139999,50100,10.417615
2003-06-02,21.75,23.42,21.620001,22.32,72800,9.632195
2003-05-01,19.75,21.90,19.549999,21.549999,64200,9.132544
2003-04-01,18.799999,20.49,18.780001,19.889999,68600,8.429062
2003-03-03,19.200001,19.49,18.700001,18.780001,67500,7.958663
2003-02-03,18.450001,19.219999,18.049999,19.15,51400,7.941799
2003-01-02,19.00,19.48,17.90,18.35,48600,7.610027
2002-12-02,19.40,20.049999,18.799999,18.950001,45200,7.858857
2002-11-01,19.60,20.049999,18.01,19.50,49300,7.917412
2002-10-01,19.10,20.00,17.10,19.58,52600,7.949893
2002-09-03,18.629999,20.35,18.450001,19.08,67000,7.746883
2002-08-01,19.10,19.35,17.52,18.629999,57000,7.408672
2002-07-01,20.450001,20.450001,15.87,19.10,106100,7.59558
2002-06-03,17.98,20.549999,17.879999,20.25,91700,8.052905
2002-05-01,18.85,18.92,16.98,17.98,67900,7.002385
2002-04-01,18.950001,19.49,18.60,18.85,67200,7.34121
2002-03-01,18.129999,19.35,18.01,18.799999,58500,7.321737
2002-02-01,19.48,19.65,16.00,17.969999,111100,6.848885
2002-01-02,18.90,19.90,18.42,19.48,74400,7.42439
2001-12-03,18.60,19.75,18.16,18.85,76500,7.184279
2001-11-01,17.049999,20.00,16.60,18.60,104100,6.939316
2001-10-01,18.00,18.00,16.549999,17.139999,62300,6.394617
2001-09-04,17.290001,18.00,15.52,18.00,136200,6.715467
2001-08-01,20.60,20.719999,15.50,17.25,144700,6.282019
2001-07-02,19.02,22.049999,18.90,20.60,56700,5.995797
2001-06-01,21.700001,21.790001,18.90,19.16,20800,5.533014
2001-05-01,16.450001,21.58,16.299999,21.58,7800,6.23186
2001-04-02,14.20,17.200001,14.00,16.450001,2700,4.750422
2001-03-01,15.05,15.05,14.15,14.20,3500,4.057351
2001-02-01,15.32,15.45,15.05,15.05,1700,4.300221
2001-01-02,15.0625,15.45,14.75,15.45,2000,4.414513
2000-12-01,13.875,15.125,13.25,15.125,2700,4.321651
2000-11-01,10.1875,14.8125,10.00,13.9375,13200,3.942357
2000-10-02,11.4375,11.4375,9.875,10.25,7100,2.899312
2000-09-01,11.75,12.00,11.375,11.50,10100,3.209754
2000-08-01,11.1875,11.75,11.00,11.75,5100,3.279532
2000-07-03,10.9375,11.25,10.9375,11.25,7300,3.139977
2000-06-01,11.1875,11.625,10.3125,10.875,23600,3.035311
2000-05-01,12.125,12.3125,11.125,11.1875,6400,3.081357
2000-04-03,11.375,13.4375,11.1875,12.25,32700,3.374
2000-03-01,11.875,11.875,9.8125,11.25,3000,3.057485
2000-02-01,12.6875,12.875,11.875,12.0625,16400,3.278303
2000-01-03,11.125,12.9375,10.875,12.6875,6500,3.448164
