Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,6.91,6.91,6.85,6.86,236200,4.991704
2013-03-01,6.61,6.91,6.60,6.90,100900,5.020811
2013-02-01,6.83,6.88,6.48,6.68,112900,4.824933
2013-01-02,6.21,6.85,6.20,6.77,191600,4.854247
2012-12-03,6.86,6.97,6.06,6.16,256000,4.384097
2012-11-01,7.00,7.17,6.10,6.87,163200,4.850847
2012-10-01,8.10,8.17,7.00,7.00,133400,4.906491
2012-09-04,8.18,8.22,7.97,8.11,69400,5.648723
2012-08-01,8.24,8.52,7.95,8.23,76600,5.697051
2012-07-02,8.04,8.40,8.01,8.20,53000,5.642972
2012-06-01,7.93,8.14,7.89,7.99,45600,5.464971
2012-05-01,8.01,8.10,7.85,7.98,47500,5.424314
2012-04-02,8.05,8.14,7.76,8.04,48800,5.43128
2012-03-01,7.87,8.31,7.80,8.09,60200,5.4309
2012-02-01,7.98,8.22,7.62,7.84,70300,5.230584
2012-01-03,7.82,8.40,7.65,7.96,80600,5.277617
2011-12-01,7.45,7.80,7.25,7.80,66400,5.139009
2011-11-01,7.20,7.54,7.05,7.37,55600,4.823203
2011-10-03,6.87,7.35,6.46,7.25,62000,4.711538
2011-09-01,6.87,7.01,6.50,6.86,66300,4.426562
2011-08-01,6.80,6.98,5.66,6.92,87900,4.432152
2011-07-01,7.21,7.82,6.35,6.64,77200,4.2205
2011-06-01,7.24,7.36,6.86,7.23,59800,4.564253
2011-05-02,6.89,7.50,6.83,7.24,57600,4.539088
2011-04-01,6.67,6.90,6.55,6.81,54700,4.239728
2011-03-01,6.44,6.84,6.40,6.68,64200,4.127758
2011-02-01,6.46,6.66,6.33,6.48,54600,3.973512
2011-01-03,6.54,6.59,6.21,6.50,62800,3.955116
2010-12-01,6.78,6.88,6.14,6.39,74300,3.858274
2010-11-01,6.65,6.90,6.52,6.75,70000,4.038251
2010-10-01,6.35,6.93,6.15,6.56,101800,3.889593
2010-09-01,5.66,6.45,5.66,6.31,94900,3.707452
2010-08-02,8.00,8.25,5.50,5.58,168200,3.247512
2010-07-01,7.90,8.25,7.50,7.95,72200,4.592642
2010-06-01,7.67,8.40,7.65,7.98,54400,4.574558
2010-05-03,8.13,8.44,7.15,7.65,89400,4.353139
2010-04-01,7.79,8.39,7.73,8.10,78400,4.575927
2010-03-01,7.47,7.95,7.11,7.78,95800,4.363029
2010-02-01,7.41,8.30,6.94,7.55,140500,4.201475
2010-01-04,9.08,9.14,7.60,7.72,116900,4.262072
2009-12-01,8.56,9.29,8.23,8.95,71800,4.908118
2009-11-02,7.25,8.67,6.84,8.57,60500,4.668292
2009-10-01,7.54,8.44,7.00,7.12,61500,3.849498
2009-09-01,7.01,7.77,6.90,7.41,47500,3.976974
2009-08-03,6.90,7.48,6.76,7.08,46000,3.767615
2009-07-01,7.00,7.12,6.62,6.92,47200,3.652246
2009-06-01,6.60,7.00,6.50,7.00,40300,3.662202
2009-05-01,6.03,7.10,5.96,6.55,47800,3.396715
2009-04-01,5.44,6.42,5.33,5.99,44300,3.078324
2009-03-02,5.49,6.07,4.15,5.46,64700,2.778078
2009-02-02,6.60,7.55,5.05,5.57,73300,2.79913
2009-01-02,5.92,7.25,5.66,6.63,48400,3.305165
2008-12-01,6.24,6.60,5.50,5.90,52000,2.914263
2008-11-03,7.97,7.97,5.01,6.24,57300,3.051433
2008-10-01,9.28,9.28,3.95,7.63,125000,3.696235
2008-09-02,9.40,9.71,9.08,9.12,51500,4.38168
2008-08-01,9.33,9.51,9.24,9.39,32600,4.483175
2008-07-01,9.25,9.58,9.13,9.34,37800,4.430656
2008-06-02,9.35,9.40,9.20,9.30,32000,4.383401
2008-05-01,9.44,9.45,9.16,9.31,29900,4.360075
2008-04-01,9.23,9.47,9.12,9.35,28700,4.350282
2008-03-03,9.30,9.40,8.95,9.23,28400,4.266891
2008-02-01,9.14,9.60,8.95,9.29,36500,4.26659
2008-01-02,9.50,9.55,8.65,9.20,37900,4.197789
2007-12-03,9.24,9.55,8.91,9.50,37400,4.30584
2007-11-01,9.22,9.48,9.00,9.19,30600,4.138402
2007-10-01,9.32,9.48,9.19,9.28,24700,4.151133
2007-09-04,9.31,9.49,9.10,9.34,30200,4.151304
2007-08-01,9.50,9.85,8.45,9.36,35600,4.133325
2007-07-02,9.60,9.89,9.50,9.50,28800,4.168736
2007-06-01,9.95,10.10,9.26,9.67,42000,4.216841
2007-05-01,9.46,10.12,9.46,9.99,35800,4.329157
2007-04-02,10.09,10.35,9.42,9.46,45800,4.074934
2007-03-01,9.92,10.35,9.76,10.00,32500,4.281774
2007-02-01,9.87,9.99,9.70,9.92,28900,4.222411
2007-01-03,9.85,9.95,9.57,9.86,29800,4.171514
2006-12-01,9.78,9.94,9.40,9.94,28000,4.179586
2006-11-01,9.59,9.80,9.30,9.70,30100,4.053099
2006-10-02,9.39,9.64,9.11,9.64,29500,4.003241
2006-09-01,9.29,9.58,9.10,9.39,30100,3.874319
2006-08-01,9.24,9.70,9.00,9.23,33400,3.783465
2006-07-03,8.70,9.27,8.61,9.23,29800,3.758574
2006-06-01,8.27,8.82,8.01,8.76,42800,3.543403
2006-05-01,8.50,8.55,8.04,8.34,43600,3.373514
2006-04-03,9.08,9.21,7.71,8.47,60700,3.401656
2006-03-01,9.79,9.94,9.00,9.08,45600,3.622027
2006-02-01,9.54,9.90,9.40,9.84,35000,3.899454
2006-01-03,9.26,9.68,9.05,9.58,40000,3.772568
2005-12-01,9.33,9.60,9.23,9.27,25100,3.626812
2005-11-01,9.31,9.59,9.21,9.40,23300,3.654446
2005-10-03,9.90,9.95,8.80,9.41,39000,3.635082
2005-09-01,10.25,10.45,9.47,9.84,39900,3.777056
2005-08-01,10.20,10.50,9.79,10.08,37200,3.846486
2005-07-01,9.88,10.25,9.83,10.10,35000,3.854118
2005-06-01,9.81,10.24,9.76,9.87,36600,3.766351
2005-05-02,9.70,10.00,9.58,9.80,30400,3.717111
2005-04-01,9.40,9.72,9.16,9.64,31500,3.656424
2005-03-01,9.71,10.00,9.00,9.36,39800,3.527869
2005-02-01,9.70,10.15,9.60,9.79,37800,3.667689
2005-01-03,9.30,9.78,9.16,9.69,41300,3.608444
2004-12-01,9.30,9.37,8.99,9.30,68800,3.441224
2004-11-01,8.85,9.50,8.77,9.33,76400,3.429587
2004-10-01,9.70,10.05,8.57,8.85,81400,3.232468
2004-09-01,9.67,9.84,9.35,9.65,37900,3.502867
2004-08-02,9.40,9.84,9.28,9.83,39200,3.546156
2004-07-01,9.19,9.60,9.02,9.42,25600,3.377099
2004-06-01,9.10,9.33,8.95,9.22,28300,3.2837
2004-05-03,8.81,9.24,8.32,9.14,37800,3.233792
2004-04-01,9.74,9.85,8.00,8.71,49600,3.061381
2004-03-01,9.48,9.94,9.44,9.75,47800,3.405567
2004-02-02,9.72,9.77,9.23,9.53,59000,3.308344
2004-01-02,9.55,9.94,9.24,9.72,54700,3.352556
2003-12-01,9.14,9.75,9.00,9.60,48600,3.289987
2003-11-03,9.06,9.15,8.84,9.08,50700,3.091329
2003-10-01,7.95,9.05,7.84,9.01,137900,3.04716
2003-09-02,8.59,8.59,7.60,7.89,141400,2.649251
2003-08-01,9.92,9.97,7.85,8.59,60300,2.863417
2003-07-01,9.61,10.10,9.40,9.92,34400,3.112354
2003-06-02,9.77,9.95,9.30,9.61,44500,2.997002
2003-05-01,9.21,9.95,8.90,9.80,44100,3.037215
2003-04-01,8.90,9.22,8.70,9.21,29900,2.835542
2003-03-03,8.87,9.04,8.53,8.94,25300,2.734366
2003-02-03,8.85,9.22,8.41,8.87,26400,2.694728
2003-01-02,8.72,9.35,8.48,8.85,33600,2.670728
2002-12-02,9.00,9.05,8.55,8.72,20900,2.614146
2002-11-01,8.15,9.00,8.15,9.00,19800,2.679918
2002-10-01,8.65,8.79,7.21,8.12,37300,2.400733
2002-09-03,9.10,9.12,8.49,8.60,23600,2.523579
2002-08-01,8.65,9.35,8.52,9.10,24800,2.652417
2002-07-01,8.80,9.07,7.80,8.55,64300,2.474899
2002-06-03,8.37,9.00,8.11,8.73,75300,2.509165
2002-05-01,9.86,10.25,8.08,8.37,45100,2.388673
2002-04-01,9.76,9.92,9.16,9.76,15700,2.768729
2002-03-01,9.73,10.25,9.70,9.76,19000,2.750962
2002-02-01,9.75,9.90,9.44,9.73,17000,2.725783
2002-01-02,9.37,9.75,9.15,9.70,22700,2.700466
2001-12-03,9.07,9.48,9.01,9.33,13400,2.581375
2001-11-01,9.03,9.25,8.85,9.05,17600,2.468448
2001-10-01,8.60,9.22,8.51,9.03,13900,2.446536
2001-09-04,8.93,9.20,8.12,8.54,21100,2.298522
2001-08-01,8.70,9.10,8.52,8.93,10500,2.389926
2001-07-02,8.98,9.17,8.63,8.68,10300,2.309513
2001-06-01,9.04,9.12,8.66,8.90,12100,2.354966
2001-05-01,9.20,9.27,8.60,9.07,10700,2.386312
2001-04-02,8.38,9.23,8.12,9.20,16100,2.407068
2001-03-01,9.00,9.10,8.20,8.40,10300,2.184753
2001-02-01,8.32,9.06,8.20,9.03,11000,2.335097
2001-01-02,8.75,9.0625,8.12,8.32,20500,2.13884
2000-12-01,8.25,9.375,8.125,8.75,18100,2.236708
2000-11-01,8.00,8.375,7.875,8.3125,10000,2.020141
2000-10-02,8.25,8.50,7.875,8.00,10900,1.932139
2000-09-01,8.125,8.9375,8.0625,8.3125,12500,1.995537
2000-08-01,7.75,8.375,7.75,8.125,13000,1.939379
2000-07-03,7.875,8.00,7.6875,7.8125,13100,1.8534
2000-06-01,7.625,8.125,7.625,7.9375,12400,1.871098
2000-05-01,8.00,8.0625,7.625,7.6875,11100,1.800928
2000-04-03,7.5625,8.25,7.50,8.00,13600,1.862045
2000-03-01,7.5625,7.875,7.3125,7.5625,18400,1.749039
2000-02-01,7.875,8.125,7.50,7.5625,17800,1.737754
2000-01-03,7.6875,8.4375,7.5625,7.8125,19900,1.783893
