Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,19.940006,19.990005,19.360001,19.709995,398000,15.402114
2013-03-01,18.220003,20.229998,18.01,19.930002,252000,15.574035
2013-02-01,17.529997,18.900005,17.479998,18.359995,203700,14.347175
2013-01-02,15.299996,17.960001,14.670004,17.440002,222800,13.628257
2012-12-03,15.219995,16.01,13.539999,14.900002,176500,11.643409
2012-11-01,13.979998,15.130001,12.540004,14.829995,151000,10.47946
2012-10-01,15.030003,15.249998,13.559996,13.929998,121700,9.843487
2012-09-04,13.320004,16.24,13.179999,14.900002,468100,10.52893
2012-08-01,13.119996,13.689996,12.519995,13.299995,134900,9.398302
2012-07-02,13.920006,15.500004,12.709998,13.060004,170700,9.228714
2012-06-01,12.809997,14.419997,12.35,13.940002,183800,9.850555
2012-05-01,16.179995,16.179995,12.690001,13.080001,179700,9.242845
2012-04-02,16.510002,16.930004,15.010005,16.339996,135800,11.546487
2012-03-01,14.48,16.920002,14.009999,16.469997,206300,11.63835
2012-02-01,14.300001,15.500004,14.150003,14.410004,121200,10.182677
2012-01-03,10.61,14.419997,10.61,14.109998,183400,9.970681
2011-12-01,11.140003,11.899996,9.879997,10.330002,111800,7.299587
2011-11-01,10.499996,12.339996,9.899996,11.220004,163000,7.928498
2011-10-03,8.639999,12.000005,8.429998,11.00,189300,7.773034
2011-09-01,11.810001,11.959999,7.829998,8.739999,249100,6.176028
2011-08-01,15.260001,15.399995,10.490004,11.819996,334900,8.352475
2011-07-01,15.089995,15.379997,13.96,15.10,205100,10.670256
2011-06-01,16.250004,16.250004,13.459997,15.089995,226100,10.663186
2011-05-02,14.980003,16.980005,14.519996,16.330004,355600,11.539426
2011-04-01,15.169996,15.36,13.160002,14.969999,108000,10.578392
2011-03-01,13.220005,15.320004,12.53,15.039996,219700,10.627855
2011-02-01,12.720003,13.920006,12.280003,13.199998,155200,9.32764
2011-01-03,9.740004,12.759997,9.240002,12.61,256200,8.910724
2010-12-01,9.450003,10.020001,9.270003,9.660004,88600,6.82614
2010-11-01,9.879997,9.940001,8.85,9.259999,101500,6.543481
2010-10-01,9.400002,10.159995,8.98,9.829998,93600,6.946265
2010-09-01,8.000004,9.339999,7.799996,9.279996,117900,6.557611
2010-08-02,9.019996,9.199995,7.279995,7.970002,129400,5.631918
2010-07-01,7.070005,8.819999,6.780003,8.759996,92600,6.190159
2010-06-01,7.740004,8.269998,7.040003,7.070005,174700,4.995945
2010-05-03,8.759996,9.950006,7.409996,7.900005,113300,5.582455
2010-04-01,7.489996,9.580002,7.42,8.819999,71400,6.232559
2010-03-01,6.750001,7.950004,6.750001,7.430004,86300,5.250334
2010-02-01,6.210004,6.969996,6.110005,6.750001,52700,4.769817
2010-01-04,6.28,6.629995,5.900004,6.180002,29700,4.367033
2009-12-01,6.009996,6.499995,5.989999,6.249999,33700,4.416496
2009-11-02,5.510004,6.420004,5.439996,6.030005,32400,4.261039
2009-10-01,6.739997,6.800001,5.699996,5.749996,37400,4.063174
2009-09-01,6.329999,6.990004,5.530001,6.810005,32500,4.812218
2009-08-03,4.899998,6.659997,4.600003,6.329999,34100,4.473028
2009-07-01,3.859998,4.719999,3.489995,4.719999,49800,3.335338
2009-06-01,3.499999,4.559997,3.410005,3.900003,12600,2.755896
2009-05-01,2.669999,3.499999,2.669999,3.40,34200,2.402574
2009-04-01,1.950002,2.849998,1.92,2.669999,11600,1.886727
2009-03-02,1.490005,2.249997,1.050005,2.000001,24900,1.41328
2009-02-02,2.110003,2.320004,1.35,1.499998,42300,1.059958
2009-01-02,2.500004,2.799999,2.019999,2.199998,13000,1.554605
2008-12-01,2.099999,3.109998,1.79,2.450004,50700,1.73127
2008-11-03,2.570001,2.830001,1.679997,2.119997,57200,1.498073
2008-10-01,3.900003,4.000002,2.329998,2.539999,62900,1.794863
2008-09-02,5.150005,5.24,3.959996,4.009995,40300,2.833621
2008-08-01,5.049996,5.320001,4.299997,4.98,67200,3.519064
2008-07-01,5.560003,6.399996,4.990004,4.990004,112800,3.526133
2008-06-02,6.750001,7.480003,5.599998,5.690003,157700,4.020781
2008-05-01,6.379999,7.560004,6.02,6.77,99900,4.783949
2008-04-01,5.099995,6.889995,4.910003,6.290005,123100,4.444766
2008-03-03,7.309997,7.580001,4.630004,5.010001,283300,3.540264
2008-02-01,6.800001,7.929996,6.609997,7.320001,159000,5.172602
2008-01-02,7.710001,7.849995,5.50,6.839996,224400,4.833411
2007-12-03,6.880002,8.529998,6.780003,7.740004,140700,5.469392
2007-11-01,9.929997,10.340006,5.660002,6.830002,310300,4.826349
2007-10-01,11.890002,12.900002,9.710002,10.050003,104000,7.101729
2007-09-04,11.650001,12.750005,10.629997,11.870006,106000,8.387815
2007-08-01,12.499998,13.760004,9.699998,11.680002,193600,8.253551
2007-07-02,15.620001,15.75,12.399999,12.540004,93900,8.861261
2007-06-01,16.049995,16.120003,14.369998,15.509997,188100,10.959976
2007-05-01,15.979999,18.150005,15.019999,15.949997,142300,11.270897
2007-04-02,15.019999,17.90,15.000001,15.979999,118300,11.292097
2007-03-01,18.50,19.15,15.000001,15.000001,310900,10.599592
2007-02-01,18.900005,21.349997,18.250004,18.599997,491200,13.143493
2007-01-31,18.150005,19.200001,18.109999,18.699997,19460800,13.214155
