Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,37.50,37.669998,36.82,37.110001,2232400,36.354488
2013-03-01,39.709999,42.360001,36.16,37.450001,2900700,36.687569
2013-02-01,36.389999,44.93,30.84,40.290001,8423800,39.175858
2013-01-02,33.84,47.16,31.82,36.32,14044000,35.315639
2012-12-03,46.189999,47.450001,24.24,32.939999,10824600,32.029106
2012-11-01,51.099998,52.200001,42.18,45.970001,2048200,44.698788
2012-10-01,47.400002,53.599998,47.169998,51.349998,1574500,49.605442
2012-09-04,48.560001,52.549999,44.790001,47.400002,1230000,45.789639
2012-08-01,54.93,55.00,47.84,48.389999,1614100,46.746002
2012-07-02,48.369999,56.389999,46.50,54.889999,2076700,52.716648
2012-06-01,44.00,48.439999,43.599998,48.330002,1546300,46.416393
2012-05-01,70.400002,70.75,42.150002,44.790001,9246400,43.016556
2012-04-02,69.540001,73.00,67.639999,70.32,1563500,67.095253
2012-03-01,66.099998,72.110001,64.93,68.82,1362700,65.66404
2012-02-01,58.16,67.50,57.330002,66.209999,1539700,62.892788
2012-01-03,52.650002,58.299999,50.700001,57.880001,1270600,54.980137
2011-12-01,55.759998,57.450001,50.50,51.669998,1071100,49.081261
2011-11-01,55.119999,60.939999,52.52,55.299999,2284600,52.529396
2011-10-03,53.00,63.400002,47.50,62.360001,1749000,59.033855
2011-09-01,56.119999,60.00,51.59,53.599998,1567200,50.741093
2011-08-01,57.099998,63.349998,48.400002,55.799999,2021500,52.82375
2011-07-01,57.970001,60.990002,53.00,55.720001,977800,52.552586
2011-06-01,56.279999,58.720001,51.68,57.639999,1166000,54.363438
2011-05-02,90.629997,108.489998,50.740002,56.279999,1847800,53.08075
2011-04-01,81.540001,90.32,80.629997,89.779999,883000,42.257927
2011-03-01,78.32,82.519997,74.529999,81.360001,1327100,38.294773
2011-02-01,65.540001,79.519997,65.540001,78.410004,1268700,36.785744
2011-01-03,68.620003,70.269997,62.509998,65.330002,992500,30.649313
2010-12-01,69.360001,71.290001,67.510002,68.370003,795500,32.07552
2010-11-01,64.480003,70.029999,60.25,68.629997,1511600,32.197495
2010-10-01,60.48,66.330002,59.50,63.860001,1028700,29.845858
2010-09-01,56.34,60.650002,55.720001,60.349998,1221300,28.20541
2010-08-02,50.23,57.59,49.099998,55.580002,1663600,25.976086
2010-07-01,46.439999,51.790001,44.950001,49.639999,788400,23.098616
2010-06-01,44.669998,50.00,42.700001,46.049999,1075800,21.428108
2010-05-03,48.830002,53.00,42.330002,45.150002,2148000,21.009317
2010-04-01,46.419998,48.759998,43.830002,48.25,1465700,22.358482
2010-03-01,39.919998,46.700001,39.650002,46.119999,1160500,21.371466
2010-02-01,39.150002,40.990002,37.060001,40.049999,1399600,18.558699
2010-01-04,40.830002,45.18,38.830002,38.849998,1358700,17.910641
2009-12-01,42.529999,44.43,40.110001,40.57,1395500,18.703596
2009-11-02,33.52,44.049999,33.389999,41.939999,1639400,19.335194
2009-10-01,32.790001,39.189999,31.469999,33.650002,1406500,15.44016
2009-09-01,30.26,34.34,29.190001,32.740002,933300,15.02261
2009-08-03,34.799999,35.869999,30.190001,30.280001,1472800,13.893849
2009-07-01,31.639999,34.93,28.92,34.41,1342900,15.692285
2009-06-01,29.209999,31.98,27.10,31.540001,1512300,14.383455
2009-05-01,19.780001,29.32,19.780001,29.209999,1925500,13.320885
2009-04-01,14.88,21.01,14.71,19.82,1918300,8.972368
2009-03-02,13.27,16.50,12.12,14.98,1916500,6.781336
2009-02-02,20.41,21.879999,13.20,13.64,1959400,6.174728
2009-01-02,21.700001,23.459999,19.15,20.51,1299100,9.157712
2008-12-01,17.26,21.790001,16.08,21.68,1781100,9.680117
2008-11-03,24.60,26.00,14.47,17.780001,3049100,7.938768
2008-10-01,39.400002,39.490002,19.700001,24.43,2353400,10.762938
2008-09-02,47.330002,48.439999,37.82,39.52,2163000,17.411024
2008-08-01,43.23,48.799999,42.619999,47.099998,2355900,20.750486
2008-07-01,38.34,44.75,36.939999,43.189999,2009200,18.949551
2008-06-02,38.959999,40.27,35.700001,38.75,2278100,17.001509
2008-05-01,44.450001,44.93,37.639999,38.540001,3632100,16.90937
2008-04-01,47.450001,51.09,38.68,43.779999,3535700,19.110136
2008-03-03,42.240002,49.889999,41.849998,47.50,2763000,20.733931
2008-02-01,39.599998,45.00,39.00,41.830002,1577300,18.258955
2008-01-02,40.68,42.25,37.549999,39.610001,1650300,17.209497
2007-12-03,41.509998,43.150002,38.299999,40.279999,1811000,17.500593
2007-11-01,43.50,44.200001,35.299999,41.869999,3691100,18.191406
2007-10-01,45.470001,46.040001,42.00,44.09,1431500,19.058477
2007-09-04,42.450001,45.700001,40.66,45.459999,1613000,19.650679
2007-08-01,41.049999,43.299999,37.02,42.450001,2402300,18.349567
2007-07-02,39.59,44.650002,39.299999,40.98,1568900,17.628853
2007-06-01,40.299999,40.75,38.470001,39.650002,1517100,17.056711
2007-05-01,40.189999,40.900002,37.900002,40.25,2263700,17.314819
2007-04-02,39.200001,42.540001,37.900002,40.09,2837400,17.245991
2007-03-01,37.650002,40.50,36.73,39.189999,1940600,16.775139
2007-02-01,33.00,40.419998,32.50,37.650002,4213900,16.11595
2007-01-03,39.66,39.93,29.25,32.799999,2567200,14.039923
2006-12-01,38.779999,41.259998,38.50,40.16,364400,17.190344
2006-11-01,36.599998,41.34,36.18,38.959999,887800,16.676689
2006-10-02,37.830002,38.41,35.240002,36.599998,394700,15.666499
2006-09-01,32.77,38.200001,31.860001,37.880001,744600,16.214399
2006-08-01,35.799999,36.299999,27.73,32.669998,916900,13.984276
2006-07-03,40.00,40.950001,31.780001,35.720001,710000,15.289819
2006-06-01,39.450001,41.209999,37.380001,39.900002,489000,17.079054
2006-05-01,34.799999,40.889999,33.959999,39.25,1158500,16.800823
2006-04-03,33.900002,36.540001,32.91,34.799999,470600,14.896015
2006-03-01,31.00,34.889999,31.00,33.77,409500,14.455129
2006-02-01,34.799999,35.549999,29.48,30.99,657400,13.265159
2006-01-03,32.720001,34.98,29.41,34.599998,641800,14.810406
2005-12-01,28.950001,32.619999,28.700001,32.52,914500,13.920071
2005-11-01,27.00,33.75,26.83,28.950001,444700,12.391945
2005-10-03,30.34,30.450001,25.25,26.90,218800,11.514449
2005-09-01,29.50,30.50,26.50,30.139999,257600,12.90132
2005-08-01,23.00,30.440001,22.780001,29.60,643800,12.670175
2005-07-01,21.65,24.790001,21.00,22.99,627500,9.840788
2005-06-01,18.129999,21.860001,17.50,21.610001,346200,9.250084
2005-05-02,15.15,18.75,14.85,18.129999,316300,7.760481
2005-04-01,15.10,15.41,14.52,15.10,173100,6.463501
2005-03-01,15.73,16.290001,15.10,15.24,209300,6.523427
2005-02-01,16.049999,16.700001,15.30,15.78,150500,6.754573
2005-01-03,16.25,16.450001,15.40,16.049999,342300,6.870145
2004-12-16,14.00,16.85,14.00,16.25,1746700,6.955755
