Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,37.07,37.080002,36.73,36.990002,1593000,36.814075
2013-03-01,37.34,40.00,37.139999,38.259998,389000,38.07803
2013-02-01,38.009998,38.66,36.279999,37.439999,648500,37.261932
2013-01-02,37.689999,38.75,36.18,37.689999,875700,37.510742
2012-12-03,32.830002,37.00,32.549999,36.939999,510500,36.764309
2012-11-01,29.98,33.610001,29.26,33.299999,538200,33.141621
2012-10-01,30.82,32.830002,29.559999,30.16,507900,30.016556
2012-09-04,31.540001,34.810001,30.76,30.90,512600,30.753036
2012-08-01,30.92,33.759998,28.50,31.889999,595300,31.738327
2012-07-02,34.470001,34.66,30.290001,31.50,303300,31.350183
2012-06-01,31.049999,34.669998,30.299999,34.66,436500,34.495155
2012-05-01,35.07,35.380001,31.639999,31.790001,1143000,31.638805
2012-04-02,38.439999,38.959999,34.669998,36.040001,412100,35.868591
2012-03-01,38.119999,39.349998,36.23,38.43,586700,38.247223
2012-02-01,35.240002,38.880001,34.98,38.119999,588500,37.938698
2012-01-03,31.18,35.59,31.110001,34.049999,580600,33.888054
2011-12-01,31.629999,32.00,28.60,30.549999,1179900,30.404701
2011-11-01,30.059999,31.76,27.52,31.65,599300,31.49947
2011-10-03,29.32,32.650002,28.040001,29.90,1011000,29.757792
2011-09-01,32.98,33.259998,28.90,29.15,658300,29.01136
2011-08-01,40.610001,40.720001,30.35,32.470001,1133600,32.315571
2011-07-01,38.540001,41.23,38.540001,39.779999,565500,39.590801
2011-06-01,38.220001,38.740002,35.75,38.610001,557300,38.426369
2011-05-02,39.299999,39.59,36.630001,38.00,705300,37.819267
2011-04-01,36.849998,38.900002,33.759998,38.349998,1334300,38.167603
2011-03-01,44.009998,44.009998,36.509998,37.509998,1145600,37.331596
2011-02-01,43.66,44.560001,42.200001,43.689999,640100,43.482204
2011-01-03,39.84,43.610001,38.669998,43.540001,673800,43.33292
2010-12-01,37.049999,39.689999,36.860001,39.50,346200,39.312134
2010-11-01,34.919998,38.09,33.82,36.23,666200,36.057686
2010-10-01,35.950001,37.029999,35.50,36.029999,434400,35.858635
2010-09-01,33.279999,35.889999,32.82,35.59,428900,35.420731
2010-08-02,32.439999,33.959999,31.77,32.93,688700,32.77338
2010-07-01,28.85,31.92,28.43,31.77,556700,31.6189
2010-06-01,30.110001,30.93,28.33,28.75,887200,28.613262
2010-05-03,33.849998,34.00,30.16,30.389999,893200,30.245462
2010-04-01,35.369999,36.16,33.73,33.790001,548700,33.629292
2010-03-01,34.560001,36.700001,34.509998,35.290001,418400,35.122158
2010-02-01,33.810001,36.639999,33.27,34.610001,770500,34.445393
2010-01-04,34.25,37.23,33.290001,33.91,575800,33.748722
2009-12-01,32.029999,34.52,31.940001,33.900002,464900,33.73877
2009-11-02,31.190001,32.669998,30.049999,30.99,565000,30.842607
2009-10-01,30.42,32.84,28.82,30.969999,759600,30.822702
2009-09-01,31.60,32.169998,29.83,30.309999,574700,30.165842
2009-08-03,32.50,32.990002,31.219999,31.33,566900,31.180992
2009-07-01,27.309999,32.490002,25.00,32.130001,747500,31.977188
2009-06-01,29.25,29.959999,26.27,27.370001,828700,27.239826
2009-05-01,28.719999,31.00,27.450001,29.030001,1029300,28.891932
2009-04-01,24.889999,29.59,24.83,29.059999,1355300,28.921787
2009-03-02,23.219999,25.030001,20.719999,23.700001,1518000,23.587282
2009-02-02,22.190001,25.58,21.950001,23.629999,1832500,23.517612
2009-01-02,21.41,25.15,20.280001,22.66,1599300,22.552227
2008-12-01,21.309999,23.77,17.35,21.34,2043600,21.238504
2008-11-03,24.85,27.620001,18.91,22.08,1181700,21.836876
2008-10-01,29.950001,30.08,18.940001,24.77,1594600,24.497257
2008-09-02,31.469999,34.290001,28.200001,30.110001,1191000,29.778458
2008-08-01,32.77,33.990002,30.07,32.560001,695600,32.201481
2008-07-01,33.700001,35.669998,31.90,31.99,1373400,31.637756
2008-06-02,33.799999,36.400002,33.150002,34.029999,1220700,33.655293
2008-05-01,31.959999,33.50,30.549999,33.23,527200,32.864101
2008-04-01,29.59,32.880001,27.690001,31.75,696200,31.400398
2008-03-03,29.950001,30.870001,27.01,28.809999,708600,28.492771
2008-02-01,31.83,32.48,29.120001,30.60,582900,30.263062
2008-01-02,33.029999,33.610001,27.35,31.540001,1011900,31.192713
2007-12-03,34.400002,35.200001,32.139999,33.139999,404500,32.775093
2007-11-01,37.419998,37.540001,32.66,34.41,624000,33.832054
2007-10-01,33.50,37.639999,32.450001,37.43,601000,36.801334
2007-09-04,33.299999,33.939999,32.34,33.360001,643200,32.799694
2007-08-01,35.900002,36.049999,31.290001,32.919998,989300,32.168655
