Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,18.67,18.68,18.10,18.15,7174800,16.498657
2013-03-01,17.07,19.51,16.780001,18.59,5285400,16.898626
2013-02-01,17.940001,19.110001,16.16,17.23,5792700,15.560974
2013-01-02,16.379999,18.469999,16.209999,17.629999,4022400,15.922227
2012-12-03,16.549999,16.709999,15.52,15.90,2822100,14.359808
2012-11-01,15.08,17.17,15.02,16.440001,3663600,14.757679
2012-10-01,15.00,16.209999,14.18,15.04,3117900,13.500942
2012-09-04,14.31,16.35,13.70,14.93,3477900,13.402199
2012-08-01,12.86,14.95,12.60,14.38,2901700,12.824331
2012-07-02,12.99,13.69,10.98,12.65,4359700,11.281487
2012-06-01,12.40,13.61,11.51,12.94,6278900,11.540114
2012-05-01,15.48,15.98,12.56,12.80,6635300,11.320685
2012-04-02,14.08,15.23,13.75,14.16,4202500,12.523507
2012-03-01,13.76,14.93,12.54,14.01,4677300,12.390843
2012-02-01,13.12,14.60,12.65,13.66,5715200,11.993811
2012-01-03,10.35,12.85,9.75,12.73,5624600,11.177248
2011-12-01,10.86,11.41,9.32,10.00,3802500,8.780242
2011-11-01,11.11,12.87,9.39,10.93,4379900,9.500161
2011-10-03,9.50,13.07,8.13,11.74,5058600,10.204198
2011-09-01,13.07,13.17,9.60,9.67,4333800,8.404991
2011-08-01,19.629999,19.92,11.14,13.11,6508800,11.295891
2011-07-01,18.870001,20.360001,18.549999,19.10,2708900,16.457018
2011-06-01,19.00,19.01,16.530001,18.85,3704200,16.241613
2011-05-02,20.969999,21.52,18.110001,18.950001,4026000,16.235319
2011-04-01,17.540001,20.91,17.24,20.85,3717500,17.863134
2011-03-01,17.82,18.00,15.74,17.379999,2911300,14.890227
2011-02-01,17.66,19.10,16.290001,17.65,3192300,15.030893
2011-01-03,15.78,18.129999,15.71,17.41,3482000,14.826508
2010-12-01,15.81,16.90,15.24,15.61,3303600,13.293612
2010-11-01,13.97,15.54,12.52,15.47,4879100,13.091372
2010-10-01,11.56,14.19,11.35,13.85,4130800,11.720459
2010-09-01,9.30,11.76,9.23,11.56,4670900,9.782563
2010-08-02,10.65,11.03,8.47,9.13,3430200,7.644694
2010-07-01,8.65,10.71,8.20,10.47,3391300,8.766698
2010-06-01,9.89,10.18,8.52,8.67,3698500,7.259529
2010-05-03,11.45,11.69,8.17,9.98,7028300,8.267609
2010-04-01,12.14,13.01,11.05,11.41,3426900,9.452247
2010-03-01,13.88,14.06,12.01,12.05,4322200,9.982434
2010-02-01,12.26,14.25,10.90,13.73,4225900,11.290047
2010-01-04,11.54,12.81,11.46,12.19,3961700,10.02372
2009-12-01,9.52,11.59,9.38,11.29,4260100,9.283659
2009-11-02,8.09,9.53,7.73,9.52,4561900,7.753651
2009-10-01,9.20,9.78,7.68,7.95,4202100,6.474949
2009-09-01,8.51,9.85,7.68,9.11,5642400,7.419722
2009-08-03,6.27,8.68,6.10,8.59,5255400,6.915322
2009-07-01,5.06,6.23,4.95,6.14,3485000,4.942966
2009-06-01,6.49,7.00,4.95,5.03,6707000,4.049368
2009-05-01,5.45,7.33,4.70,6.32,5313800,5.014137
2009-04-01,3.13,5.55,3.06,5.36,4367800,4.252496
2009-03-02,2.54,3.55,2.09,3.13,3535800,2.483267
2009-02-02,2.56,3.19,2.03,2.64,4221100,2.019441
2009-01-02,3.41,3.82,2.60,2.66,5234400,2.034739
2008-12-01,7.08,7.09,2.82,3.44,10509300,2.631392
2008-11-03,10.18,10.65,5.58,7.15,3071100,5.375344
2008-10-01,12.67,14.50,8.23,10.10,6095300,7.593143
2008-09-02,13.15,13.68,7.01,12.60,5179500,9.472634
2008-08-01,13.48,14.48,12.70,13.05,2074400,9.721181
2008-07-01,11.46,14.70,9.90,13.50,3082500,10.056394
2008-06-02,21.93,22.07,9.76,11.40,6186200,8.492065
2008-05-01,22.49,23.950001,21.639999,21.93,1684600,16.258263
2008-04-01,23.700001,23.77,21.59,22.49,1676100,16.673429
2008-03-03,24.08,24.77,23.200001,23.549999,2079800,17.459284
2008-02-01,24.299999,25.01,22.34,24.129999,1682300,17.815962
2008-01-02,25.709999,25.709999,22.85,24.24,3057800,17.897179
2007-12-03,25.299999,25.74,23.91,25.700001,1016600,18.975145
2007-11-01,26.299999,26.52,23.60,25.360001,3013000,18.647997
2007-10-01,26.50,27.00,26.209999,26.35,1235200,19.375973
2007-09-04,25.809999,26.52,25.709999,26.49,1513900,19.47892
2007-08-01,25.32,26.08,22.24,25.950001,2924500,19.008955
2007-07-02,24.34,28.40,23.67,25.459999,5400300,18.650017
2007-06-01,20.110001,24.389999,18.700001,24.309999,3050300,17.807617
2007-05-01,19.50,20.50,18.860001,20.00,884800,14.5757
2007-04-02,19.200001,20.219999,18.389999,19.60,851100,14.284185
2007-03-01,20.15,20.290001,18.74,19.09,926200,13.912505
2007-02-01,20.99,21.92,19.440001,20.41,1015500,14.797591
2007-01-03,19.10,21.219999,19.08,20.91,698700,15.160099
2006-12-01,17.41,19.24,17.25,18.969999,664800,13.753567
2006-11-01,17.24,17.780001,17.08,17.41,779700,12.62254
2006-10-02,18.200001,18.700001,16.719999,17.27,967800,12.521039
2006-09-01,18.16,18.860001,17.969999,18.200001,557200,13.195305
2006-08-01,15.96,18.10,15.62,18.059999,699900,13.093801
2006-07-03,17.309999,18.530001,15.87,15.95,698400,11.564016
2006-06-01,18.74,18.940001,16.299999,17.32,888500,12.557289
2006-05-01,19.450001,19.98,17.59,18.75,1237900,13.594064
2006-04-03,19.389999,19.719999,18.219999,19.65,1009600,14.246578
2006-03-01,20.40,20.65,18.32,19.299999,1065700,13.992822
2006-02-01,22.50,23.690001,19.50,20.41,2751500,14.797591
2006-01-03,17.389999,22.60,16.99,21.620001,2586800,15.674862
2005-12-01,18.65,19.25,17.030001,17.219999,819800,12.484787
2005-11-01,19.879999,20.50,18.389999,19.00,830400,13.775317
2005-10-03,19.559999,20.32,18.299999,19.879999,611100,14.413332
2005-09-01,18.950001,20.200001,16.50,19.549999,879500,14.174076
2005-08-01,23.35,23.940001,18.41,18.84,623400,13.659315
2005-07-01,20.34,24.440001,20.139999,23.290001,582900,16.885639
2005-06-01,19.200001,21.17,18.309999,20.27,753900,14.696089
2005-05-02,21.15,23.34,18.15,19.25,1039100,13.956572
2005-04-01,23.42,23.780001,19.60,21.040001,1452100,15.254353
2005-03-01,28.610001,28.950001,22.00,23.32,1816400,16.907389
2005-02-14,24.50,30.00,24.01,28.559999,3160800,20.706476
