Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,2.16,2.17,2.16,2.17,431000,1.66778
2013-03-01,2.17,2.20,2.15,2.16,237200,1.660094
2013-02-01,2.18,2.22,2.15,2.17,242400,1.656198
2013-01-02,2.13,2.22,2.13,2.17,206000,1.644906
2012-12-03,2.14,2.21,2.10,2.14,230200,1.611055
2012-11-01,2.18,2.20,1.93,2.13,274200,1.592391
2012-10-01,2.21,2.23,2.17,2.18,170300,1.618018
2012-09-04,2.23,2.25,2.19,2.21,231400,1.629201
2012-08-01,2.27,2.27,2.20,2.23,180000,1.632837
2012-07-02,2.19,2.27,2.17,2.26,199800,1.643771
2012-06-01,2.10,2.19,2.04,2.19,269400,1.581429
2012-05-01,2.26,2.28,2.08,2.10,188900,1.504885
2012-04-02,2.18,2.27,2.14,2.26,221800,1.607145
2012-03-01,2.26,2.33,2.12,2.19,243400,1.545883
2012-02-01,2.35,2.39,2.25,2.25,224700,1.576633
2012-01-03,2.16,2.36,2.13,2.34,259700,1.627031
2011-12-01,2.15,2.17,2.10,2.13,155500,1.468558
2011-11-01,2.15,2.19,2.09,2.16,296800,1.476774
2011-10-03,1.94,2.18,1.77,2.15,251000,1.457573
2011-09-01,2.11,2.16,1.91,1.93,202700,1.296709
2011-08-01,2.31,2.35,1.95,2.11,224100,1.405137
2011-07-01,2.41,2.49,2.23,2.26,177300,1.492601
2011-06-01,2.57,2.60,2.27,2.46,243800,1.611207
2011-05-02,2.37,2.66,2.37,2.57,297500,1.668866
2011-04-01,2.26,2.47,2.26,2.37,240400,1.527016
2011-03-01,2.27,2.34,2.24,2.26,199600,1.443854
2011-02-01,2.25,2.33,2.23,2.26,181500,1.431299
2011-01-03,2.21,2.28,2.20,2.24,163600,1.406403
2010-12-01,2.26,2.32,2.14,2.20,199100,1.369119
2010-11-01,2.37,2.43,2.18,2.24,209200,1.381565
2010-10-01,2.25,2.43,2.25,2.34,197000,1.430907
2010-09-01,2.17,2.27,2.16,2.25,165400,1.36431
2010-08-02,2.38,2.38,2.15,2.17,174500,1.304053
2010-07-01,2.13,2.43,2.11,2.36,200100,1.406163
