Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,7.23,7.27,7.06,7.11,5623600,6.904746
2013-03-01,6.82,7.54,6.04,7.20,7668300,6.992147
2013-02-01,8.37,8.87,6.68,6.74,4874100,6.545427
2013-01-02,11.85,12.00,7.95,8.25,4681800,8.011836
2012-12-03,11.88,11.97,10.58,11.47,2922200,11.13888
2012-11-01,15.56,15.92,11.12,11.83,3204700,11.363721
2012-10-01,16.040001,16.879999,15.05,15.59,2786300,14.975521
2012-09-04,13.21,16.42,12.85,15.81,4151100,15.186851
2012-08-01,11.10,13.29,10.42,13.10,2611700,12.583665
2012-07-02,11.78,12.30,10.03,11.14,2553300,10.700918
2012-06-01,10.93,12.96,10.90,11.80,3971500,11.334904
2012-05-01,12.50,12.62,9.20,10.67,3761500,10.137647
2012-04-02,13.28,13.75,11.84,12.40,2996700,11.781332
2012-03-01,15.29,15.38,12.87,13.29,2859800,12.626928
2012-02-01,16.98,17.74,14.82,15.12,2740900,14.365624
2012-01-03,16.25,17.82,15.26,16.74,2645100,15.904799
2011-12-01,20.24,20.68,14.69,15.85,2088600,15.059203
2011-11-01,20.690001,23.49,18.10,20.18,2041300,19.024954
2011-10-03,20.459999,22.18,16.969999,21.50,2334400,20.2694
2011-09-01,20.67,23.879999,19.17,19.780001,3463400,18.647848
2011-08-01,20.07,21.440001,18.200001,20.60,3206100,19.420914
2011-07-01,18.629999,22.200001,18.15,20.00,2358500,18.855255
2011-06-01,20.99,21.219999,17.690001,18.76,3272900,17.68623
2011-05-02,20.700001,21.379999,18.50,21.049999,3470300,19.740154
2011-04-01,21.93,23.379999,19.43,20.75,3352200,19.458822
2011-03-01,21.49,23.379999,19.639999,22.02,3224100,20.649797
2011-02-01,19.379999,22.34,19.10,21.200001,3765800,19.880823
2011-01-03,17.90,20.030001,17.360001,19.02,3455400,17.836473
2010-12-01,16.59,18.129999,16.15,17.799999,2346000,16.692387
2010-11-01,18.41,19.450001,16.059999,16.379999,4089100,15.292629
2010-10-01,17.85,18.52,16.549999,18.280001,3178200,17.066502
2010-09-01,19.01,19.35,16.780001,17.709999,4188300,16.534338
2010-08-02,16.120001,19.309999,15.51,18.74,2969600,17.495964
2010-07-01,17.68,17.68,15.27,15.81,2779700,14.760469
2010-06-01,17.559999,19.309999,16.25,17.68,3626200,16.50633
2010-05-03,18.110001,20.25,15.42,17.309999,5958400,16.160892
2010-04-01,13.58,18.309999,13.55,17.870001,4080700,16.683718
2010-03-01,14.86,16.00,13.17,13.22,3403000,12.342403
2010-02-01,13.41,15.50,13.00,14.77,6169800,13.789509
2010-01-04,16.26,17.709999,13.08,13.21,5952100,12.333067
2009-12-01,19.60,21.00,15.02,15.64,6550400,14.601754
2009-11-02,13.53,20.129999,12.92,18.950001,7288600,17.621771
2009-10-01,14.29,15.20,12.19,13.15,5164300,12.228299
2009-09-01,11.68,15.86,11.14,14.14,6695300,13.14891
2009-08-03,10.85,12.36,10.62,11.63,1908900,10.814838
2009-07-01,10.34,11.31,8.57,10.56,2703600,9.819837
2009-06-01,11.35,11.51,9.04,10.12,3468200,9.410676
2009-05-01,8.05,11.42,7.97,11.27,3059800,10.480071
2009-04-01,8.60,8.87,7.21,7.99,2758000,7.42997
2009-03-02,8.02,8.90,6.31,8.55,3566100,7.950719
2009-02-02,6.66,9.00,6.48,8.08,4644300,7.513662
2009-01-02,6.16,7.25,5.25,6.84,3256000,6.360576
2008-12-01,4.24,6.24,3.48,6.11,2388200,5.681742
2008-11-03,3.36,4.70,2.69,4.70,1920800,4.322892
2008-10-01,5.62,5.79,2.22,3.30,2024200,3.035222
2008-09-02,6.01,6.36,4.45,5.62,2262400,5.169075
2008-08-01,6.53,6.90,5.16,6.52,1571700,5.996863
2008-07-01,6.03,6.84,5.70,6.62,1820900,6.088839
2008-06-02,5.98,6.45,5.59,6.05,1780700,5.564574
2008-05-01,5.91,6.68,5.79,5.91,1663600,5.435806
2008-04-01,7.22,7.64,5.71,5.98,1734900,5.50019
2008-03-03,8.19,8.66,7.15,7.33,1950200,6.741872
2008-02-01,8.12,8.48,7.09,8.09,1610200,7.440893
2008-01-02,8.20,10.07,7.80,7.95,2096500,7.312125
2007-12-03,8.63,8.88,7.70,8.10,828500,7.45009
2007-11-01,8.66,10.43,8.29,8.57,1530700,7.823113
2007-10-01,8.70,9.07,7.83,8.77,1101900,8.005684
2007-09-04,6.69,9.06,6.69,8.67,1377100,7.914398
2007-08-01,8.31,9.24,6.42,6.61,1326000,6.03393
2007-07-02,7.74,8.95,7.58,8.29,1145100,7.567516
2007-06-01,7.37,8.12,7.05,7.66,1153800,6.992421
2007-05-01,8.10,8.15,6.63,7.29,1153000,6.654667
2007-04-02,7.79,8.38,7.54,8.12,1167200,7.412332
2007-03-01,8.30,8.37,7.35,7.70,1270700,7.028935
2007-02-01,8.95,9.39,8.03,8.41,1322600,7.677058
2007-01-03,8.90,8.99,8.15,8.82,1097800,8.051326
2006-12-01,9.58,9.62,8.41,8.81,778000,8.042197
