Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,13.20,13.20,12.90,13.01,152000,9.45785
2013-03-01,12.51,13.94,12.51,13.34,89900,9.494197
2013-02-01,12.07,12.77,11.89,12.64,81400,8.996001
2013-01-02,11.47,12.28,11.43,12.06,89600,8.58321
2012-12-03,11.39,11.75,11.06,11.35,68800,8.077896
2012-11-01,11.35,11.52,10.31,11.32,66500,7.860896
2012-10-01,11.58,11.70,11.20,11.24,81900,7.805342
2012-09-04,11.38,11.85,11.32,11.84,83800,8.027558
2012-08-01,11.30,11.48,11.05,11.35,65400,7.695336
2012-07-02,11.04,11.30,10.84,11.21,65100,7.600416
2012-06-01,10.74,11.28,10.38,11.26,64600,7.42278
2012-05-01,11.60,11.71,10.67,10.85,66100,7.152501
2012-04-02,11.77,11.87,11.30,11.60,57600,7.646914
2012-03-01,12.00,12.06,11.51,12.06,82700,7.744477
2012-02-01,11.45,12.05,11.43,11.90,74600,7.641731
2012-01-03,10.83,11.39,10.71,11.35,85900,7.288542
2011-12-01,11.10,11.20,10.55,10.71,76400,6.877558
2011-11-01,11.06,11.28,10.48,11.16,66300,6.964547
2011-10-03,10.61,11.67,9.81,11.27,70400,7.033195
2011-09-01,11.66,11.77,10.75,10.95,56100,6.624433
2011-08-01,12.73,12.79,10.04,11.71,79800,7.084211
2011-07-01,13.34,13.78,12.43,12.54,56600,7.586337
2011-06-01,13.40,13.60,12.75,13.58,52700,8.012841
2011-05-02,13.59,13.59,13.08,13.43,38500,7.924335
2011-04-01,13.61,13.81,13.05,13.51,47500,7.971539
2011-03-01,13.71,13.97,13.01,13.88,53100,7.99219
2011-02-01,13.55,13.99,13.55,13.72,46700,7.900061
2011-01-03,13.67,13.83,13.32,13.53,44700,7.790658
2010-12-01,13.99,14.20,13.35,13.55,46000,7.802174
2010-11-01,13.85,14.20,13.41,13.77,71900,7.738172
2010-10-01,13.58,13.78,13.33,13.59,140300,7.637019
2010-09-01,13.12,14.02,13.11,13.85,52500,7.594872
2010-08-02,13.18,13.40,12.73,12.96,43200,7.106826
2010-07-01,12.84,13.12,12.17,13.12,53600,7.194564
2010-06-01,12.98,13.48,12.52,13.30,64500,7.109569
2010-05-03,13.95,14.02,11.00,13.23,86300,7.072149
2010-04-01,14.50,14.78,13.92,13.95,63300,7.457028
2010-03-01,14.26,15.08,14.00,14.83,68700,7.728582
2010-02-01,13.25,14.30,12.62,14.30,53600,7.452375
2010-01-04,13.63,13.78,13.02,13.26,67400,6.910384
2009-12-01,13.20,14.31,13.06,13.69,74800,7.134476
2009-11-02,13.00,14.38,12.48,13.24,92400,6.719962
2009-10-01,14.38,14.74,13.03,13.06,74900,6.628603
2009-09-01,14.02,15.63,13.52,15.08,77900,7.417843
2009-08-03,13.27,14.12,12.57,14.01,57500,6.89151
2009-07-01,12.65,15.40,11.86,13.28,58100,6.532424
2009-06-01,12.68,13.64,12.05,12.70,64100,6.247122
2009-05-01,11.70,12.66,11.50,12.66,59500,6.01086
2009-04-01,11.21,12.14,10.72,11.70,57100,5.55506
2009-03-02,10.07,11.95,8.63,11.67,94700,5.320038
2009-02-02,11.49,12.27,9.60,10.42,80600,4.750197
2009-01-02,11.25,12.47,11.18,11.54,83900,5.260775
2008-12-01,9.08,11.20,8.75,11.12,112200,5.069308
2008-11-03,10.78,11.30,7.48,9.59,100100,4.187181
2008-10-01,12.34,12.55,6.80,10.64,118400,4.645632
2008-09-02,15.33,15.38,11.25,12.44,74800,5.228519
2008-08-01,15.21,15.40,14.31,15.17,35400,6.375935
2008-07-01,15.82,15.97,13.63,15.10,54800,6.346515
2008-06-02,17.65,17.90,16.040001,16.40,38500,6.697464
2008-05-01,16.790001,18.120001,16.719999,17.59,39300,7.183438
2008-04-01,16.440001,17.00,15.75,16.719999,38300,6.828146
2008-03-03,16.690001,16.85,15.22,16.48,39600,6.540236
2008-02-01,17.299999,17.75,16.219999,16.73,36400,6.639451
2008-01-02,19.540001,19.540001,16.00,17.450001,55100,6.92519
2007-12-03,18.709999,20.90,18.690001,19.51,61500,7.74272
2007-11-01,20.68,20.68,17.709999,18.82,45800,6.90469
2007-10-01,19.91,21.00,19.60,20.780001,37200,7.623776
2007-09-04,20.68,21.08,19.50,20.52,45300,7.357788
2007-08-01,19.360001,20.50,16.00,20.42,62800,7.321931
2007-07-02,21.60,22.10,18.82,19.52,69100,6.999222
2007-06-01,22.15,23.10,21.52,22.41,49200,7.868745
2007-05-01,22.00,22.139999,21.530001,22.08,49900,7.752873
2007-04-02,21.57,22.52,21.450001,22.07,47600,7.749362
2007-03-01,21.00,22.33,20.379999,22.110001,62500,7.600133
2007-02-01,21.469999,21.85,20.629999,21.110001,54300,7.256392
2007-01-03,21.950001,22.00,20.639999,21.549999,75700,7.407638
2006-12-01,21.40,22.469999,21.24,22.02,61000,7.569197
2006-11-01,20.950001,21.530001,20.309999,21.35,78200,7.186814
2006-10-02,20.40,21.35,19.91,20.950001,87100,7.052166
2006-09-01,19.950001,21.049999,19.82,20.620001,97500,6.784554
2006-08-01,19.049999,20.00,18.92,19.85,70000,6.531203
2006-07-03,18.389999,19.25,18.209999,19.00,52500,6.251529
2006-06-01,18.120001,18.83,18.10,18.780001,44800,6.026145
2006-05-01,18.85,18.889999,17.549999,18.16,50400,5.827199
2006-04-03,19.200001,19.440001,18.299999,18.82,49900,6.03898
2006-03-01,18.700001,19.440001,18.620001,19.18,57600,6.154497
2006-02-01,18.27,18.799999,18.27,18.610001,59500,5.971595
2006-01-03,17.90,18.65,17.549999,18.49,60800,5.933089
2005-12-01,18.33,18.48,17.34,17.67,97100,5.669967
2005-11-01,20.00,20.01,17.700001,18.280001,76300,5.814105
