Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,30.599998,30.990002,30.370005,30.440006,181000,30.553373
2013-03-01,29.080002,30.520002,28.870003,30.420004,140500,30.533295
2013-02-01,29.959999,30.859997,28.560001,29.069994,149100,28.762119
2013-01-02,28.59,29.77,27.900003,29.360003,146700,29.049057
2012-12-03,26.830006,27.850002,26.300001,27.819998,262800,27.52536
2012-11-01,24.839998,27.160007,24.209995,26.810005,554500,26.526064
2012-10-01,26.289787,27.049776,24.60,24.620001,190600,24.359255
2012-09-04,25.519798,27.019781,25.1998,26.249792,421100,27.826912
2012-08-01,24.759802,27.189779,24.259811,25.369793,327000,26.894041
2012-07-02,24.199802,25.089792,22.989811,24.699808,196400,25.972076
2012-06-01,22.87982,24.789799,22.179825,24.099812,305800,25.341173
2012-05-01,23.889812,24.849796,21.82983,23.479811,402400,24.689236
2012-04-02,23.509815,24.339806,22.039827,23.879803,193500,25.109833
2012-03-01,23.059813,23.669806,21.66983,23.21981,221300,24.415844
2012-02-01,21.019835,23.059813,20.869827,22.819818,339700,23.589077
2012-01-03,18.379856,21.579826,18.029861,20.43984,296400,21.128868
2011-12-01,17.469862,18.119858,16.449867,17.989857,194900,18.596296
2011-11-01,17.379866,18.299852,15.429873,17.369854,489300,17.955393
2011-10-03,15.659876,19.379847,14.649881,18.479855,259800,19.102812
2011-09-01,16.74987,17.339859,15.439883,16.07987,504500,16.621923
2011-08-01,20.269838,20.269838,15.519879,17.079863,443200,17.655626
2011-07-01,20.489838,21.529825,19.309845,19.769838,240700,20.235306
2011-06-01,21.209829,21.209829,18.61985,20.669832,276900,21.156488
2011-05-02,22.079826,22.139826,20.239834,21.529825,131700,22.036732
2011-04-01,20.489838,22.219822,20.379829,22.049822,143000,22.56897
2011-03-01,22.069824,22.199818,19.48984,20.729834,175400,21.217903
2011-02-01,21.079826,23.479811,21.039837,22.359818,203100,22.499332
2011-01-03,19.649837,21.86982,19.649837,21.309828,132100,21.442791
2010-12-01,18.119858,19.769838,17.999849,19.729849,149900,19.852955
2010-11-01,19.569841,20.089836,17.12986,17.889858,304600,18.001482
2010-10-01,18.059858,19.519852,17.829857,19.349844,151600,19.470577
2010-09-01,15.769875,18.329857,15.729877,17.939856,120100,18.051792
2010-08-02,17.719856,18.269855,15.069878,15.239878,305900,15.334967
2010-07-01,15.999876,18.629852,15.729877,17.399868,188000,17.366953
2010-06-01,15.929873,18.339851,15.219875,15.679878,116100,15.650217
2010-05-03,17.78985,17.95986,14.609884,15.779876,168500,15.750026
2010-04-01,15.989865,18.019854,15.649881,17.589863,162400,17.556589
2010-03-01,13.999885,15.79987,13.969888,15.639872,133900,15.610287
2010-02-01,14.389884,14.719883,13.719893,14.129887,183800,13.839684
2010-01-04,14.569878,15.40987,14.209892,14.269891,52100,13.976812
2009-12-01,14.129887,16.189871,13.899896,14.369891,59400,14.074759
2009-11-02,12.899894,14.449885,12.799905,13.939883,178400,13.653583
2009-10-01,12.919898,14.069886,12.189898,12.7099,118700,12.448861
2009-09-01,12.229903,13.789886,11.669903,12.919898,92900,12.654546
2009-08-03,11.509904,13.009904,11.379909,12.339903,89900,12.086463
2009-07-01,10.469915,11.349905,9.429927,11.319909,64400,10.981083
2009-06-01,10.899913,11.279902,9.669921,10.309916,64900,10.001322
2009-05-01,9.429927,10.889919,9.289922,10.629923,113000,10.311749
2009-04-01,7.679939,9.969915,7.679939,9.469924,256900,9.186471
2009-03-02,6.639951,8.259934,5.979952,7.549945,114100,7.323961
2009-02-02,7.34994,8.329938,6.369952,6.849949,598300,6.403585
2009-01-02,8.539935,9.38992,6.939937,7.459939,110600,6.973827
2008-12-01,7.579942,9.029924,7.169939,8.369935,96900,7.824523
2008-11-03,8.44993,9.599918,6.429953,8.16993,106000,7.637551
2008-10-01,11.949903,12.189898,7.249943,8.609929,152600,8.048879
2008-09-02,13.929891,14.269891,11.349905,12.369899,117500,11.563837
2008-08-01,13.319891,15.139879,12.919898,13.519888,62700,12.638889
2008-07-01,12.8799,14.849878,12.099909,13.109894,88800,12.141917
2008-06-02,15.829866,15.929873,13.149899,13.329892,87200,12.345673
2008-05-01,15.879873,17.099865,15.80988,16.429865,125800,15.216757
2008-04-01,15.649881,16.919863,15.309881,16.029871,55300,14.846297
2008-03-03,15.169876,16.149874,14.609884,15.099874,82800,13.984967
2008-02-01,15.699872,16.869864,13.979889,15.189879,89700,13.811097
2008-01-02,17.079863,17.169867,13.009904,15.46988,120900,14.065682
2007-12-03,19.44985,19.979837,16.029871,17.399868,85800,15.820485
2007-11-01,22.999821,23.299818,18.379856,19.179844,104500,17.438892
2007-10-01,20.009842,23.419817,20.009842,23.339813,187900,21.221264
2007-09-04,20.869827,21.079826,18.349852,19.859844,127000,18.057171
2007-08-01,22.899815,23.609812,19.469845,21.059832,99400,19.148235
2007-07-02,24.979803,26.829786,22.199818,22.86982,150100,20.677626
2007-06-01,27.179733,28.219767,24.769802,24.779804,76800,22.40453
2007-05-01,24.749756,27.739733,24.329758,26.78974,145000,28.86002
2007-04-02,24.949755,25.959755,24.139767,24.169762,35200,26.037573
2007-03-01,23.559776,25.299755,22.679779,24.729757,84100,26.640844
2007-02-01,25.159752,25.909754,22.839783,23.469765,93500,25.01943
2007-01-03,24.719765,26.109743,22.919775,25.139759,136400,26.79969
2006-12-01,20.369806,27.149734,20.229803,25.24975,91700,26.916945
2006-11-01,19.409809,20.579796,19.219816,20.329802,69700,21.67214
2006-10-02,17.579828,19.579811,17.519833,19.459812,134900,20.744707
2006-09-01,17.579828,17.949821,17.159832,17.63983,187400,18.804554
2006-08-01,16.129847,17.73983,15.80985,17.649822,68400,18.815207
2006-07-03,17.659828,17.879826,16.119839,16.239836,49200,17.217535
2006-06-01,16.910002,18.110003,14.790007,17.599833,252000,18.659409
