Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,6.33,6.34,6.19,6.20,1367800,6.20
2013-03-01,5.84,6.44,5.66,6.36,303200,6.36
2013-02-01,6.53,6.87,5.75,5.88,412900,5.88
2013-01-02,6.35,6.84,6.05,6.47,208300,6.47
2012-12-03,6.64,6.84,5.93,6.17,205200,6.17
2012-11-01,5.62,6.64,5.37,6.59,323300,6.59
2012-10-01,6.60,6.88,5.54,5.59,216100,5.59
2012-09-04,5.41,6.93,5.28,6.54,392200,6.54
2012-08-01,4.40,5.89,4.10,5.42,366100,5.42
2012-07-02,4.38,4.70,3.95,4.36,234900,4.36
2012-06-01,3.88,4.74,3.75,4.38,284200,4.38
2012-05-01,4.66,5.26,3.88,4.00,397500,4.00
2012-04-02,5.27,5.37,4.59,4.66,296500,4.66
2012-03-01,5.91,6.11,5.02,5.29,396600,5.29
2012-02-01,6.97,7.40,5.87,5.88,382400,5.88
2012-01-03,6.41,7.00,5.96,6.85,339200,6.85
2011-12-01,5.18,6.50,5.15,6.24,670100,6.24
2011-11-01,8.42,9.06,4.74,5.27,1272700,5.27
2011-10-03,7.45,9.44,6.62,8.69,981400,8.69
2011-09-01,9.44,9.70,7.20,7.51,585700,7.51
2011-08-01,15.43,15.56,6.00,9.37,1620100,9.37
2011-07-01,17.32,18.17,15.14,15.28,609400,15.28
2011-06-01,20.639999,20.75,16.620001,17.280001,1165900,17.280001
2011-05-02,31.959999,32.07,19.15,20.65,2127300,20.65
2011-04-01,26.959999,32.25,25.35,31.76,1389800,31.76
2011-03-01,28.35,30.309999,26.08,26.74,437200,26.74
2011-02-01,20.40,29.18,20.280001,28.190001,651000,28.190001
2011-01-03,18.709999,21.58,18.709999,20.24,380800,20.24
2010-12-01,20.84,22.49,18.42,18.709999,613600,18.709999
2010-11-01,21.90,22.940001,18.42,20.559999,238200,20.559999
2010-10-01,16.969999,22.43,14.53,21.870001,329700,21.870001
2010-09-01,13.05,17.030001,12.23,16.91,386500,16.91
2010-08-06,13.00,13.50,11.44,13.00,526900,13.00
