Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,72.110001,72.339996,72.07,72.25,617600,67.470505
2013-03-01,65.830002,72.580002,65.370003,72.32,617100,67.535873
2013-02-01,66.50,67.00,62.439999,66.199997,651900,61.491333
2013-01-02,65.510002,70.419998,65.410004,66.07,569600,61.370583
2012-12-03,65.00,66.660004,63.689999,64.43,526300,59.847233
2012-11-01,61.540001,65.620003,60.220001,64.949997,537500,60.086639
2012-10-01,54.889999,61.509998,54.57,61.459999,416000,56.857967
2012-09-04,54.009998,56.57,53.779999,55.16,321400,50.789169
2012-08-01,52.43,54.900002,50.41,53.830002,389400,49.56456
2012-07-02,49.549999,51.959999,45.299999,51.919998,492600,47.805904
2012-06-01,48.560001,51.599998,47.259998,49.52,374800,45.596077
2012-05-01,55.799999,57.869999,50.669998,51.09,819100,46.847885
2012-04-02,57.630001,58.869999,55.310001,57.060001,438700,52.322186
2012-03-01,57.619999,58.380001,54.48,57.650002,471000,52.863197
2012-02-01,55.950001,58.099998,53.299999,57.349998,485700,52.403
2012-01-03,53.549999,56.00,50.59,55.490002,436500,50.703445
2011-12-01,52.34,53.25,48.25,52.59,487800,48.053596
2011-11-01,47.959999,53.029999,46.98,51.990002,696200,47.324726
2011-10-03,39.00,53.119999,36.650002,48.50,707600,44.147896
2011-09-01,46.720001,47.43,38.869999,39.240002,766500,35.718838
2011-08-01,51.799999,52.32,41.169998,46.759998,1114500,42.391621
2011-07-01,55.43,59.50,49.32,50.889999,818200,46.135792
2011-06-01,56.700001,57.00,52.189999,55.279999,669400,50.115669
2011-05-02,57.400002,57.91,52.470001,56.73,704400,51.277172
2011-04-01,52.049999,55.290001,50.299999,55.099998,796800,49.803844
2011-03-01,49.099998,52.07,44.509998,51.82,965900,46.839115
2011-02-01,46.630001,50.970001,45.509998,48.82,884700,44.002037
2011-01-03,46.43,49.529999,45.200001,46.130001,581800,41.577511
2010-12-01,43.73,48.00,43.700001,46.00,446500,41.460339
2010-11-01,42.990002,45.560001,42.549999,43.119999,668300,38.74752
2010-10-01,37.91,42.880001,37.119999,42.549999,567200,38.235321
2010-09-01,34.639999,39.360001,34.400002,37.50,495400,33.697407
2010-08-02,33.84,34.849998,31.60,34.130001,561500,30.556021
2010-07-01,30.219999,36.75,28.700001,33.34,726800,29.848747
2010-06-01,33.110001,35.279999,30.25,30.299999,746600,27.127085
2010-05-03,36.200001,36.950001,30.809999,33.349998,603900,29.733294
