Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,25.41,25.48,25.379999,25.40,32200,20.233608
2013-03-01,25.26,25.629999,25.200001,25.43,50700,20.257505
2013-02-01,25.360001,25.67,25.190001,25.25,93700,20.114119
2013-01-02,25.129999,25.450001,25.08,25.35,97600,19.839363
2012-12-03,25.00,25.190001,24.83,25.08,59900,19.628056
2012-11-01,25.200001,25.33,24.75,25.00,92600,19.565447
2012-10-01,25.049999,25.32,24.90,25.23,74500,19.393829
2012-09-04,24.76,25.24,24.75,25.00,93200,19.217031
2012-08-01,24.790001,25.10,24.68,24.780001,92800,19.047922
2012-07-02,23.629999,24.879999,23.48,24.780001,134600,18.706289
2012-06-01,20.959999,23.59,20.950001,23.51,93200,17.747572
2012-05-01,23.530001,23.790001,20.540001,21.389999,126900,16.147196
2012-04-02,23.719999,23.90,22.84,23.51,81900,17.390877
2012-03-01,23.59,24.10,22.950001,23.719999,101300,17.546219
2012-02-01,21.809999,23.799999,21.809999,23.60,135000,17.457453
2012-01-03,18.91,21.98,18.85,21.74,102000,15.776093
2011-12-01,18.540001,19.27,18.33,18.700001,83900,13.570054
2011-11-01,20.10,20.85,18.299999,18.700001,84500,13.570054
2011-10-03,19.129999,21.92,16.90,20.709999,111300,14.673643
2011-09-01,21.629999,21.860001,18.43,19.200001,100800,13.603765
2011-08-01,23.370001,23.530001,17.85,21.68,160600,15.360918
2011-07-01,24.559999,24.58,22.52,22.74,107900,15.785364
2011-06-01,24.299999,24.780001,23.17,24.719999,98600,17.159815
2011-05-02,23.950001,24.83,23.950001,24.26,110200,16.8405
2011-04-01,23.860001,24.10,23.450001,23.959999,74300,16.330088
2011-03-01,23.610001,23.790001,23.10,23.719999,73400,16.166515
2011-02-01,22.93,24.280001,22.93,23.57,96100,16.064281
2011-01-03,23.17,23.450001,22.700001,22.98,59900,15.366899
2010-12-01,23.15,23.24,21.639999,23.17,80100,15.493954
2010-11-01,24.209999,24.559999,22.40,22.85,136200,15.279967
2010-10-01,24.24,24.559999,23.129999,24.209999,173000,15.880057
2010-09-01,22.950001,24.469999,22.59,24.10,212500,15.807905
2010-08-02,21.52,23.610001,21.450001,22.67,153500,14.869926
2010-07-01,18.639999,21.50,18.35,21.41,97100,13.775108
2010-06-01,18.309999,19.01,17.540001,18.629999,77700,11.986467
2010-05-03,20.35,20.799999,16.799999,18.440001,180900,11.864223
2010-04-01,21.84,21.99,20.15,20.219999,158600,12.694043
2010-03-01,20.02,21.860001,19.82,21.84,150000,13.711074
2010-02-01,19.889999,20.48,18.75,20.00,89800,12.555928
2010-01-04,19.40,21.00,19.35,19.809999,85700,12.16177
2009-12-01,18.129999,19.549999,17.90,19.280001,91900,11.836392
2009-11-02,17.77,19.190001,16.75,18.15,118400,11.142661
