Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,13.32,13.38,13.28,13.32,165800,10.654389
2013-03-01,13.68,13.70,12.88,13.32,213600,10.654389
2013-02-01,14.22,14.25,13.55,13.64,148600,10.85532
2013-01-02,13.88,14.37,13.79,14.18,126100,11.230279
2012-12-03,14.55,14.58,13.47,13.70,186000,10.797701
2012-11-01,14.50,14.66,14.09,14.58,152100,11.435867
2012-10-01,14.80,14.85,14.35,14.45,92000,11.27669
2012-09-04,14.68,14.84,14.28,14.77,42200,11.468353
2012-08-01,14.76,14.78,14.17,14.65,50900,11.317601
2012-07-02,14.36,15.07,14.36,14.74,52600,11.328815
2012-06-01,13.96,14.37,13.72,14.36,55100,10.981384
2012-05-01,13.82,14.00,13.53,13.98,50600,10.634683
2012-04-02,13.93,14.09,13.72,13.84,32400,10.471523
2012-03-01,14.16,14.47,12.97,13.90,62500,10.461568
2012-02-01,13.98,14.16,13.53,14.16,46200,10.602219
2012-01-03,13.53,14.00,13.44,13.91,49500,10.359745
2011-12-01,13.16,13.47,13.07,13.44,43600,9.955437
2011-11-01,13.03,13.34,12.80,13.11,39200,9.657248
2011-10-03,12.87,13.04,12.40,13.01,33200,9.529116
2011-09-01,12.59,12.88,12.32,12.83,38800,9.341909
2011-08-01,11.96,12.56,11.56,12.54,43900,9.07674
2011-07-01,12.27,12.55,11.89,11.92,38000,8.575073
2011-06-01,12.20,12.70,12.00,12.23,33600,8.748189
2011-05-02,11.90,12.21,11.81,12.20,31500,8.675651
2011-04-01,11.92,12.02,11.61,11.92,31000,8.426552
2011-03-01,11.84,11.95,11.52,11.94,36000,8.389988
2011-02-01,11.84,12.00,11.58,11.81,36200,8.249127
2011-01-03,12.24,12.25,11.09,11.81,64800,8.199577
2010-12-01,12.71,12.79,11.38,12.30,84900,8.487689
2010-11-01,13.34,13.43,11.45,12.69,70300,8.702747
2010-10-01,13.85,13.95,13.25,13.37,42600,9.115771
2010-09-01,14.08,14.15,13.49,14.00,42700,9.494697
2010-08-02,13.11,14.06,13.11,14.02,43700,9.459902
2010-07-01,12.68,13.11,12.64,13.11,48600,8.799974
2010-06-01,12.65,12.86,12.45,12.68,43300,8.46514
2010-05-03,12.69,12.80,12.31,12.65,39000,8.398194
2010-04-01,12.66,12.75,12.59,12.63,30500,8.338408
2010-03-01,12.50,12.79,12.40,12.65,36900,8.304884
2010-02-01,12.30,12.60,12.01,12.45,35600,8.127743
2010-01-04,12.10,12.63,12.05,12.28,34700,7.970896
2009-12-01,12.26,12.42,11.91,12.06,34100,7.783631
2009-11-02,11.89,12.39,11.75,12.30,34700,7.892253
2009-10-01,12.32,12.74,11.25,11.80,59900,7.526893
2009-09-01,11.55,12.49,11.51,12.41,35600,7.872565
2009-08-03,11.24,11.58,11.09,11.55,33400,7.287464
2009-07-01,10.70,11.31,10.65,11.16,24800,7.000304
2009-06-01,11.15,11.17,10.34,10.77,31900,6.71593
2009-05-01,10.68,11.34,10.68,11.15,36700,6.909392
2009-04-01,10.30,10.97,9.94,10.73,35500,6.610395
2009-03-02,10.31,10.48,9.21,10.30,70800,6.304866
2009-02-02,10.20,10.73,9.17,10.32,40600,6.276746
2009-01-02,9.46,10.72,9.45,10.16,54600,6.141525
2008-12-01,8.42,9.59,7.44,9.45,85800,5.678264
2008-11-03,9.35,9.82,8.19,8.42,49900,5.018394
2008-10-01,9.55,10.05,6.46,9.21,76700,5.451896
2008-09-02,11.87,11.89,9.37,9.57,50700,5.634169
2008-08-01,11.82,11.90,11.65,11.82,28700,6.92294
2008-07-01,11.98,12.35,11.38,11.77,33400,6.859569
2008-06-02,12.74,12.78,11.97,12.00,26200,6.959669
2008-05-01,12.68,12.98,12.51,12.72,30500,7.342992
2008-04-01,12.31,12.84,12.22,12.62,30000,7.252071
