Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,21.16,21.2595,20.31,20.39,872800,20.39
2013-03-01,20.79,21.46,20.28,21.15,370400,21.15
2013-02-01,19.70,21.90,19.37,21.02,437800,21.02
2013-01-01,17.73,20.45,17.73,19.49,503200,19.49
2012-12-03,17.25,18.20,16.78,17.73,457200,17.73
2012-11-01,15.48,17.31,14.324,17.08,572500,17.08
2012-10-01,16.87,16.87,14.55,15.49,609800,15.49
2012-09-03,17.41,19.35,16.589,16.69,541600,16.69
2012-08-01,17.16,19.30,15.88,17.41,563900,17.41
2012-07-02,19.99,20.23,16.14,17.04,807700,17.04
2012-06-01,18.51,20.55,18.02,19.99,873100,19.99
2012-05-01,21.81,22.59,17.59,18.84,809800,18.84
2012-04-02,22.91,22.99,19.90,21.83,386900,21.83
2012-03-01,22.52,23.55,20.36,23.07,472400,23.07
2012-02-01,23.04,24.96,21.66,22.45,521300,22.45
2012-01-02,19.42,23.92,19.27,22.80,508900,22.80
2011-12-01,21.32,21.81,18.52,19.42,449900,19.42
2011-11-01,23.23,24.80,18.83,21.03,536100,21.03
2011-10-03,18.52,25.07,18.12,24.29,493200,24.29
2011-09-01,22.81,22.81,14.88,18.62,626600,18.62
2011-08-01,25.87,25.87,17.28,22.79,1008500,22.79
2011-07-01,28.13,28.71,19.515,25.69,498800,25.69
2011-06-01,28.70,28.81,24.51,27.97,673300,27.97
2011-05-02,34.79,35.26,19.66,28.78,577700,28.78
2011-04-01,33.28,34.62,31.07,34.56,397400,34.56
2011-03-01,32.16,34.06,30.00,33.06,732700,33.06
2011-02-01,32.51,33.88,24.145,32.14,588600,32.14
2011-01-03,29.89,32.17,23.62,32.03,626100,32.03
2010-12-01,28.77,30.74,28.71,29.69,552800,29.69
2010-11-01,23.36,28.76,21.225,28.36,639000,28.36
2010-10-01,21.30,23.35,20.61,23.23,417300,23.23
2010-09-01,18.63,21.5104,15.44,21.09,670100,21.09
2010-08-02,19.81,20.30,17.50,18.35,705400,18.35
2010-07-01,18.58,20.65,14.495,19.53,458200,19.53
2010-06-01,20.85,21.7018,18.51,18.61,783100,18.61
2010-05-03,23.20,23.59,16.76,16.76,967700,16.76
2010-04-01,23.12,25.13,21.75,23.02,734700,23.02
2010-03-01,20.22,23.32,20.14,22.90,514700,22.90
2010-02-01,18.29,21.00,14.57,20.23,699800,20.23
2010-01-04,22.21,22.47,13.83,18.04,449900,18.04
2009-12-01,18.81,162.50,18.74,22.12,357700,22.12
2009-11-02,18.29,162.50,17.69,18.72,530700,18.72
2009-10-01,19.48,21.04,18.10,18.28,665000,18.28
2009-09-01,18.74,162.50,18.29,19.49,543600,19.49
2009-08-03,16.60,19.85,16.25,18.77,700300,18.77
2009-07-01,14.86,162.50,14.03,16.56,453300,16.56
2009-06-01,14.64,16.75,14.12,14.81,635900,14.81
2009-05-01,16.78,162.50,12.82,14.47,1090400,14.47
2009-04-01,13.20,170.00,13.04,16.88,695900,16.88
2009-03-02,12.31,14.26,11.45,13.51,607000,13.51
2009-02-02,13.44,14.57,10.73,12.55,667200,12.55
2009-01-01,187.50,187.50,10.27,13.62,514300,13.62
2008-12-01,11.70,175.00,9.65,13.50,764300,13.50
2008-11-03,15.41,15.60,8.69,11.69,886200,11.69
2008-10-01,18.49,18.97,12.38,15.44,1031200,15.44
2008-09-01,14.06,22.91,14.06,19.02,1086400,19.02
2008-08-01,16.85,23.00,16.43,20.90,1182700,20.90
2008-07-01,18.92,19.03,10.93,16.88,765600,16.88
2008-06-02,23.17,25.32,18.98,19.20,1228300,19.20
2008-05-01,22.86,23.69,14.10,23.18,971200,23.18
2008-04-01,21.82,24.01,19.72,22.76,780700,22.76
2008-03-03,22.62,485.00,20.34,21.50,1048300,21.50
2008-02-01,27.97,29.028,16.63,22.77,673200,22.77
2008-01-01,467.50,467.50,17.94,27.83,936700,27.83
2007-12-03,32.29,467.50,31.94,33.97,586100,33.97
2007-11-01,32.87,36.80,21.35,32.52,716200,32.52
2007-10-01,32.99,35.82,31.73,33.38,921900,33.38
2007-09-03,24.96,34.94,24.96,32.99,1194800,32.99
2007-08-01,36.66,39.19,33.62,34.41,1006800,34.41
2007-07-02,37.26,39.90,27.27,36.71,787400,36.71
2007-06-01,36.90,37.79,33.94,37.71,1152900,37.71
2007-05-01,35.75,461.00,33.93,36.32,1142200,36.32
2007-04-02,38.23,460.00,34.86,35.28,1411400,35.28
2007-03-01,42.56,43.65,37.13,38.21,1331600,38.21
2007-02-01,41.76,44.36,32.37,42.92,963300,42.92
2007-01-01,523.00,523.00,28.72,41.73,1050200,41.73
2006-12-01,40.10,523.00,38.16,38.53,729300,38.53
2006-11-01,37.36,41.50,30.83,40.00,1160400,40.00
2006-10-02,34.84,37.59,33.12,35.97,1172400,35.97
2006-09-01,35.55,38.07,26.84,35.47,1276700,35.47
2006-08-01,35.41,38.01,32.72,35.30,1485100,35.30
2006-07-03,39.08,39.15,29.92,35.65,1254300,35.65
2006-06-01,45.38,46.05,36.90,39.08,1858700,39.08
2006-05-01,45.20,48.58,33.38,44.55,1535300,44.55
2006-04-03,41.55,45.50,40.75,45.20,1233200,45.20
2006-03-01,37.11,42.21,36.94,41.43,1237100,41.43
2006-02-01,36.30,38.78,31.41,37.10,962100,37.10
2006-01-02,26.67,39.26,26.67,36.37,1355000,36.37
2005-12-01,35.60,37.09,31.79,31.90,1118800,31.90
2005-11-01,29.59,36.50,28.61,35.46,1090200,35.46
2005-10-03,45.30,45.86,26.62,29.59,2738300,29.59
2005-09-01,48.11,50.23,37.68,45.08,1167700,45.08
2005-08-01,47.49,48.15,42.54,48.10,1339900,48.10
