Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,0.186,0.186,0.186,0.186,000,0.186
2013-03-01,0.217,0.218,0.179,0.186,000,0.186
2013-02-01,0.207,0.217,0.193,0.217,000,0.217
2013-01-01,0.168,0.248,0.168,0.206,000,0.206
2012-12-03,0.176,0.178,0.168,0.168,000,0.168
2012-11-01,0.178,0.179,0.176,0.176,000,0.176
2012-10-01,0.161,0.179,0.161,0.177,000,0.177
2012-09-03,0.218,0.218,0.168,0.168,000,0.168
2012-08-01,0.239,0.24,0.213,0.219,000,0.219
2012-07-02,0.271,0.273,0.242,0.242,000,0.242
2012-06-01,0.292,0.30,0.284,0.284,000,0.284
2012-05-01,0.344,0.35,0.282,0.293,000,0.293
2012-04-02,0.351,0.374,0.342,0.344,000,0.344
2012-03-01,0.328,0.353,0.328,0.351,000,0.351
2012-02-01,0.309,0.326,0.278,0.326,000,0.326
2012-01-02,0.331,0.338,0.304,0.306,000,0.306
2011-12-01,0.301,0.33,0.30,0.329,000,0.329
2011-11-01,0.397,0.397,0.298,0.301,000,0.301
2011-10-03,0.382,0.382,0.269,0.341,000,0.341
2011-09-01,0.532,0.532,0.377,0.377,000,0.377
2011-08-01,0.69,0.693,0.509,0.543,000,0.543
2011-07-01,0.694,0.706,0.689,0.689,000,0.689
2011-06-01,0.73,0.735,0.698,0.698,000,0.698
2011-05-02,0.711,0.742,0.69,0.737,000,0.737
2011-04-01,0.726,0.77,0.685,0.699,000,0.699
2011-03-01,0.806,0.806,0.701,0.719,000,0.719
2011-02-01,0.736,0.836,0.734,0.80,000,0.80
2011-01-03,0.738,0.739,0.695,0.732,000,0.732
2010-12-01,0.85,0.868,0.742,0.742,000,0.742
2010-11-25,0.88,0.88,0.84,0.84,000,0.84
