Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,13.35,13.35,13.06,13.09,405600,10.352509
2013-03-01,13.26,14.01,12.73,13.17,285400,10.415778
2013-02-01,12.83,13.40,12.70,13.25,256400,10.420012
2013-01-02,12.29,12.94,12.27,12.81,222500,10.01394
2012-12-03,12.38,12.52,12.07,12.19,170600,9.471972
2012-11-01,12.71,12.87,11.49,12.38,192300,9.50355
2012-10-01,12.62,12.86,12.19,12.61,195400,9.621998
2012-09-04,12.19,12.62,12.05,12.50,209900,9.479979
2012-08-01,11.87,12.26,11.77,12.26,141500,9.240325
2012-07-02,11.71,12.01,11.52,11.78,127400,8.82357
2012-06-01,11.34,11.89,10.93,11.59,183300,8.626441
2012-05-01,12.01,12.08,11.14,11.38,150200,8.415011
2012-04-02,11.86,12.05,11.51,11.98,147600,8.80732
2012-03-01,11.58,11.98,11.40,11.92,194700,8.711083
2012-02-01,11.46,11.75,10.94,11.52,194300,8.369032
2012-01-03,10.90,11.65,10.82,11.39,194500,8.224374
2011-12-01,10.94,11.12,10.20,10.86,212900,7.793836
2011-11-01,10.85,11.18,10.37,10.92,166000,7.680303
2011-10-03,10.20,11.25,9.90,10.97,175900,7.669363
2011-09-01,10.62,10.78,10.07,10.13,145900,7.038435
2011-08-01,11.61,11.67,10.02,10.55,194600,7.285746
2011-07-01,12.16,12.22,11.38,11.41,106600,7.832407
2011-06-01,12.63,12.69,11.90,12.20,120200,8.332108
2011-05-02,12.63,12.82,12.49,12.58,135600,8.548184
2011-04-01,12.60,12.74,12.20,12.50,134000,8.453633
2011-03-01,12.57,12.57,12.10,12.33,148100,8.298798
2011-02-01,12.79,12.81,12.30,12.51,184600,8.379693
2011-01-03,11.84,12.49,11.72,12.49,163100,8.328145
2010-12-01,11.86,12.15,11.23,11.81,143100,7.837234
2010-11-01,11.50,11.50,10.88,11.40,122000,7.527525
2010-10-01,11.24,11.38,11.09,11.36,115600,7.465674
2010-09-01,11.19,11.27,10.91,11.10,101100,7.259945
2010-08-02,11.31,11.32,10.83,10.94,84900,7.12086
2010-07-01,10.91,11.21,10.55,11.20,99100,7.256599
2010-06-01,10.71,11.25,10.48,10.81,87900,6.971114
2010-05-03,12.03,12.07,9.05,10.68,252000,6.854575
2010-04-01,12.03,12.38,11.72,11.98,171900,7.654625
2010-03-01,11.60,12.18,11.42,11.94,248800,7.596964
2010-02-01,11.05,11.71,10.65,11.42,266000,7.234942
2010-01-04,10.31,10.96,10.25,10.76,261900,6.785206
2009-12-01,9.85,10.61,9.56,10.35,171300,6.49526
2009-11-02,9.80,9.80,9.07,9.57,153600,5.974315
2009-10-01,9.56,9.56,9.05,9.09,203300,5.647351
2009-09-01,8.50,9.50,8.27,9.46,156600,5.849205
2009-08-03,8.56,8.73,8.02,8.43,159800,5.185448
2009-07-01,7.65,8.37,7.45,8.37,131100,5.123706
2009-06-01,7.32,7.76,6.94,7.66,151900,4.663915
2009-05-01,6.63,7.30,6.58,7.28,189800,4.408315
2009-04-01,5.71,6.64,5.71,6.60,195200,3.972938
2009-03-02,5.69,6.03,5.03,5.87,218300,3.510657
2009-02-02,6.65,7.38,5.44,5.75,334100,3.4133
2009-01-02,6.14,6.85,5.96,6.74,340900,3.967258
2008-12-01,5.12,6.30,4.74,6.04,490400,3.523204
2008-11-03,6.73,7.25,4.95,5.25,206300,3.02668
2008-10-01,7.81,8.01,3.88,6.68,294500,3.816454
2008-09-02,10.10,10.16,7.37,7.67,297000,4.338832
2008-08-01,10.29,10.33,9.88,10.01,147100,5.62544
2008-07-01,10.83,10.93,9.85,10.19,123300,5.684198
2008-06-02,11.24,11.33,10.75,10.80,117000,5.981314
2008-05-01,11.41,11.49,11.08,11.22,100600,6.172235
2008-04-01,10.36,11.52,10.33,11.38,156700,6.216089
2008-03-03,10.79,10.91,9.42,10.28,192200,5.57337
2008-02-01,11.28,11.28,9.88,10.79,230700,5.805087
2008-01-02,11.55,11.95,11.02,11.24,160400,5.991538
2007-12-03,11.66,11.92,11.25,11.51,271000,6.08566
2007-11-01,12.36,12.41,11.13,11.64,186300,6.103501
2007-10-01,12.64,12.88,12.20,12.36,132400,6.425891
2007-09-04,12.39,12.68,12.29,12.61,106500,6.503973
2007-08-01,12.90,13.07,10.43,12.40,193200,6.344311
2007-07-02,14.25,14.51,12.30,12.88,188500,6.537158
2007-06-01,14.46,14.68,13.71,14.25,141800,7.181229
2007-05-01,14.35,14.56,14.30,14.47,127700,7.241129
2007-04-02,14.12,14.48,14.08,14.34,147100,7.126019
2007-03-01,13.77,14.32,13.71,14.07,159200,6.942909
2007-02-01,14.03,14.36,13.65,14.03,196600,6.873544
2007-01-03,13.58,14.18,13.56,14.01,240600,6.816773
2006-12-01,13.43,13.61,13.35,13.58,199900,6.561065
2006-11-01,13.28,13.39,13.15,13.39,184800,6.422686
2006-10-02,13.26,13.33,13.07,13.26,176000,6.314933
2006-09-01,13.12,13.31,13.11,13.20,167700,6.241218
2006-08-01,13.16,13.20,12.87,13.08,131400,6.140139
2006-07-03,13.11,13.22,13.03,13.15,112600,6.13062
2006-06-01,12.98,13.17,12.97,13.06,131500,6.046896
2006-05-01,13.04,13.07,12.76,12.97,101700,5.963999
2006-04-03,13.09,13.19,12.80,12.97,106500,5.924883
2006-03-01,12.88,13.24,12.84,13.05,131600,5.922806
2006-02-01,12.97,13.11,12.83,12.85,166800,5.794452
