Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,22.459999,22.65,22.42,22.52,49400,16.659805
2013-03-01,24.049999,24.07,21.60,22.459999,20700,16.615417
2013-02-01,22.67,24.540001,22.209999,24.08,20800,17.493362
2013-01-02,22.77,23.65,22.530001,22.700001,24300,16.490835
2012-12-03,22.33,22.66,21.360001,22.57,25700,16.396395
2012-11-01,22.25,22.540001,19.530001,22.33,33300,15.864022
2012-10-01,24.24,24.370001,21.299999,22.24,26000,15.800083
2012-09-04,24.26,24.950001,23.60,24.26,25800,17.235163
2012-08-01,24.059999,24.60,24.02,24.40,19100,17.003977
2012-07-02,24.23,24.799999,23.790001,24.129999,19700,16.815817
2012-06-01,22.950001,24.190001,22.629999,24.059999,29000,16.767035
2012-05-01,23.34,23.59,22.950001,23.059999,14700,15.747496
2012-04-02,22.950001,23.379999,22.809999,23.33,15700,15.931876
2012-03-01,23.41,23.469999,22.60,23.01,15000,15.713351
2012-02-01,22.950001,23.540001,22.209999,23.190001,20900,15.493793
2012-01-03,22.200001,23.65,21.799999,22.93,21700,15.32008
2011-12-01,20.85,22.200001,20.809999,22.200001,17300,14.83235
2011-11-01,21.360001,22.459999,20.549999,20.940001,18300,13.671242
2011-10-03,21.379999,22.01,18.75,21.889999,30300,14.291474
2011-09-01,21.90,22.33,20.629999,21.440001,18800,13.99768
2011-08-01,21.01,22.07,18.90,22.040001,32300,14.058196
2011-07-01,22.219999,22.25,20.559999,20.879999,24000,13.31829
2011-06-01,22.200001,22.50,21.290001,22.10,22500,14.096466
2011-05-02,21.610001,22.35,21.450001,22.219999,15400,13.859036
2011-04-01,22.389999,22.49,21.049999,21.639999,14700,13.497279
2011-03-01,22.00,22.530001,21.309999,22.27,19600,13.890224
2011-02-01,20.42,22.110001,20.40,21.969999,21200,13.413965
2011-01-03,20.049999,20.459999,19.74,20.41,23100,12.461494
2010-12-01,21.030001,21.16,18.559999,20.049999,33800,12.241693
2010-11-01,20.940001,21.790001,19.07,21.02,35300,12.517782
2010-10-01,22.280001,22.799999,20.00,20.83,27300,12.404634
2010-09-01,21.700001,22.620001,21.209999,22.25,17600,13.250269
2010-08-02,21.110001,22.00,20.68,21.43,19000,12.473789
2010-07-01,21.92,22.110001,19.02,21.15,39400,12.310809
2010-06-01,20.74,23.17,20.280001,21.50,22300,12.514534
2010-05-03,20.700001,22.280001,19.50,20.67,19800,11.714281
2010-04-01,19.780001,20.90,19.379999,20.60,19300,11.67461
2010-03-01,19.50,20.23,18.91,19.51,20400,11.056876
2010-02-01,18.450001,19.549999,18.00,19.440001,15800,10.728065
2010-01-04,18.610001,18.98,18.209999,18.530001,14000,10.225878
2009-12-01,17.92,18.700001,17.59,18.27,16900,10.082395
2009-11-02,17.18,17.99,17.139999,17.969999,19300,9.645247
2009-10-01,18.200001,19.059999,17.60,17.780001,17200,9.543267
2009-09-01,17.01,18.40,16.52,17.950001,20200,9.634514
2009-08-03,16.10,17.24,16.00,16.950001,13800,8.870991
2009-07-01,15.70,16.50,15.30,16.07,13000,8.410432
2009-06-01,14.93,16.00,14.49,15.55,19100,8.138284
2009-05-01,13.80,15.07,13.76,14.80,13500,7.538523
2009-04-01,13.90,14.40,13.23,13.80,13400,7.029163
2009-03-02,13.00,14.37,11.77,13.88,17600,7.069912
2009-02-02,13.58,14.77,12.24,13.31,12900,6.531083
2009-01-02,13.00,14.60,12.90,13.60,13500,6.673382
2008-12-01,12.90,13.70,11.94,13.20,13700,6.477106
2008-11-03,13.46,14.77,11.18,12.83,13500,6.110503
2008-10-01,14.70,15.62,10.40,13.46,21500,6.410551
2008-09-02,16.77,17.16,14.37,14.50,18500,6.905869
2008-08-01,16.559999,17.139999,16.24,16.84,6900,7.806489
2008-07-01,17.799999,18.15,15.85,16.549999,6500,7.672053
2008-06-02,18.209999,18.549999,17.15,17.58,5900,8.149529
2008-05-01,17.74,18.68,17.65,18.25,10700,8.277148
2008-04-01,17.67,18.00,17.35,17.690001,10200,8.023165
2008-03-03,17.540001,18.02,16.780001,17.52,13800,7.946063
2008-02-01,17.700001,18.00,17.139999,17.540001,7400,7.790958
2008-01-02,17.00,17.709999,16.559999,17.57,16100,7.804284
2007-12-03,17.40,17.73,16.60,17.00,19100,7.5511
2007-11-01,17.90,17.99,16.52,17.450001,9400,7.609169
2007-10-01,17.73,18.530001,17.73,17.959999,9300,7.831556
2007-09-04,18.16,18.469999,17.700001,18.059999,11100,7.875162
2007-08-01,17.889999,18.299999,16.82,18.16,13200,7.770854
2007-07-02,18.42,18.74,17.709999,17.809999,9700,7.621085
2007-06-01,18.77,19.00,18.00,18.309999,9900,7.83504
2007-05-01,19.00,19.15,18.690001,18.780001,8600,7.893492
2007-04-02,18.889999,19.690001,18.75,19.00,11500,7.98596
2007-03-01,18.82,19.07,18.66,18.84,7900,7.918711
2007-02-01,18.719999,19.07,18.59,18.85,11500,7.794052
2007-01-03,19.24,19.40,18.700001,18.719999,8800,7.7403
2006-12-01,19.299999,19.700001,19.00,19.040001,12200,7.872613
