Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,6.91,7.03,6.35,6.39,48000,5.403781
2013-03-01,5.82,7.32,5.59,6.91,33900,5.843525
2013-02-01,6.33,6.78,5.76,5.95,25500,5.004679
2013-01-02,6.27,6.60,6.10,6.60,20300,5.551408
2012-12-03,5.31,6.59,5.19,6.07,31700,5.105614
2012-11-01,5.52,5.75,4.85,5.25,33300,4.415893
2012-10-01,5.54,5.61,5.10,5.54,25000,4.62784
2012-09-04,5.35,5.92,5.00,5.49,49800,4.586072
2012-08-01,6.27,6.27,5.32,5.39,30700,4.502537
2012-07-02,6.21,6.90,5.85,6.23,27100,5.171762
2012-06-01,5.72,6.42,5.55,6.18,46800,5.130255
2012-05-01,7.40,7.50,5.76,5.81,34300,4.823104
2012-04-02,7.35,7.71,6.81,7.41,33400,6.116823
2012-03-01,7.20,7.75,6.80,7.38,39800,6.092059
2012-02-01,7.44,7.88,7.12,7.12,27000,5.853079
2012-01-03,7.27,7.84,7.07,7.38,35700,6.066815
2011-12-01,7.07,7.55,6.84,7.15,34700,5.877741
2011-11-01,7.26,7.41,6.18,7.09,59500,5.828418
2011-10-03,5.79,7.90,5.13,7.42,57500,6.072426
2011-09-01,6.77,6.89,5.79,5.81,66300,4.754825
2011-08-01,7.39,7.53,6.35,6.79,59800,5.556843
2011-07-01,7.01,7.34,6.64,7.34,60200,5.980019
2011-06-01,7.10,7.13,5.79,7.03,67000,5.727457
2011-05-02,8.62,8.62,7.00,7.10,62800,5.784487
2011-04-01,8.64,8.72,7.80,8.60,42800,6.983175
2011-03-01,8.56,8.77,7.62,8.61,34500,6.991295
2011-02-01,7.52,9.26,7.47,8.54,44200,6.916833
2011-01-03,7.73,9.00,7.32,7.49,60600,6.066402
2010-12-01,7.05,8.03,6.67,7.63,38100,6.179793
2010-11-01,6.67,7.30,6.48,6.99,40400,5.661436
2010-10-01,6.18,6.77,6.00,6.65,41700,5.374053
2010-09-01,5.79,6.51,5.74,6.10,61600,4.929583
2010-08-02,7.14,7.25,5.64,5.73,49300,4.630576
2010-07-01,6.18,7.59,6.06,7.05,74900,5.684117
2010-06-01,6.98,7.63,6.13,6.19,135700,4.990736
2010-05-03,7.77,7.78,6.45,7.02,115300,5.659929
2010-04-01,8.52,8.95,7.72,7.74,81000,6.226908
2010-03-01,7.75,9.08,7.68,8.50,50900,6.838336
2010-02-01,7.80,8.36,7.51,7.72,39200,6.203687
2010-01-04,9.81,10.09,7.55,7.77,62400,6.243866
2009-12-01,9.05,10.14,8.66,9.72,49500,7.81086
2009-11-02,8.41,10.49,7.78,9.00,58700,7.232277
2009-10-01,9.67,10.70,8.26,8.42,52200,6.759258
2009-09-01,10.19,11.16,9.19,9.66,66900,7.754683
2009-08-03,8.94,10.95,8.64,10.25,83200,8.228312
2009-07-01,7.78,9.45,7.02,8.87,62400,7.113601
2009-06-01,7.00,8.00,6.34,7.69,153800,6.167259
2009-05-01,5.37,7.50,5.26,7.00,76000,5.61389
2009-04-01,4.71,5.43,4.25,5.39,42500,4.316502
2009-03-02,5.13,5.19,3.87,4.81,55700,3.852018
2009-02-02,4.98,5.45,3.90,5.45,39000,4.353695
2009-01-02,5.51,5.56,4.62,5.06,28400,4.042147
2008-12-01,3.61,5.87,3.59,5.55,20200,4.43358
2008-11-03,5.01,5.19,3.40,3.67,34400,2.931755
2008-10-01,5.07,5.80,3.51,5.10,41400,4.019634
2008-09-02,5.90,6.90,4.51,5.24,33600,4.129976
2008-08-01,6.99,7.40,5.80,6.00,38500,4.728981
2008-07-01,6.38,7.04,5.77,6.97,44900,5.447023
2008-06-02,6.67,7.80,6.20,6.60,40400,5.15787
2008-05-01,7.00,7.26,6.18,7.25,62800,5.665842
2008-04-01,7.00,7.40,6.64,7.00,39300,5.43042
2008-03-03,6.98,8.12,5.62,7.00,96700,5.43042
2008-02-01,7.96,8.12,6.64,7.01,47500,5.399881
2008-01-02,8.45,8.56,6.16,7.96,91500,6.131677
2007-12-03,8.03,9.58,7.58,8.48,130200,6.532238
2007-11-01,6.93,9.25,6.12,7.98,120000,6.147083
2007-10-01,9.25,9.35,6.90,6.99,54800,5.348143
2007-09-04,9.05,9.76,8.40,9.38,46700,7.176764
2007-08-01,8.65,9.38,6.61,9.06,151600,6.931928
2007-07-02,10.55,10.55,8.05,8.74,106900,6.666629
2007-06-01,11.46,11.50,9.72,10.45,117100,7.970969
2007-05-11,11.50,13.20,10.81,11.45,655700,8.733742
