Date,Open,High,Low,Close,Volume,Adj Close
2010-08-02,22.9377,23.41,22.36,23.00,6500,23.00
2010-07-01,20.83,22.99,20.74,22.70,6400,22.70
2010-06-01,20.93,21.49,20.4002,20.89,14600,20.89
2010-05-03,20.14,20.9665,19.41,20.93,18500,20.93
2010-04-01,21.28,21.36,19.60,20.10,15600,20.10
2010-03-01,20.81,22.07,20.81,21.24,8200,21.24
2010-02-01,21.75,21.91,20.60,20.94,6100,20.94
2010-01-04,21.29,22.47,21.11,21.75,6000,21.75
2009-12-01,20.77,21.63,20.62,21.29,4900,21.29
2009-11-02,20.95,22.09,20.69,20.73,6200,20.73
2009-10-01,24.00,24.53,21.17,20.91,5800,20.1343
2009-09-01,23.62,24.24,23.67,24.00,3600,23.1096
2009-08-03,23.70,23.40,22.75,23.02,000,22.166
2009-07-01,23.00,23.65,22.65,23.50,000,22.6282
2009-06-01,23.28,23.61,22.64,22.88,000,22.0312
2009-05-01,23.24,23.25,22.25,23.00,000,22.1467
2009-04-01,21.44,23.239,21.70,22.85,000,21.2433
2009-03-02,20.75,21.82,18.75,21.50,000,19.9882
2009-02-02,21.85,22.28,21.10,20.75,000,19.2909
2009-01-02,19.88,22.30,20.54,21.26,000,19.7651
2008-12-01,16.86,20.39,17.59,19.76,000,18.3705
2008-11-03,17.60,19.44,16.36,16.37,000,15.2189
2008-10-01,18.10,18.75,16.40,17.10,000,15.1859
2008-09-02,21.56,22.07,18.75,16.794,000,14.9141
2008-08-01,21.26,22.19,21.02,21.65,000,19.2265
2008-07-01,21.84,21.74,20.90,20.91,000,18.5694
2008-06-02,22.99,22.99,22.01,22.09,000,19.6173
2008-05-01,23.57,24.25,22.76,22.48,000,19.9636
2008-04-01,22.66,24.00,22.60,23.56,000,20.2346
2008-03-03,24.90,24.74,22.90,22.25,000,19.1095
2008-02-01,24.55,24.90,24.25,24.89,000,21.3769
2008-01-02,22.50,24.50,22.75,24.50,000,21.042
2007-12-03,21.10,23.35,21.15,22.28,000,19.1353
2007-11-01,23.33,23.98,21.68,20.53,000,17.6323
2007-10-01,23.02,24.25,22.93,23.30,000,19.3026
2007-09-04,23.65,23.80,22.90,23.00,000,19.054
2007-08-01,23.59,24.00,22.44,23.24,000,19.2529
2007-07-03,24.99,25.24,23.79,23.69,000,19.6257
2007-06-01,25.09,25.25,24.97,24.98,000,20.6944
2007-05-01,25.25,25.40,24.99,24.99,000,20.7026
2007-04-02,25.01,26.30,25.01,25.20,000,20.2111
2007-03-01,25.14,25.55,25.09,25.29,000,20.2833
2007-02-01,25.49,25.70,25.04,25.14,000,20.163
2007-01-03,25.15,25.48,24.78,25.40,000,20.3716
2006-12-01,24.90,25.10,24.80,25.00,000,20.0507
2006-11-01,25.75,26.10,24.75,24.90,000,19.9705
2006-10-02,25.60,26.15,25.15,25.75,000,20.0217
2006-09-01,25.31,25.85,25.15,25.45,000,19.7884
2006-08-01,25.99,25.99,25.05,25.31,000,19.6796
2006-07-03,25.01,25.99,25.01,25.99,000,20.2083
2006-06-01,24.60,25.48,24.19,25.00,000,19.4385
2006-05-01,25.50,25.42,24.00,24.25,000,18.8554
2006-04-03,25.40,25.85,25.21,25.50,000,19.0137
2006-03-01,25.50,25.85,25.30,25.40,000,18.9391
2006-02-01,24.70,25.55,24.75,25.20,000,18.79
2006-01-03,23.96,24.65,24.01,24.361,000,18.1644
2005-12-01,24.10,24.20,23.79,23.90,000,17.8207
2005-11-01,25.10,25.25,23.91,24.03,000,17.9176
2005-10-03,25.27,25.27,24.85,25.10,000,17.9552
2005-09-01,25.52,25.52,25.01,25.06,000,17.9265
2005-08-01,25.70,25.65,25.08,25.47,000,18.2198
2005-07-01,25.35,25.58,25.24,25.47,000,18.2198
2005-06-01,25.00,25.50,25.00,25.41,000,18.1769
2005-05-02,24.95,25.49,24.57,25.02,000,17.8979
2005-04-01,24.15,24.99,23.86,24.93,000,17.1079
2005-03-01,25.30,25.40,23.99,23.85,000,16.3668
2005-02-01,24.94,25.75,25.32,25.11,000,17.2314
2005-01-03,24.85,25.12,24.51,24.91,000,17.0942
2004-12-01,24.00,24.97,23.34,24.97,000,17.1354
2004-11-01,24.20,24.66,24.07,23.90,000,16.4011
2004-10-01,24.25,24.30,23.61,24.20,000,16.0035
2004-09-01,23.31,24.50,23.35,24.11,000,15.944
2004-08-02,21.68,24.00,21.68,23.27,000,15.3885
2004-07-01,20.64,22.97,21.00,22.00,000,14.5487
2004-06-01,23.10,24.00,21.44,20.81,000,13.7617
2004-05-03,24.00,24.45,22.30,22.71,000,15.0182
2004-04-01,25.55,25.35,24.10,24.00,000,15.2906
2004-03-01,25.20,25.94,25.26,25.47,000,16.2271
2004-02-02,25.06,25.50,25.10,25.15,000,16.0232
2004-01-02,25.40,25.70,24.95,25.10,000,15.9914
2003-12-05,24.50,25.80,24.50,25.80,000,16.4374
