Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,24.83,25.09,24.219999,24.32,56400,23.020685
2013-03-01,24.25,27.50,24.25,25.00,28800,23.664356
2013-02-01,27.10,28.74,24.10,24.549999,34300,23.238398
2013-01-02,27.25,27.950001,26.26,26.870001,24800,25.434452
2012-12-03,24.540001,27.09,24.290001,26.51,29800,25.093683
2012-11-01,24.35,25.190001,22.26,24.25,26300,22.954426
2012-10-01,23.43,24.700001,21.59,24.290001,26400,22.99229
2012-09-04,22.76,25.190001,22.52,23.190001,27100,21.951057
2012-08-01,20.76,23.57,20.540001,22.73,42400,21.515633
2012-07-02,23.610001,24.49,20.50,20.709999,41400,19.603552
2012-06-01,22.139999,24.610001,21.00,23.450001,61300,22.197166
2012-05-01,25.799999,26.82,21.450001,22.700001,56100,21.487236
2012-04-02,23.629999,27.10,21.99,25.870001,61800,24.487877
2012-03-01,22.110001,24.65,21.530001,23.82,59300,22.5474
2012-02-01,24.549999,26.00,21.49,21.84,56800,20.673182
2012-01-03,23.309999,24.75,21.85,24.26,52300,22.963892
2011-12-01,20.23,23.50,19.83,22.610001,56800,21.402044
2011-11-01,20.50,22.389999,18.110001,20.440001,69900,19.347979
2011-10-03,17.610001,23.030001,16.10,21.65,107900,20.493332
2011-09-01,23.200001,23.41,16.549999,17.76,97300,16.811159
2011-08-01,26.59,26.59,18.68,23.299999,130000,22.05518
2011-07-01,31.50,34.950001,26.16,26.309999,102700,24.904369
2011-06-01,29.219999,31.709999,25.700001,31.51,110300,29.826555
2011-05-02,31.17,32.119999,26.799999,29.42,89100,27.848215
2011-04-01,26.52,32.990002,25.540001,30.85,113400,29.201817
2011-03-01,26.389999,26.59,22.15,26.190001,88700,24.790781
2011-02-01,21.32,26.620001,20.549999,26.02,91900,24.629864
2011-01-03,23.90,24.23,20.809999,21.16,46000,20.02951
2010-12-01,19.60,24.440001,19.549999,23.57,46400,22.310755
2010-11-01,19.83,22.00,18.92,19.190001,41300,18.164761
2010-10-01,19.15,20.43,18.290001,19.66,38500,18.60965
2010-09-01,17.280001,19.42,16.82,18.91,48800,17.899719
2010-08-02,19.90,19.98,16.299999,17.040001,81400,16.129627
