Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,32.130001,32.200001,31.07,31.15,2039000,29.418818
2013-03-01,29.91,32.650002,28.629999,32.080002,1310100,30.297134
2013-02-01,31.450001,32.419998,29.549999,30.389999,1194000,28.627556
2013-01-02,30.889999,32.240002,28.24,31.219999,1787200,29.40942
2012-12-03,28.02,31.50,27.540001,29.92,1280800,28.184814
2012-11-01,27.92,28.540001,25.950001,27.799999,1614700,26.142138
2012-10-01,30.00,31.84,27.629999,27.860001,1669700,26.198561
2012-09-04,27.08,32.099998,26.65,29.82,1694100,28.041676
2012-08-01,26.469999,28.32,25.030001,27.09,1178100,25.431952
2012-07-02,24.709999,29.65,22.09,26.24,1610900,24.633976
2012-06-01,24.559999,26.77,22.73,24.709999,1885600,23.197618
2012-05-01,33.779999,34.349998,24.780001,25.469999,2300800,23.86396
2012-04-02,35.349998,35.970001,33.330002,33.860001,1451100,31.72492
2012-03-01,36.540001,38.00,34.52,35.549999,1677000,33.308353
2012-02-01,32.580002,37.709999,31.790001,36.32,1848500,33.982407
2012-01-03,28.549999,33.400002,27.68,32.139999,1642700,30.071436
2011-12-01,28.690001,29.40,23.870001,27.870001,1599500,26.07626
2011-11-01,26.48,29.139999,25.00,28.90,1574900,26.988714
2011-10-03,23.370001,30.17,20.860001,27.91,1701600,26.064188
2011-09-01,30.24,30.52,23.290001,23.629999,1291500,22.067242
2011-08-01,36.27,36.50,25.09,30.049999,2065700,28.01244
2011-07-01,37.779999,39.34,33.950001,35.650002,1161600,33.232731
2011-06-01,37.32,37.889999,33.790001,37.689999,1383900,35.134403
2011-05-02,38.669998,38.669998,34.07,37.32,1117300,34.740368
2011-04-01,38.029999,38.790001,35.279999,38.369999,1383800,35.717789
2011-03-01,33.009998,38.279999,31.450001,37.77,1764500,35.159264
2011-02-01,32.48,35.25,31.07,32.799999,1407500,30.484823
2011-01-03,30.879999,33.740002,28.43,32.099998,2197200,29.83423
2010-12-01,27.540001,31.42,27.450001,30.469999,1143400,28.319284
2010-11-01,25.530001,28.68,25.290001,27.08,1600800,25.126097
2010-10-01,24.74,25.67,24.530001,25.40,1425400,23.567312
2010-09-01,23.629999,24.889999,23.469999,24.639999,1471900,22.862148
2010-08-02,22.76,24.440001,22.15,23.209999,1745100,21.491089
2010-07-01,20.299999,23.299999,19.530001,22.379999,1656800,20.722559
2010-06-01,21.75,23.77,19.629999,20.34,1900600,18.833639
2010-05-03,22.24,23.209999,19.309999,21.98,2389100,20.306011
2010-04-01,22.33,24.40,21.030001,22.08,1665100,20.398396
2010-03-01,20.799999,23.00,20.639999,22.16,1637800,20.472301
2010-02-01,18.85,21.24,17.299999,20.709999,1363100,19.087587
2010-01-04,19.209999,21.450001,18.639999,18.73,1246500,17.262701
2009-12-01,18.790001,19.959999,17.280001,19.00,1143700,17.511549
2009-11-02,20.66,21.16,18.32,18.629999,1776900,17.122519
2009-10-01,23.209999,24.68,20.25,20.469999,1788100,18.813631
2009-09-01,22.370001,24.440001,21.43,23.290001,2351000,21.405447
2009-08-03,21.58,24.73,21.02,22.65,1976900,20.773809
2009-07-01,18.66,21.360001,16.290001,21.190001,2033300,19.434748
2009-06-01,18.84,19.74,17.24,18.440001,2108200,16.912542
2009-05-01,15.51,18.77,15.17,18.42,2316500,16.850155
2009-04-01,13.50,16.700001,13.31,15.62,1866800,14.288786
2009-03-02,12.29,15.45,11.41,13.81,2410800,12.633043
2009-02-02,14.08,15.74,12.30,12.60,2969000,11.481902
2009-01-02,15.27,17.67,14.01,14.16,3251200,12.90347
2008-12-01,13.50,16.25,11.62,15.20,3455700,13.851183
2008-11-03,14.98,16.57,9.78,13.77,4996400,12.507285
2008-10-01,15.11,18.59,11.82,14.84,8692100,13.479166
2008-09-02,24.889999,24.889999,13.50,15.27,3592200,13.869735
2008-08-01,28.049999,28.85,21.42,24.549999,2879300,22.236607
2008-07-01,34.59,35.299999,27.120001,28.50,1674100,25.81439
2008-06-02,34.549999,38.41,33.380001,34.91,1848900,31.620363
2008-05-01,28.85,36.299999,27.82,34.709999,1644400,31.395481
2008-04-01,27.790001,32.43,27.790001,28.84,1421700,26.08602
2008-03-03,33.330002,33.82,24.459999,27.73,2088600,25.082014
2008-02-01,31.799999,36.82,28.73,33.330002,1784500,30.098148
2008-01-02,38.50,41.950001,24.00,31.559999,1867000,28.499775
2007-12-03,40.459999,44.459999,37.099998,38.799999,1261300,35.037746
2007-11-01,41.98,42.00,33.759998,39.82,2223100,35.958839
2007-10-01,38.889999,45.240002,38.630001,42.880001,1503800,38.72213
2007-09-04,32.889999,40.380001,32.889999,38.77,1533300,35.010654
2007-08-01,32.25,36.470001,26.639999,32.84,2229300,29.655659
2007-07-02,26.57,36.349998,26.309999,32.09,2544200,28.978384
2007-06-01,27.99,29.34,25.309999,26.23,1624800,23.6866
2007-05-01,20.66,28.41,20.450001,27.530001,3366500,24.860546
2007-04-02,20.40,22.32,20.129999,20.66,6861800,18.656696
2007-03-01,22.59,24.02,19.66,20.35,4405000,18.376757
2007-02-01,23.32,24.16,21.66,22.700001,789800,20.498888
2007-01-03,26.00,26.10,22.879999,23.43,748300,21.158104
2006-12-01,22.15,27.629999,21.01,26.16,624400,23.623386
2006-11-16,21.00,22.82,20.50,22.139999,3765500,19.993187
