Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,6.26,6.35,5.98,6.12,529600,6.12
2013-03-01,6.40,6.97,6.13,6.25,194900,6.25
2013-02-01,5.86,6.84,5.55,6.47,211200,6.47
2013-01-02,5.23,6.06,4.87,5.76,180700,5.76
2012-12-03,4.41,5.29,4.18,5.03,177900,5.03
2012-11-01,4.56,4.74,3.69,4.42,266400,4.42
2012-10-01,4.40,4.77,4.33,4.54,217500,4.54
2012-09-04,4.68,4.78,4.22,4.40,329600,4.40
2012-08-01,4.87,4.93,4.40,4.66,265700,4.66
2012-07-02,6.06,6.33,4.52,4.83,409900,4.83
2012-06-01,5.63,6.31,5.30,6.01,379500,6.01
2012-05-01,8.50,8.85,5.33,5.75,670300,5.75
2012-04-02,9.30,9.89,8.09,8.51,288400,8.51
2012-03-01,9.09,9.69,8.28,9.36,367000,9.36
2012-02-01,9.23,10.16,7.86,9.01,433400,9.01
2012-01-03,7.29,9.68,6.87,9.19,530900,9.19
2011-12-01,8.22,8.78,6.50,7.05,465400,7.05
2011-11-01,8.78,10.85,7.47,8.28,586200,8.28
2011-10-03,7.13,10.06,6.40,9.22,652200,9.22
2011-09-01,9.14,9.26,7.14,7.15,423100,7.15
2011-08-01,12.59,12.62,7.84,9.22,629800,9.22
2011-07-01,14.25,14.92,11.52,12.20,633200,12.20
2011-06-01,14.72,14.84,12.91,14.29,731200,14.29
2011-05-02,15.73,16.74,13.68,14.72,693800,14.72
2011-04-01,14.91,16.01,13.58,15.73,299300,15.73
2011-03-01,14.02,15.07,12.62,14.83,332600,14.83
2011-02-01,15.70,17.049999,12.80,13.90,593900,13.90
2011-01-03,14.70,15.64,13.85,15.60,476700,15.60
2010-12-01,14.10,14.60,11.27,14.58,990400,14.58
2010-11-01,3.779962,14.85,3.649963,14.15,451500,14.15
2010-10-01,3.389966,3.829962,2.749973,3.739963,208100,11.219889
2010-09-01,2.749973,3.389966,2.749973,3.339967,114900,10.0199
2010-08-02,3.349967,3.99996,2.249978,2.699973,311700,8.099919
2010-07-01,2.289977,3.649963,2.099979,3.219968,337200,9.659904
2010-06-01,2.099979,2.599974,1.919981,2.329977,166400,6.98993
2010-05-03,2.049979,2.199978,1.859981,2.109979,149100,6.329937
2010-04-01,1.389986,2.389976,1.379986,2.059979,189600,6.179938
2010-03-01,1.299987,1.539985,1.289987,1.399986,106700,4.199958
2010-02-01,1.459985,1.659983,1.289987,1.339987,77200,4.01996
2010-01-04,1.199988,1.749982,1.159988,1.459985,171000,4.379956
2009-12-01,1.349987,1.449986,1.139989,1.189988,103300,3.569964
2009-11-02,1.329987,1.449986,1.129989,1.349987,69800,4.04996
2009-10-01,1.519985,1.619984,1.01999,1.249987,115300,3.749963
2009-09-01,1.279987,1.629984,1.239988,1.529985,131700,4.589954
2009-08-03,0.749992,1.499985,0.719993,1.279987,205100,3.839962
2009-07-01,0.479995,0.729993,0.439996,0.729993,81400,2.189978
2009-06-01,0.499995,0.659993,0.419996,0.479995,57800,1.439986
2009-05-01,0.799992,0.839992,0.359996,0.469995,168800,1.409986
2009-04-01,0.249997,0.849992,0.229998,0.799992,312300,2.399976
2009-03-02,0.139999,0.269997,0.079999,0.249997,269400,0.749992
2009-02-02,0.209998,0.249997,0.129999,0.139999,141600,0.419996
2009-01-02,0.279997,0.459995,0.199998,0.209998,1070700,0.629994
2008-12-01,0.419996,0.419996,0.239998,0.269997,209100,0.809992
2008-11-03,0.639994,0.639994,0.259997,0.419996,214400,1.259987
2008-10-01,1.299987,1.499985,0.359996,0.589994,254500,1.769982
2008-09-02,1.639984,1.779982,0.96999,1.359986,309800,4.079959
2008-08-01,1.389986,1.929981,1.299987,1.619984,473400,4.859951
2008-07-01,3.199968,3.289967,1.209988,1.359986,419500,4.079959
2008-06-02,4.00996,4.209958,3.229968,3.239968,239500,9.719903
2008-05-01,4.069959,4.359956,3.829962,4.02996,307800,12.089879
2008-04-01,4.089959,4.629954,3.97996,4.069959,310900,12.209878
2008-03-03,4.96995,4.96995,3.929961,4.039959,379500,12.119879
2008-02-01,5.259947,5.459945,4.649953,4.95995,431300,14.879851
2008-01-02,6.599934,6.819932,5.00995,5.209948,513100,15.629844
2007-12-03,6.109939,6.719933,5.299947,6.629934,369300,19.889801
2007-11-01,7.04993,7.069929,6.109939,6.199938,489100,18.599815
2007-10-01,7.339927,7.889921,7.00993,7.069929,393300,21.209787
2007-09-04,6.869932,7.649924,6.859931,7.349926,338800,22.04978
2007-08-01,7.04993,7.479926,6.359937,6.899931,482100,20.699795
2007-07-02,7.069929,7.849921,7.01993,7.03993,383700,21.119789
2007-06-01,7.739923,8.179918,7.02993,7.04993,395200,21.149788
2007-05-01,8.479916,9.139909,7.509925,7.679924,394600,23.03977
2007-04-02,7.639924,8.669913,7.599924,8.479916,324300,25.439747
2007-03-01,7.689923,8.499915,7.229928,7.649924,387800,22.949772
2007-02-01,7.609924,8.269917,7.539925,7.809922,351000,23.429766
2007-01-03,7.389926,7.93992,6.809932,7.539925,351500,22.619776
2006-12-01,7.309927,7.469925,7.03993,7.299927,270300,21.89978
2006-11-01,7.379926,7.509925,6.929931,7.349926,368600,22.04978
2006-10-02,8.02992,8.529915,7.299927,7.349926,572100,22.04978
2006-09-01,8.249918,8.409916,7.479926,8.06992,171700,24.209757
2006-08-01,8.349916,8.629913,7.599924,8.229918,237500,24.689754
2006-07-03,9.279907,9.329906,7.449926,8.369917,283500,25.109751
2006-06-01,9.619905,10.099899,7.919921,9.219908,385900,27.659723
2006-05-01,10.859892,11.449885,8.919911,9.559905,415100,28.679714
2006-04-03,9.649904,11.579885,9.549905,10.809892,404300,32.429676
2006-03-01,8.979911,9.469906,8.279918,9.469906,167100,28.409716
2006-02-01,9.149909,9.639904,8.629913,8.909911,171700,26.729733
2006-01-03,7.139929,9.359906,7.139929,9.179909,279700,27.539726
2005-12-01,8.079919,8.469915,6.98993,7.069929,287100,21.209787
2005-11-01,6.919931,8.06992,6.899931,7.99992,212200,23.99976
2005-10-03,8.379916,8.819912,6.479936,6.919931,211000,20.759792
2005-09-01,8.119919,8.519915,7.679924,8.379916,137300,25.139748
2005-08-01,8.399917,8.719913,7.649924,8.119919,177600,24.359756
2005-07-01,6.339937,8.439916,6.229938,8.379916,257200,25.139748
2005-06-01,6.99993,7.189928,6.089939,6.299937,139700,18.899811
2005-05-02,6.249938,7.069929,6.099939,6.99993,174500,20.99979
2005-04-01,7.809922,7.899921,6.109939,6.249938,184200,18.749813
2005-03-01,8.249918,8.649914,7.699923,7.749923,210800,23.249767
2005-02-01,8.449916,8.539915,7.919921,8.169918,164000,24.509756
2005-01-03,8.99991,9.009911,7.899921,8.449916,359700,25.349747
2004-12-01,8.869911,9.349906,8.249918,8.949911,254800,26.849731
2004-11-01,7.799922,9.01991,7.629924,8.859912,297100,26.579735
2004-10-01,8.099919,8.509915,7.439926,7.759923,233100,23.279768
2004-09-01,8.719913,9.239907,7.799922,8.089919,253400,24.269758
2004-08-02,10.089899,10.319897,8.419916,8.669913,172600,26.009741
2004-07-01,12.249878,12.249878,9.819901,10.089899,205400,30.269699
2004-06-01,11.949881,12.289877,10.799892,12.219878,201400,36.659634
2004-05-03,12.259877,12.549875,11.129889,12.149879,277200,36.449638
2004-04-01,14.339857,15.10985,12.01988,12.379876,232400,37.139629
2004-03-01,14.689854,15.489846,12.879871,14.339857,225500,43.019569
2004-02-02,15.199848,16.039839,13.499866,14.719853,186500,44.159557
2004-01-02,13.849861,16.699833,13.729862,15.199848,202200,45.599545
2003-12-01,13.239868,13.949861,11.799883,13.689863,254400,41.069592
2003-11-03,13.099869,13.899861,12.499875,13.199867,228200,39.599602
2003-10-01,12.839872,14.289857,11.99988,13.249867,199000,39.749603
2003-09-02,12.549875,13.949861,11.789882,12.739873,346900,38.21962
2003-08-01,10.699893,12.309877,10.019899,12.259877,195800,36.779633
2003-07-01,9.9999,11.99988,9.689903,10.849892,167000,32.549675
2003-06-02,10.109899,11.199887,9.749903,10.099899,197300,30.299696
2003-05-01,9.159908,10.169899,8.849912,10.099899,162400,30.299696
2003-04-01,7.899921,9.339907,7.549924,9.169909,105100,27.509726
2003-03-03,7.99992,8.729913,7.099929,7.799922,84900,23.399767
2003-02-03,7.609924,8.429916,7.269927,7.97992,109000,23.939762
2003-01-02,8.839911,9.529905,7.299927,7.599924,149300,22.799772
2002-12-02,10.99989,11.499886,8.129919,8.739913,162100,26.219738
2002-11-01,8.769913,11.199887,8.319917,10.869892,205900,32.609676
2002-10-01,8.629913,9.219908,6.129939,8.769913,297400,26.309736
2002-09-03,11.99988,12.619874,8.049919,8.549914,247500,25.649744
2002-08-01,13.199867,13.889861,11.439886,12.04988,179800,36.149639
2002-07-01,17.649824,17.749823,11.949881,12.929872,274600,38.789612
2002-06-03,20.0798,20.499796,17.299828,17.859823,184800,53.579468
2002-05-01,19.299809,22.399775,18.449816,20.219797,193100,60.659393
2002-04-01,19.369806,19.899801,17.98982,19.369806,149400,58.109421
2002-03-01,16.399836,19.959801,16.319838,19.369806,155500,58.109421
2002-02-01,17.999821,18.199818,15.709844,16.289837,186800,48.869511
2002-01-02,17.849821,19.499805,16.99983,17.999821,199500,53.999462
2001-12-03,16.649834,19.349806,16.649834,17.749823,209200,53.24947
2001-11-01,17.699823,18.749813,16.199839,16.899832,186200,50.699493
2001-10-01,16.499836,18.94981,15.749843,17.879822,230100,53.639465
2001-09-04,18.199818,18.199818,13.849861,16.459837,266900,49.379509
2001-08-01,19.649803,20.699793,17.549826,18.199818,169500,54.599453
2001-07-02,19.859802,19.9998,18.009819,19.359808,187700,58.079422
2001-06-01,18.479815,20.249798,17.179829,20.099798,201200,60.299397
2001-05-01,20.529795,22.499775,18.249817,18.349817,264200,55.04945
2001-04-02,17.049829,22.089779,15.949841,20.519796,315800,61.559387
2001-03-01,16.399836,19.899801,16.319838,16.939831,296300,50.819492
2001-02-01,22.999771,23.11977,16.499836,16.819832,397100,50.459496
2001-01-02,15.374846,23.312267,14.249858,22.999771,375800,68.999313
2000-12-01,17.749823,20.499796,13.749863,15.124849,502600,45.374546
2000-11-01,26.812233,27.624723,16.99983,17.499825,448500,52.499477
2000-10-02,27.874722,29.187208,21.999781,27.874722,513500,83.624168
2000-09-01,30.749693,33.499664,27.499725,27.624723,368600,82.874176
2000-08-01,24.249758,33.93716,22.499775,29.999701,508200,89.9991
2000-07-03,25.312248,32.24968,23.249767,24.12476,857300,72.374275
2000-06-01,69.000351,69.500351,24.12476,25.077877,869900,75.233635
2000-05-01,77.250389,88.437943,50.187752,67.187836,570500,100.781761
2000-04-03,63.50032,76.437881,51.000256,74.500374,442800,111.750565
2000-03-01,63.000317,80.000404,60.000301,63.25032,348500,94.875481
2000-02-01,47.56274,63.000317,47.125237,61.437809,267400,92.156715
2000-01-03,45.250229,55.750282,32.00016,47.56274,491000,71.344109
