Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,9.11,9.17,8.83,8.89,10080400,3.9229
2013-03-01,8.56,9.65,8.56,9.09,4732500,4.0112
2013-02-01,9.23,9.38,8.61,8.90,5726000,3.9273
2013-01-01,8.85,9.74,8.85,9.20,6251900,3.9931
2012-12-03,8.62,9.37,8.03,8.85,5620800,3.8412
2012-11-01,9.23,9.47,8.40,8.58,5207200,3.724
2012-10-01,9.37,9.97,8.97,9.24,4798400,3.9457
2012-09-03,8.94,9.92,8.76,9.36,5408900,3.9969
2012-08-01,8.39,9.35,7.50,8.94,6311500,3.8176
2012-07-02,8.13,9.56,7.90,8.35,6999400,3.5192
2012-06-01,7.69,8.35,6.92,8.21,8084800,3.4602
2012-05-01,8.84,9.28,7.80,8.11,7282300,3.4181
2012-04-02,9.92,10.15,8.45,8.85,7845600,3.682
2012-03-01,9.78,10.69,8.82,9.96,10024400,4.1438
2012-02-01,9.12,10.90,8.58,9.69,12223100,4.0314
2012-01-02,9.50,10.41,8.68,9.07,9554000,3.7246
2011-12-01,8.92,9.95,8.01,9.50,7502900,3.9012
2011-11-01,6.48,9.08,6.25,8.88,10824500,3.6466
2011-10-03,5.14,7.32,3.59,6.91,7789000,2.7922
2011-09-01,6.03,16.15,5.18,5.21,4175300,2.1052
2011-08-01,7.01,16.98,5.02,6.00,3194500,2.4245
2011-07-01,5.69,17.16,5.61,6.79,5292000,2.6893
2011-06-01,6.78,6.861,4.90,5.77,4376100,2.2853
2011-05-02,7.13,17.28,5.75,6.85,3337100,2.7131
2011-04-01,6.73,7.44,5.84,7.02,4601200,2.7333
2011-03-01,7.65,7.70,5.51,6.70,5175600,2.6087
2011-02-01,6.40,16.81,5.86,7.57,3937300,2.9474
2011-01-03,6.82,16.05,5.44,6.35,4109900,2.4293
2010-12-01,5.09,6.95,5.02,6.60,5454100,2.5249
2010-11-01,4.19,17.19,4.04,5.00,2814000,1.9128
2010-10-01,3.46,4.55,3.37,4.13,3112900,1.5402
2010-09-01,2.57,16.00,2.51,3.39,2118700,1.2642
2010-08-02,3.19,3.63,2.429,2.46,2941500,0.9174
2010-07-01,3.19,15.82,2.90,3.35,1192300,1.2493
