Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,33.080002,33.099998,32.43,32.540001,20319200,15.522965
2013-03-01,29.18,33.279999,29.030001,33.139999,9073700,15.80919
2013-02-01,27.85,29.52,27.530001,29.209999,9276700,13.934413
2013-01-02,26.34,28.00,25.200001,27.700001,7460000,13.144629
2012-12-03,26.33,27.110001,25.57,26.02,9384700,12.347409
2012-11-01,25.200001,26.40,24.190001,26.24,10558300,12.451807
2012-10-01,23.52,25.440001,23.09,25.219999,11944200,11.895714
2012-09-04,22.26,24.040001,22.049999,23.540001,15669700,11.103296
2012-08-01,22.209999,22.76,21.57,22.280001,9062600,10.508982
2012-07-02,23.10,23.18,20.98,22.17,14256300,10.403649
2012-06-01,21.93,23.219999,21.18,23.190001,15982800,10.882302
2012-05-01,23.27,23.620001,21.76,22.01,9376800,10.328567
2012-04-02,24.17,24.459999,23.00,23.27,10307600,10.865434
2012-03-01,24.51,24.780001,23.67,24.23,12294300,11.313684
2012-02-01,23.950001,24.190001,22.92,23.790001,14371400,11.108237
2012-01-03,24.48,24.83,23.700001,23.76,9495300,11.040236
2011-12-01,23.709999,24.629999,22.940001,24.219999,8848200,11.253978
2011-11-01,22.77,23.469999,21.68,23.18,11177500,10.770736
2011-10-03,21.92,23.65,21.34,23.18,11401600,10.71629
2011-09-01,23.629999,23.780001,21.139999,21.959999,16176500,10.152274
2011-08-01,25.07,25.08,21.52,23.559999,17483200,10.891967
2011-07-01,24.75,25.85,24.60,24.870001,12271400,11.44254
2011-06-01,24.77,24.879999,22.889999,24.799999,19106100,11.410334
2011-05-02,24.34,25.48,23.93,24.82,12088200,11.419536
2011-04-01,24.059999,24.93,23.639999,24.309999,13248100,11.137089
2011-03-01,23.040001,24.35,22.49,23.969999,18871700,10.981325
2011-02-01,21.49,23.459999,21.469999,22.90,15430200,10.491128
2011-01-03,22.43,22.450001,21.09,21.40,14475400,9.758225
2010-12-01,23.809999,24.139999,20.530001,22.360001,21839700,10.195978
2010-11-01,22.049999,23.610001,21.85,23.549999,12347600,10.738608
2010-10-01,21.860001,22.370001,21.10,22.00,13073100,9.985458
2010-09-01,19.91,22.290001,19.84,21.66,12470300,9.831138
2010-08-02,21.379999,22.50,19.67,19.73,12064200,8.955141
2010-07-01,19.83,21.379999,19.57,21.18,16733400,9.57178
2010-06-01,20.059999,21.440001,19.08,19.690001,20329800,8.898412
2010-05-03,22.280001,22.860001,19.700001,20.129999,24013100,9.097259
2010-04-01,21.76,23.76,21.74,22.23,16694900,10.003234
2010-03-01,22.18,23.18,21.10,21.66,17851200,9.746741
2010-02-01,21.530001,22.42,20.950001,22.10,14044100,9.944736
2010-01-04,20.530001,21.959999,20.01,21.43,19583800,9.600375
2009-12-01,22.889999,23.129999,19.450001,20.530001,26487500,9.197186
2009-11-02,23.26,24.120001,22.559999,22.74,11504600,10.187239
2009-10-01,20.620001,24.799999,20.51,23.129999,21640700,10.320277
2009-09-01,21.57,22.23,20.129999,20.639999,27521800,9.209274
2009-08-03,21.49,22.15,20.68,21.59,16603000,9.633151
2009-07-01,22.110001,22.42,20.51,21.379999,15838000,9.498471
2009-06-01,22.85,23.629999,21.10,22.049999,15746200,9.796131
2009-05-01,21.59,22.799999,21.110001,22.799999,13569000,10.129333
2009-04-01,21.040001,22.280001,19.90,21.620001,15651900,9.565057
2009-03-02,20.35,22.59,19.389999,21.219999,15611300,9.388089
2009-02-02,22.42,23.01,20.32,20.67,20295900,9.14476
2009-01-02,26.49,26.940001,22.40,22.50,15049700,9.912597
2008-12-01,27.17,27.790001,24.379999,26.41,16105400,11.635186
2008-11-03,27.450001,29.030001,24.17,27.66,16817700,12.185885
2008-10-01,27.309999,28.25,22.299999,27.459999,20647100,12.05851
2008-09-02,28.00,29.59,25.200001,27.48,18026100,12.067292
2008-08-01,28.459999,30.99,27.18,27.620001,14107300,12.128771
2008-07-01,28.50,29.950001,26.530001,28.280001,15917000,12.38177
2008-06-02,27.60,29.75,25.860001,28.870001,16236700,12.640089
2008-05-01,27.17,28.129999,26.09,27.639999,10611200,12.10156
2008-04-01,25.639999,27.93,23.389999,27.25,14452000,11.891301
2008-03-03,24.27,26.15,24.049999,25.40,14701400,11.084002
2008-02-01,25.450001,27.120001,24.18,24.25,12557100,10.582168
2008-01-02,26.65,27.43,24.23,25.450001,14525800,11.073512
2007-12-03,28.91,29.35,25.59,26.709999,13480300,11.621748
2007-11-01,29.17,29.360001,26.610001,28.75,10033500,12.50937
2007-10-01,28.690001,30.00,27.870001,29.389999,7668300,12.751932
2007-09-04,26.58,29.50,25.299999,28.52,9894400,12.374451
2007-08-01,25.85,27.48,23.950001,26.58,14501100,11.53271
2007-07-02,28.290001,29.469999,25.92,25.959999,13420000,11.230519
