Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,26.00,26.00,25.99,25.99,400,22.776392
2013-03-01,25.76,27.709999,25.200001,26.00,1500,22.785156
2013-02-01,25.799999,26.549999,25.700001,25.76,1000,22.357599
2013-01-02,25.799999,25.90,25.10,25.799999,500,22.392315
2012-12-03,25.799999,26.25,25.50,25.780001,300,22.374958
2012-11-01,25.75,25.940001,25.50,25.799999,300,22.177004
2012-10-01,25.82,26.50,25.15,25.75,500,22.134026
2012-09-04,25.60,27.00,25.450001,25.85,500,22.219984
2012-08-01,25.40,25.93,25.00,25.60,500,21.790197
2012-07-02,25.559999,26.75,25.40,25.40,400,21.619961
2012-06-01,25.040001,25.84,25.00,25.51,1600,21.713591
2012-05-01,25.74,26.00,25.01,25.290001,3100,21.31362
2012-04-02,25.280001,25.75,24.809999,25.540001,200,21.524313
2012-03-01,25.75,26.00,24.799999,25.049999,3300,21.111355
2012-02-01,25.99,25.99,23.49,25.50,500,21.280321
2012-01-03,24.07,29.33,22.799999,26.030001,900,21.72262
2011-12-01,25.620001,27.17,24.00,24.25,6700,20.237169
2011-11-01,23.110001,26.34,23.00,25.200001,700,20.820919
2011-10-03,23.35,23.41,22.610001,23.110001,500,19.094105
2011-09-01,23.35,23.35,22.90,23.35,200,19.2924
2011-08-01,23.90,23.90,23.030001,23.35,700,19.085842
2011-07-01,23.559999,24.74,23.10,23.90,700,19.535402
2011-06-01,23.85,24.309999,23.370001,23.790001,400,19.445492
2011-05-02,23.370001,24.00,22.940001,23.85,600,19.290016
2011-04-01,23.309999,23.84,22.85,23.200001,200,18.764294
2011-03-01,23.00,23.84,22.16,22.860001,100,18.4893
2011-02-01,23.799999,23.85,22.25,23.00,300,18.403362
2011-01-03,23.75,23.799999,21.870001,23.799999,300,19.043478
2010-12-01,23.10,23.959999,22.549999,23.75,2900,19.003471
2010-11-01,23.35,23.60,23.00,23.50,100,18.60297
2010-10-01,23.50,23.60,22.120001,23.00,100,18.207163
2010-09-01,22.049999,23.60,21.76,23.50,1400,18.60297
2010-08-02,21.52,22.190001,21.25,22.139999,600,17.32847
2010-07-01,21.90,22.23,21.50,21.52,300,16.84321
2010-06-01,21.00,22.10,20.299999,21.90,100,17.140627
2010-05-03,21.629999,21.629999,18.879999,21.00,100,16.24501
2010-04-01,20.50,22.48,20.450001,21.629999,300,16.732359
2010-03-01,21.219999,21.219999,20.120001,20.50,600,15.858224
2010-02-01,21.219999,21.219999,19.01,21.219999,100,16.221802
2010-01-04,22.00,22.00,20.40,21.219999,600,16.221802
2009-12-01,20.209999,22.90,19.700001,22.00,300,16.818081
2009-11-02,19.549999,21.709999,19.549999,20.209999,500,15.27727
2009-10-01,20.219999,20.75,19.549999,19.549999,200,14.778358
2009-09-01,18.799999,20.969999,17.50,20.219999,100,15.284829
2009-08-03,20.75,20.99,18.799999,18.799999,000,14.018847
2009-07-01,18.02,21.00,18.02,20.75,200,15.47293
2009-06-01,21.00,21.00,17.68,18.76,100,13.98902
2009-05-01,20.940001,22.00,19.700001,21.00,200,15.470685
2009-04-01,19.00,20.950001,19.00,20.940001,000,15.426483
2009-03-02,19.92,19.93,16.75,19.00,100,13.997287
2009-02-02,20.99,21.00,14.27,19.92,100,14.490967
2009-01-02,19.50,20.99,19.200001,20.99,000,15.269347
2008-12-01,19.25,22.200001,19.01,19.50,400,14.185434
2008-11-03,19.889999,22.200001,17.549999,19.25,400,13.832795
2008-10-01,20.00,21.450001,18.90,19.889999,100,14.29269
2008-09-02,22.99,22.99,20.00,20.00,100,14.371735
2008-08-01,23.75,24.50,22.700001,22.99,300,16.335186
2008-07-01,22.25,24.25,20.219999,23.51,000,16.704664
2008-06-02,22.50,22.700001,22.25,22.25,000,15.809392
2008-05-01,23.50,23.50,22.00,22.50,100,15.809392
2008-04-01,22.940001,23.60,22.940001,23.50,200,16.512032
2008-03-03,22.549999,24.00,20.950001,22.940001,200,16.118553
2008-02-01,22.85,26.00,22.549999,22.549999,200,15.671548
2008-01-02,23.200001,23.200001,22.00,22.200001,100,15.428309
2007-12-03,24.00,24.00,21.52,23.200001,1300,16.123278
2007-11-01,23.10,24.00,21.110001,24.00,300,16.490999
2007-10-01,23.50,23.60,22.50,23.10,000,15.872587
2007-09-04,23.50,23.60,23.50,23.50,100,16.147436
2007-08-01,23.60,23.60,23.299999,23.50,000,15.975656
2007-07-02,23.00,23.60,23.00,23.35,000,15.873683
2007-06-01,23.700001,23.700001,22.60,23.00,000,15.635748
2007-05-01,23.60,24.00,23.299999,23.700001,000,15.941666
2007-04-02,23.40,23.75,23.25,23.60,500,15.8744
2007-03-01,23.059999,23.75,23.059999,23.40,1000,15.739871
2007-02-01,23.00,23.50,23.00,23.059999,300,15.345455
2007-01-03,23.01,23.50,22.85,23.00,100,15.305528
2006-12-01,23.110001,23.65,22.00,23.01,1600,15.312182
2006-11-01,23.50,23.75,23.110001,23.110001,400,15.209732
2006-10-02,23.049999,23.50,22.90,23.50,000,15.466408
2006-09-01,23.50,23.50,22.90,23.049999,300,15.170242
2006-08-01,22.99,23.50,22.51,23.50,700,15.300101
2006-07-03,22.49,23.00,22.25,22.99,000,14.968057
2006-06-01,22.25,23.00,22.00,22.49,400,14.642523
2006-05-01,23.00,23.40,22.25,22.25,100,14.327077
2006-04-03,23.00,23.75,22.50,23.00,1100,14.810012
2006-03-01,23.25,23.50,22.50,23.00,400,14.810012
2006-02-01,22.50,23.25,22.00,23.25,300,14.811725
2006-01-03,23.00,23.50,21.75,22.50,1100,14.333927
2005-12-01,23.00,23.50,22.50,23.00,600,14.652459
2005-11-01,23.00,23.50,22.50,22.50,200,14.178123
2005-10-03,23.25,23.25,22.00,23.00,400,14.493193
2005-09-01,23.25,23.50,22.75,23.25,600,14.650727
2005-08-01,23.00,23.50,22.60,23.25,800,14.494868
2005-07-01,22.75,23.00,22.65,23.00,100,14.339009
2005-06-01,23.00,23.50,22.00,23.00,2900,14.339009
2005-05-02,23.00,23.25,22.25,23.00,400,14.183825
2005-04-01,22.75,23.25,22.00,23.00,1000,14.183825
2005-03-01,22.26,24.00,22.25,22.75,2600,14.029654
2005-02-01,22.459999,23.35,22.15,22.75,3200,13.882592
2005-01-03,21.450001,22.50,21.450001,22.50,3000,13.730036
2004-12-01,21.25,21.75,21.18,21.75,2300,13.272368
2004-11-01,21.200001,21.50,20.60,21.50,200,12.96901
2004-10-01,20.75,21.200001,20.25,21.200001,700,12.788048
2004-09-01,20.50,21.35,20.02,20.75,1500,12.516603
2004-08-02,20.50,21.200001,19.75,21.200001,900,12.638306
2004-07-01,20.35,21.00,19.950001,20.50,1100,12.221003
2004-06-01,20.00,20.00,19.50,19.950001,000,11.893123
2004-05-03,21.00,21.00,20.00,20.00,300,11.772005
2004-04-01,20.200001,21.299999,20.00,20.90,900,12.301745
2004-03-01,21.00,21.00,19.50,20.200001,1300,11.889726
2004-02-02,20.10,21.50,19.50,21.00,100,12.211682
2004-01-02,19.950001,20.10,19.40,20.10,000,11.688325
2003-12-01,18.75,20.00,18.50,20.00,400,11.630174
2003-11-03,18.90,18.90,18.50,18.75,000,10.766312
2003-10-01,19.00,19.65,18.700001,18.90,300,10.852443
2003-09-02,19.25,19.50,18.75,19.25,200,11.053413
2003-08-01,19.75,20.00,19.25,19.25,100,10.907974
2003-07-01,20.00,20.25,19.50,19.75,100,11.191298
2003-06-02,18.75,20.00,18.00,20.00,100,11.33296
2003-05-01,17.40,18.25,17.40,18.25,000,10.203442
2003-04-01,17.25,17.50,16.90,17.40,100,9.728212
2003-03-03,19.75,19.75,17.25,17.25,000,9.644349
2003-02-03,18.00,20.50,17.50,19.75,1600,10.902308
2003-01-02,20.00,20.00,18.00,18.50,900,10.212289
2002-12-02,20.00,20.00,18.299999,20.00,200,11.040312
2002-11-01,20.00,20.00,19.00,20.00,000,10.891521
2002-10-01,18.00,21.00,18.00,20.00,300,10.891521
2002-09-03,19.799999,19.799999,16.25,18.50,300,10.074656
2002-08-01,19.85,19.85,19.50,19.799999,000,10.646461
2002-07-01,19.50,19.950001,19.50,19.85,300,10.673347
2002-06-03,19.959999,19.959999,19.50,19.50,000,10.485151
2002-05-01,19.299999,20.75,19.299999,19.959999,200,10.598001
2002-04-01,19.549999,19.549999,19.00,19.50,100,10.353759
2002-03-01,18.450001,19.549999,18.450001,19.549999,400,10.380306
2002-02-01,18.00,18.450001,17.75,18.450001,300,9.670656
2002-01-02,18.75,18.75,18.00,18.00,100,9.434786
2001-12-03,18.75,18.950001,18.75,18.75,000,9.827902
2001-11-01,17.00,19.00,16.50,18.75,300,9.696863
2001-10-01,17.00,17.50,17.00,17.00,000,8.791822
2001-09-04,18.50,18.75,17.950001,17.950001,000,9.283131
2001-08-01,18.00,19.00,18.00,18.50,000,9.43828
