Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,27.02,27.02,26.60,26.74,256600,20.128992
2013-03-01,25.950001,27.549999,25.889999,27.549999,146800,20.738733
2013-02-01,25.76,26.33,25.49,25.83,125200,19.32934
2013-01-02,25.200001,26.68,24.790001,25.68,125300,19.101208
2012-12-03,25.10,25.40,24.709999,25.040001,89100,18.511934
2012-11-01,25.24,25.74,24.620001,25.10,107100,18.402201
2012-10-01,25.030001,25.709999,24.209999,25.24,93200,18.504841
2012-09-04,25.07,25.110001,24.530001,24.959999,96600,18.18623
2012-08-01,25.16,25.98,25.00,25.02,69900,18.116329
2012-07-30,25.25,25.32,25.030001,25.15,82000,18.210459
