Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,1.26,1.26,1.23,1.23,186000,1.23
2013-03-01,1.19,1.36,1.18,1.27,148200,1.27
2013-02-01,1.30,1.48,1.17,1.20,174600,1.20
2013-01-02,1.19,1.35,1.15,1.27,121300,1.27
2012-12-03,1.24,1.26,1.10,1.14,141100,1.14
2012-11-01,1.49,1.75,1.14,1.24,224200,1.24
2012-10-01,1.50,1.55,1.45,1.48,140600,1.48
2012-09-04,1.51,1.67,1.44,1.48,146200,1.48
2012-08-01,1.24,1.65,1.18,1.48,255900,1.48
2012-07-02,1.65,1.66,1.15,1.25,239200,1.25
2012-06-01,1.14,1.81,1.13,1.62,610300,1.62
2012-05-01,1.13,1.22,1.11,1.16,188800,1.16
2012-04-02,1.30,1.54,1.07,1.13,258000,1.13
2012-03-01,1.13,1.35,1.08,1.28,400600,1.28
2012-02-01,1.33,1.38,1.04,1.13,556500,1.13
2012-01-03,0.72,1.73,0.69,1.33,652400,1.33
2011-12-01,0.54,0.91,0.51,0.70,513700,0.70
2011-11-01,0.71,0.83,0.49,0.54,151700,0.54
2011-10-03,0.77,0.79,0.68,0.71,78100,0.71
2011-09-01,0.70,0.95,0.58,0.78,388700,0.78
2011-08-01,0.91,0.95,0.61,0.66,244000,0.66
2011-07-01,0.88,1.15,0.81,0.91,761600,0.91
2011-06-01,1.18,1.22,0.79,0.89,929400,0.89
2011-05-02,1.42,1.43,0.95,1.20,2070600,1.20
2011-04-01,2.72,3.47,1.40,1.43,889300,1.43
2011-03-01,2.99,3.05,2.24,2.70,217200,2.70
2011-02-01,2.85,3.18,2.77,2.97,279600,2.97
2011-01-03,2.48,3.41,2.38,2.88,471200,2.88
2010-12-01,1.96,2.50,1.92,2.46,255100,2.46
2010-11-01,1.85,2.25,1.72,1.92,360500,1.92
2010-10-01,2.69,2.94,1.82,1.84,444200,1.84
2010-09-01,2.25,2.69,2.08,2.68,159200,2.68
2010-08-02,2.98,3.11,1.93,2.22,193000,2.22
2010-07-01,2.53,3.15,2.16,2.94,223100,2.94
2010-06-01,3.40,3.40,2.49,2.57,425800,2.57
2010-05-03,3.78,3.81,3.06,3.40,239900,3.40
2010-04-01,3.44,4.52,3.25,3.78,286800,3.78
2010-03-01,3.89,3.91,2.96,3.39,289800,3.39
2010-02-01,4.27,4.35,3.61,3.83,195400,3.83
2010-01-04,3.51,4.77,3.42,4.24,436600,4.24
2009-12-01,3.69,4.00,3.00,3.47,296500,3.47
2009-11-02,3.04,4.50,2.84,3.62,392000,3.62
2009-10-01,2.71,4.24,2.15,3.05,680100,3.05
2009-09-01,1.79,3.43,1.61,2.75,724300,2.75
2009-08-03,1.45,2.46,1.37,1.81,783400,1.81
2009-07-01,0.56,1.98,0.50,1.41,1289000,1.41
2009-06-01,1.03,1.05,0.48,0.53,610200,0.53
2009-05-01,0.38,1.89,0.36,1.00,1252000,1.00
2009-04-01,0.30,0.45,0.29,0.38,312600,0.38
2009-03-02,0.41,0.47,0.26,0.28,422000,0.28
2009-02-02,0.31,0.65,0.24,0.41,396500,0.41
2009-01-02,0.42,0.65,0.31,0.31,430500,0.31
2008-12-01,1.01,1.05,0.30,0.41,599600,0.41
2008-11-03,2.46,2.78,0.85,1.04,615100,1.04
2008-10-01,3.60,3.97,1.94,2.50,540100,2.50
2008-09-02,3.89,3.89,2.22,3.50,856800,3.50
2008-08-01,3.08,3.95,2.93,3.75,386500,3.75
2008-07-01,4.00,5.00,2.76,3.02,696500,2.862363
2008-06-02,6.80,7.00,3.81,3.99,947800,3.781731
2008-05-01,7.66,8.10,6.65,6.80,653700,6.445055
2008-04-01,10.28,11.32,7.01,7.73,940400,7.127932
