Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,41.380001,41.650002,40.439999,40.610001,7319400,40.062984
2013-03-01,38.439999,43.900002,37.779999,41.48,4234500,40.921265
2013-02-01,41.849998,42.27,36.610001,38.59,4265400,38.070194
2013-01-02,39.950001,43.220001,39.459999,41.540001,4439800,40.980457
2012-12-03,38.310001,39.880001,35.509998,38.669998,4272500,38.113361
2012-11-01,37.630001,39.330002,33.919998,38.040001,6241900,37.492432
2012-10-01,35.27,39.25,34.400002,37.470001,5328400,36.930637
2012-09-04,32.400002,38.27,32.169998,34.77,5994000,34.232231
2012-08-01,29.40,32.849998,28.51,32.43,4323000,31.928421
2012-07-02,31.139999,31.90,28.950001,29.209999,5879400,28.758223
2012-06-01,26.23,30.93,23.48,30.91,8920400,30.393663
2012-05-01,27.75,30.120001,25.40,27.290001,7873000,26.834135
2012-04-02,26.959999,28.719999,24.299999,27.74,6572100,27.276617
2012-03-01,23.52,28.280001,22.200001,27.18,7356100,26.684486
2012-02-01,21.74,24.35,21.49,23.379999,6265400,22.953764
2012-01-03,20.07,23.110001,19.559999,21.49,7295600,21.098221
2011-12-01,18.32,20.190001,18.120001,19.65,5485000,19.257269
2011-11-01,16.030001,18.82,15.61,18.41,6961900,18.042053
2011-10-03,13.41,17.41,12.14,16.540001,6080800,16.209429
2011-09-01,14.79,14.98,12.91,13.54,5130100,13.234717
2011-08-01,17.91,18.00,12.39,14.70,6158200,14.368564
2011-07-01,18.18,19.10,17.139999,17.690001,3519500,17.291149
2011-06-01,18.90,19.02,16.389999,18.15,4330200,17.70295
2011-05-02,19.129999,19.129999,17.34,18.98,3662500,18.512506
2011-04-01,18.25,19.389999,17.67,18.99,4195900,18.522261
2011-03-01,20.309999,20.60,18.059999,18.120001,4737300,17.636305
2011-02-01,19.51,21.540001,18.940001,20.16,4335100,19.621847
2011-01-03,18.889999,20.700001,18.43,19.360001,5224000,18.843204
2010-12-01,15.49,19.059999,15.41,18.75,4822500,18.212767
2010-11-01,14.61,16.540001,14.41,15.19,5441100,14.754769
2010-10-01,15.66,16.610001,14.11,14.51,4871100,14.094254
2010-09-01,13.43,15.64,13.42,15.38,4623300,14.902642
2010-08-02,15.04,15.26,11.93,13.15,4587000,12.741856
2010-07-01,13.90,15.75,13.30,14.77,5308100,14.311576
2010-06-01,17.02,17.16,13.81,13.91,7107200,13.439896
2010-05-03,20.110001,20.959999,16.530001,17.299999,7604600,16.715326
2010-04-01,17.32,21.790001,16.780001,19.92,7977800,19.208132
2010-03-01,16.48,18.93,15.86,17.209999,6379200,16.594976
2010-02-01,15.47,17.879999,14.22,16.41,7579400,15.823566
2010-01-04,12.81,16.84,12.65,15.36,7528300,14.81109
2009-12-01,12.87,13.53,11.56,12.77,4187800,12.281476
2009-11-02,12.77,15.32,12.05,12.67,5438300,12.185301
2009-10-01,14.14,15.48,12.50,12.60,6733600,12.117979
2009-09-01,15.08,17.66,13.86,14.25,6406100,13.665645
2009-08-03,12.03,15.92,11.66,15.15,7831300,14.528737
2009-07-01,9.76,12.02,7.98,11.84,7172100,11.354472
2009-06-01,9.67,10.00,7.28,9.69,7693100,9.254475
2009-05-01,9.76,10.94,8.37,9.51,7083300,9.082566
2009-04-01,7.31,10.91,7.02,9.74,9116600,9.264026
2009-03-02,6.41,11.25,5.72,7.51,9517200,7.143002
2009-02-02,7.51,9.99,5.54,6.68,9586600,6.353562
2009-01-02,8.60,11.56,6.16,7.69,10722000,7.314206
2008-12-01,6.99,11.30,6.09,8.67,6625300,8.205083
2008-11-03,7.72,9.94,3.42,7.11,8202900,6.728736
2008-10-01,14.90,15.52,5.62,7.74,9856800,7.324953
2008-09-02,13.51,16.90,11.15,15.19,10208700,14.316176
2008-08-01,11.98,13.52,10.12,13.15,7226100,12.39353
2008-07-01,12.01,14.17,9.33,12.10,8128000,11.403933
2008-06-02,16.73,17.219999,12.07,12.34,6756600,11.478223
2008-05-01,18.25,20.940001,16.549999,16.879999,5139700,15.701166
2008-04-01,19.290001,22.73,16.719999,18.42,8331600,16.984793
2008-03-03,18.35,19.790001,13.40,18.809999,9202500,17.344406
2008-02-01,20.139999,21.639999,17.450001,18.610001,7015800,17.15999
2008-01-02,17.73,21.07,11.98,20.540001,11643100,18.780956
2007-12-03,16.120001,19.450001,15.27,17.889999,6442100,16.357901
2007-11-01,22.35,22.530001,14.00,15.84,6316000,14.483463
2007-10-01,23.15,26.469999,20.52,22.85,6155700,20.74683
2007-09-04,28.08,28.959999,21.60,22.65,5598200,20.565239
2007-08-01,30.50,37.09,26.92,28.27,6081600,25.667961
2007-07-02,36.380001,37.439999,30.60,30.66,4295900,27.692705
2007-06-01,45.73,45.900002,36.369999,36.560001,2957300,33.021702
2007-05-01,42.860001,47.41,41.41,45.650002,2280000,41.231964
2007-04-02,42.349998,45.00,40.650002,42.709999,3226400,38.43441
2007-03-01,48.50,49.900002,42.16,42.209999,3727000,37.984463
2007-02-01,54.619999,56.540001,48.759998,49.189999,2239100,44.265713
2007-01-03,51.549999,54.619999,48.330002,54.380001,2872700,48.792175
2006-12-01,52.32,54.610001,50.57,52.459999,1681000,47.069466
2006-11-01,47.77,53.00,44.23,52.50,2341000,47.105354
2006-10-02,45.259998,48.630001,44.220001,47.48,2428100,42.457626
2006-09-01,45.00,48.009998,41.790001,45.25,2812200,40.463512
2006-08-01,44.16,48.950001,42.389999,44.84,2330800,40.096882
2006-07-03,44.369999,46.00,38.66,44.73,2711900,39.856869
