Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,8.57,8.57,8.30,8.33,3059400,8.33
2013-03-01,8.46,8.84,8.15,8.56,1371700,8.56
2013-02-01,9.10,9.50,8.15,8.57,2913100,8.57
2013-01-02,8.92,10.17,8.55,9.01,2335900,9.01
2012-12-03,9.16,9.18,7.43,8.63,2300500,8.63
2012-11-01,8.88,10.10,7.00,9.11,2425400,9.11
2012-10-01,9.07,9.59,8.31,8.84,1269200,8.84
2012-09-04,10.87,11.13,8.08,9.02,2191400,9.02
2012-08-01,11.57,11.77,8.71,10.84,1008400,10.84
2012-07-02,10.26,12.28,10.03,11.49,947500,11.49
2012-06-01,10.20,10.95,9.44,10.26,992100,10.26
2012-05-01,9.34,10.78,8.93,10.42,1090800,10.42
2012-04-02,8.36,9.47,7.52,9.34,721800,9.34
2012-03-01,7.10,8.58,6.81,8.36,637600,8.36
2012-02-01,5.86,7.90,5.80,7.03,1281100,7.03
2012-01-03,5.69,6.00,5.30,5.79,565800,5.79
2011-12-01,5.39,6.18,5.25,5.59,905900,5.59
2011-11-01,3.58,5.45,3.55,5.44,759400,5.44
2011-10-03,3.34,3.98,2.97,3.73,391000,3.73
2011-09-01,3.29,3.71,2.85,3.37,494700,3.37
2011-08-01,3.95,3.95,2.57,3.30,794100,3.30
2011-07-01,4.27,4.36,3.83,3.90,377900,3.90
2011-06-01,4.51,4.75,3.78,4.22,468000,4.22
2011-05-02,4.27,4.79,4.19,4.53,457800,4.53
2011-04-01,4.32,4.44,4.18,4.27,317400,4.27
2011-03-01,4.34,4.57,4.22,4.32,433800,4.32
2011-02-01,3.91,4.81,3.80,4.34,1098900,4.34
2011-01-03,5.65,5.65,3.73,3.86,1189800,3.86
2010-12-01,5.79,6.50,5.31,5.55,527700,5.55
2010-11-01,5.60,6.65,5.30,5.68,1005500,5.68
2010-10-01,5.55,6.21,5.35,5.59,244800,5.59
2010-09-01,4.80,5.75,4.70,5.48,216100,5.48
2010-08-02,5.20,5.34,4.64,4.70,216300,4.70
2010-07-01,4.01,5.48,3.71,5.08,260300,5.08
2010-06-01,5.12,5.32,3.97,4.02,292900,4.02
2010-05-03,6.83,7.15,3.58,5.18,680700,5.18
2010-04-01,6.59,7.51,6.28,6.84,445100,6.84
2010-03-01,5.44,7.14,5.36,6.55,556100,6.55
2010-02-01,3.32,5.73,3.04,5.45,926000,5.45
2010-01-04,3.97,4.02,3.15,3.31,211500,3.31
2009-12-01,3.03,4.38,2.87,3.91,288900,3.91
2009-11-02,3.36,4.10,2.99,3.00,256700,3.00
2009-10-01,4.10,4.45,3.20,3.30,203500,3.30
