Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,21.530001,21.700001,20.68,20.82,4564000,20.82
2013-03-01,20.74,22.549999,20.32,21.60,1792700,21.60
2013-02-01,20.01,22.129999,19.68,20.969999,3062200,20.969999
2013-01-02,20.059999,21.60,18.93,19.43,2741400,19.43
2012-12-03,17.549999,19.34,16.690001,19.32,2134700,19.32
2012-11-01,15.81,17.84,14.72,17.42,2980200,17.42
2012-10-01,12.62,16.73,12.50,15.79,3756400,15.79
2012-09-04,13.49,15.50,12.19,12.50,4951200,12.50
2012-08-01,10.47,13.76,10.10,13.42,3320600,13.42
2012-07-02,10.88,11.75,9.87,10.32,3998600,10.32
2012-06-01,9.10,11.00,8.46,10.88,4327000,10.88
2012-05-01,9.05,9.99,8.36,9.42,3498200,9.42
2012-04-02,9.35,9.44,7.81,9.05,2913300,9.05
2012-03-01,8.27,10.18,7.73,9.35,3976200,9.35
2012-02-01,8.62,9.27,7.66,8.17,3905000,8.17
2012-01-03,8.38,9.70,8.00,8.52,2563400,8.52
2011-12-01,7.98,8.25,7.09,8.07,2197900,8.07
2011-11-01,6.30,8.00,6.24,7.98,3042500,7.98
2011-10-03,5.07,7.33,4.41,6.65,3030800,6.65
2011-09-01,6.69,6.74,5.07,5.10,2398800,5.10
2011-08-01,7.79,7.82,5.58,6.67,3500600,6.67
2011-07-01,8.15,8.56,7.27,7.75,2368800,7.75
2011-06-01,8.35,8.38,7.16,8.14,2409900,8.14
2011-05-02,9.38,9.41,7.81,8.38,2342900,8.38
2011-04-01,10.61,10.91,8.77,9.30,2462700,9.30
2011-03-01,10.41,10.55,9.39,10.50,2240200,10.50
2011-02-01,10.11,11.63,9.63,10.32,3467700,10.32
2011-01-03,9.54,10.61,9.19,10.04,2936300,10.04
2010-12-01,8.38,10.09,8.31,9.46,1880500,9.46
2010-11-01,7.78,8.99,7.65,8.20,2643600,8.20
2010-10-01,7.72,8.49,7.40,7.74,1977100,7.74
2010-09-01,6.84,8.00,6.80,7.57,2149800,7.57
2010-08-02,7.59,7.68,6.25,6.66,2489600,6.66
2010-07-01,6.69,8.46,6.45,7.28,3759500,7.28
2010-06-01,8.36,8.36,6.48,6.69,4814100,6.69
2010-05-03,11.82,12.40,7.26,8.50,6625600,8.50
2010-04-01,9.22,13.44,9.13,11.76,5350900,11.76
2010-03-01,7.67,9.20,7.63,9.05,2647300,9.05
2010-02-01,7.12,8.31,6.80,7.61,3173400,7.61
2010-01-04,7.06,8.02,6.89,7.11,2611200,7.11
2009-12-01,6.33,7.47,5.99,6.98,1949200,6.98
2009-11-02,5.28,6.75,4.97,6.24,2948000,6.24
2009-10-01,6.50,7.30,4.97,5.25,3504200,5.25
2009-09-01,7.49,8.05,6.58,6.67,4955600,6.67
2009-08-03,4.28,7.73,4.05,7.53,2962400,7.53
2009-07-01,3.51,4.37,3.00,4.22,1386300,4.22
2009-06-01,4.42,4.72,3.34,3.42,1290100,3.42
2009-05-01,4.07,5.10,3.69,4.34,2208500,4.34
2009-04-01,2.14,4.60,2.06,4.07,2002700,4.07
