Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,12.51,12.51,11.95,11.98,121400,11.138259
2013-03-01,12.10,12.51,11.84,12.49,94000,11.612426
2013-02-01,13.33,13.52,12.01,12.21,71600,11.352099
2013-01-02,12.82,13.48,12.63,13.30,142600,12.365514
2012-12-03,11.93,12.93,11.36,12.47,104600,11.593831
2012-11-01,10.94,11.87,10.27,11.84,89600,9.98266
2012-10-01,11.14,11.62,10.55,10.90,174800,9.190118
2012-09-04,12.91,13.26,10.96,11.10,106900,9.286097
2012-08-01,13.15,13.77,12.50,12.91,43400,10.800316
2012-07-02,13.70,14.27,12.64,13.12,43100,10.975999
2012-06-01,13.00,14.37,12.93,13.76,57500,11.438394
2012-05-01,12.59,13.97,11.80,13.33,73500,11.080943
2012-04-02,12.53,13.01,11.99,12.51,61700,10.399295
2012-03-01,12.14,12.84,11.16,12.55,59900,10.362335
2012-02-01,12.25,13.14,11.89,12.05,56200,9.949493
2012-01-03,13.00,13.07,12.10,12.11,73400,9.999034
2011-12-01,12.26,13.55,11.65,12.61,89700,10.343003
2011-11-01,11.43,12.65,10.75,12.25,82700,10.047724
2011-10-03,9.84,12.56,9.19,11.92,118200,9.77705
2011-09-01,9.76,11.32,8.07,9.95,144100,8.099985
2011-08-01,9.80,10.26,8.00,9.78,95200,7.961593
2011-07-01,9.91,10.34,9.57,9.68,70600,7.880187
2011-06-01,10.49,10.53,9.35,9.88,77900,7.974222
2011-05-02,11.14,11.14,10.19,10.50,117700,8.474628
2011-04-01,11.04,11.58,10.23,11.09,69500,8.950823
2011-03-01,13.05,13.35,10.25,10.90,73800,8.726389
2011-02-01,11.95,13.02,11.73,13.02,55100,10.423633
2011-01-03,13.41,13.75,11.51,11.85,60000,9.486946
2010-12-01,13.27,14.64,13.24,13.27,60000,10.548778
2010-11-01,12.91,13.48,12.29,12.96,55000,10.302347
2010-10-01,11.97,13.42,11.70,12.80,54800,10.175159
2010-09-01,11.21,12.50,11.07,11.85,76900,9.298099
2010-08-02,12.36,12.79,10.39,11.00,97900,8.631146
2010-07-01,9.51,12.42,8.60,12.20,144100,9.572726
2010-06-01,10.83,11.30,9.43,9.46,113300,7.369721
2010-05-03,12.98,13.56,10.03,10.95,146100,8.530492
2010-04-01,13.11,14.00,12.84,12.85,85000,10.010669
2010-03-01,12.33,13.62,11.85,12.99,111400,10.055252
2010-02-01,11.22,12.31,10.01,12.21,93600,9.451473
2010-01-04,13.11,13.34,11.00,11.18,92300,8.654175
2009-12-01,12.59,13.51,12.20,12.82,68200,9.853659
2009-11-02,11.77,13.30,11.34,12.39,54800,9.523154
2009-10-01,12.68,14.25,11.10,11.70,60000,8.992808
2009-09-01,12.40,14.00,11.55,12.79,72200,9.769608
2009-08-03,13.06,14.31,12.01,12.52,87700,9.563369
2009-07-01,10.76,14.35,9.83,12.64,91000,9.655031
2009-06-01,11.12,12.01,9.54,10.52,90700,7.984007
2009-05-01,12.64,13.27,10.41,10.93,148900,8.295171
2009-04-01,8.26,13.59,8.03,12.70,179500,9.638488
2009-03-02,8.13,10.35,6.39,8.50,144600,6.406012
2009-02-02,10.37,11.98,7.36,8.28,148200,6.240209
2009-01-02,16.27,16.780001,10.27,10.33,119200,7.785188
2008-12-01,12.35,16.66,10.54,16.23,153700,12.143826
2008-11-03,13.96,15.16,8.92,12.89,133100,9.644728
2008-10-01,15.69,16.43,9.89,14.03,152700,10.497713
2008-09-02,17.58,20.00,13.53,16.08,177300,11.947971
2008-08-01,15.99,19.51,15.74,17.18,113800,12.765308
2008-07-01,14.76,16.92,13.04,15.91,122100,11.821655
2008-06-02,17.15,17.190001,14.10,14.95,133800,11.05031
2008-05-01,16.610001,18.40,15.92,17.23,102500,12.735575
2008-04-01,19.379999,19.93,15.51,16.59,116800,12.262518
2008-03-03,16.00,19.65,14.57,19.200001,142900,14.116074
2008-02-01,17.709999,18.42,15.80,15.94,134800,11.719281
2008-01-02,15.40,18.74,9.12,17.709999,201700,13.020606
2007-12-03,17.940001,18.59,14.70,15.45,154600,11.297607
2007-11-01,18.85,19.48,17.120001,18.02,150300,13.176887
2007-10-01,19.200001,21.42,18.32,19.24,135900,14.068995
2007-09-04,20.99,22.00,17.540001,19.200001,148900,13.977817
2007-08-01,19.559999,23.030001,18.98,21.120001,179800,15.375598
2007-07-02,23.82,23.85,18.90,19.68,125800,14.327262
2007-06-01,23.51,24.440001,22.65,23.76,158800,17.224796
2007-05-01,21.709999,23.41,21.620001,23.370001,95800,16.942068
2007-04-02,23.24,23.73,21.49,21.73,104600,15.693848
