Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,17.56,17.66,17.43,17.61,181600,17.61
2013-03-01,19.17,19.44,16.50,17.53,78700,17.53
2013-02-01,19.55,20.54,18.68,19.19,37300,19.19
2013-01-01,19.49,20.35,18.88,19.41,71700,19.41
2012-12-03,18.49,19.64,18.27,19.49,106800,19.49
2012-11-01,18.75,19.56,16.94,18.37,123400,18.37
2012-10-01,20.57,20.8725,18.00,18.71,184500,18.71
2012-09-03,22.19,26.37,20.46,20.48,132100,20.48
2012-08-01,21.20,23.34,20.01,22.19,168000,22.19
2012-07-02,19.96,21.79,19.475,21.08,76100,21.08
2012-06-01,18.99,19.95,18.38,19.92,159400,19.92
2012-05-01,22.88,23.318,18.91,19.30,176400,19.30
2012-04-02,22.48,23.85,22.20,22.83,141900,22.83
2012-03-01,21.15,23.30,19.00,22.51,208600,22.51
2012-02-01,20.10,21.87,19.95,21.00,131000,21.00
2012-01-02,18.30,20.27,17.82,20.00,203900,20.00
2011-12-01,18.30,18.85,17.49,18.30,181100,18.30
2011-11-01,23.58,26.34,17.00,18.44,680100,18.44
2011-10-03,23.16,25.76,21.55,24.58,251500,24.58
2011-09-01,25.39,25.87,21.82,23.41,233600,23.41
2011-08-01,26.03,26.20,20.66,25.42,268200,25.42
2011-07-01,27.57,30.34,25.47,25.85,188000,25.85
2011-06-01,30.03,30.61,25.52,27.66,209800,27.66
2011-05-02,31.83,32.193,28.78,30.13,138800,30.13
2011-04-01,28.88,31.75,27.48,31.66,136700,31.66
2011-03-01,27.29,28.57,25.30,28.57,192800,28.57
2011-02-01,26.01,27.19,24.58,27.14,185400,27.14
2011-01-03,23.91,27.17,23.76,25.74,234200,25.74
2010-12-01,28.03,28.45,23.73,23.77,195600,23.77
2010-11-01,26.82,29.37,23.42,27.44,351400,27.44
2010-10-01,29.13,29.30,25.26,26.76,229600,26.76
2010-09-01,27.00,30.48,26.97,28.85,282500,28.85
2010-08-02,25.00,27.95,24.11,26.67,335500,26.67
2010-07-01,20.17,25.00,18.84,24.83,278600,24.83
2010-06-01,23.02,24.30,19.88,20.36,244100,20.36
2010-05-03,23.00,26.05,20.08,23.14,367900,23.14
2010-04-01,22.08,24.16,21.17,22.82,284400,22.82
2010-03-01,17.25,22.569,17.22,21.85,311700,21.85
2010-02-01,14.94,17.25,14.01,17.22,105300,17.22
2010-01-04,16.90,17.23,14.60,14.95,121900,14.95
