Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,16.200001,16.200001,15.82,16.08,97000,11.714832
2013-03-01,15.72,16.450001,15.66,16.120001,36400,11.743974
2013-02-01,16.27,16.290001,15.65,15.85,33800,11.54727
2013-01-02,15.35,16.309999,15.08,16.139999,38900,11.505439
2012-12-03,15.00,15.35,14.41,15.25,29800,10.871
2012-11-01,15.64,15.73,13.76,14.84,37400,10.578731
2012-10-01,15.94,16.120001,15.28,15.55,23200,10.82621
2012-09-04,15.69,16.200001,15.58,15.82,21000,11.014189
2012-08-01,15.61,16.120001,15.37,15.81,26100,11.007227
2012-07-02,14.82,15.70,14.82,15.43,19100,10.507814
2012-06-01,13.67,14.75,13.48,14.73,20100,10.031115
2012-05-01,15.75,15.85,13.70,13.79,25000,9.390976
2012-04-02,16.049999,16.299999,15.45,15.90,21000,10.573537
2012-03-01,15.58,16.34,15.41,16.00,22800,10.640038
2012-02-01,15.43,16.48,15.39,15.52,32300,10.320837
2012-01-03,14.54,15.56,14.44,15.30,30500,9.956466
2011-12-01,14.16,14.61,13.56,14.21,32500,9.247149
2011-11-01,14.50,14.87,13.42,14.07,27400,9.156044
2011-10-03,13.49,15.39,13.00,14.70,28900,9.332373
2011-09-01,14.04,14.08,12.85,13.53,37900,8.589592
2011-08-01,15.54,15.87,12.91,13.99,72000,8.881625
2011-07-01,15.99,16.15,15.22,15.36,38400,9.500422
2011-06-01,15.86,16.00,15.12,15.99,36700,9.890088
2011-05-02,16.50,16.540001,15.43,15.89,35600,9.828237
2011-04-01,15.90,16.49,15.45,16.459999,26700,9.960971
2011-03-01,15.42,15.89,14.53,15.86,39400,9.597875
2011-02-01,15.03,15.98,15.03,15.40,49500,9.3195
2011-01-03,14.71,15.24,14.25,15.01,27300,8.882525
2010-12-01,14.09,14.50,13.91,14.48,24000,8.568885
2010-11-01,14.70,15.75,13.56,13.82,32900,8.178314
2010-10-01,13.35,14.66,13.20,14.65,52400,8.533268
2010-09-01,12.06,13.31,12.06,13.25,44900,7.717803
2010-08-02,12.11,12.59,11.50,11.93,23900,6.948935
2010-07-01,10.61,12.18,10.48,12.06,28800,6.938429
2010-06-01,10.48,11.37,10.28,10.63,27300,6.115713
2010-05-03,12.31,12.45,9.93,10.65,53100,6.127219
2010-04-01,12.83,13.21,12.27,12.33,24600,6.997122
2010-03-01,12.31,13.00,11.95,12.69,29900,7.201417
2010-02-01,12.04,12.40,11.56,12.33,36900,6.997122
2010-01-04,12.38,12.99,11.80,11.88,37800,6.659736
2009-12-01,11.92,12.46,11.81,12.37,31200,6.934422
