Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,7.74,7.79,7.64,7.73,67600,6.276675
2013-03-01,7.73,7.79,7.41,7.72,89400,6.268555
2013-02-01,7.82,7.95,7.59,7.70,68400,6.221715
2013-01-02,7.64,8.04,7.64,7.84,72400,6.305168
2012-12-03,8.03,8.11,7.45,7.62,101400,6.099571
2012-11-01,7.81,8.06,7.22,8.00,84500,6.374132
2012-10-01,8.26,8.34,7.66,7.81,79800,6.193379
2012-09-04,7.73,8.25,7.67,8.25,102500,6.510127
2012-08-01,7.80,7.80,7.34,7.69,79600,6.037148
2012-07-02,7.82,8.06,7.63,7.76,84900,6.059827
2012-06-01,7.63,7.85,7.35,7.85,72900,6.098386
2012-05-01,7.56,7.69,7.52,7.65,69300,5.91136
2012-04-02,7.31,7.58,7.17,7.57,73600,5.818795
2012-03-01,7.39,7.57,7.00,7.29,100400,5.572105
2012-02-01,7.53,7.55,6.99,7.35,92200,5.586713
2012-01-03,7.10,7.58,7.04,7.47,79700,5.645612
2011-12-01,6.99,7.14,6.94,7.11,60200,5.342533
2011-11-01,6.85,7.02,6.77,6.96,67000,5.198971
2011-10-03,6.79,6.99,6.60,6.88,57800,5.107749
2011-09-01,6.74,6.84,6.61,6.75,48800,4.979869
2011-08-01,6.59,6.75,6.29,6.74,63300,4.94118
2011-07-01,6.63,6.90,6.50,6.57,64700,4.784744
2011-06-01,6.54,6.72,6.46,6.61,49500,4.784316
2011-05-02,6.39,6.58,6.30,6.55,59300,4.7109
2011-04-01,6.41,6.44,6.15,6.36,66100,4.544416
2011-03-01,6.38,6.44,6.21,6.39,65600,4.535982
2011-02-01,6.26,6.60,6.23,6.37,76400,4.492157
2011-01-03,6.41,6.61,5.81,6.27,114100,4.393154
2010-12-01,6.68,6.69,6.07,6.41,135200,4.461726
2010-11-01,7.24,7.25,5.96,6.64,123700,4.591489
2010-10-01,7.17,7.23,7.02,7.23,57500,4.970263
2010-09-01,7.18,7.22,6.86,7.18,66600,4.906937
2010-08-02,7.16,7.39,7.07,7.18,70300,4.878193
2010-07-01,6.94,7.17,6.88,7.11,55600,4.802956
2010-06-01,6.85,6.95,6.78,6.95,54100,4.666943
2010-05-03,6.93,7.00,2.74,6.84,71400,4.56524
2010-04-01,6.88,7.03,6.70,6.89,67500,4.570375
2010-03-01,6.72,6.86,6.55,6.84,75000,4.509868
2010-02-01,6.90,7.00,6.45,6.65,77000,4.357067
2010-01-04,6.86,7.05,6.78,6.84,57100,4.453875
2009-12-01,6.68,7.24,6.38,6.78,73800,4.388088
2009-11-02,6.43,6.68,6.31,6.67,56200,4.289465
2009-10-01,6.66,7.02,6.25,6.44,85500,4.115316
2009-09-01,6.40,6.81,6.22,6.63,96200,4.208797
2009-08-03,6.19,6.43,5.95,6.40,69900,4.03713
2009-07-01,5.72,6.47,5.66,6.16,52600,3.859201
2009-06-01,5.61,5.90,5.58,5.68,50500,3.532936
2009-05-01,5.46,5.70,5.42,5.63,66700,3.47678
2009-04-01,5.19,5.50,4.83,5.46,60700,3.346689
