Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,7.46,7.52,7.42,7.44,40000,5.278529
2013-03-01,7.36,7.52,7.07,7.46,15500,5.292719
2013-02-01,7.38,7.43,7.20,7.29,16100,5.131514
2013-01-02,6.97,7.39,6.92,7.34,19500,5.125938
2012-12-03,7.07,7.23,6.82,6.91,14500,4.788222
2012-11-01,7.50,7.54,6.45,7.08,29200,4.866073
2012-10-01,7.46,7.93,7.40,7.46,17100,5.086787
2012-09-04,7.31,7.48,7.25,7.47,18800,5.054733
2012-08-01,7.27,7.51,7.10,7.30,10200,4.902057
2012-07-02,7.07,7.40,7.00,7.21,15000,4.805178
2012-06-01,6.93,7.08,6.72,7.04,11900,4.65653
2012-05-01,7.10,7.23,6.85,6.93,13100,4.546299
2012-04-02,7.10,7.28,7.00,7.08,13500,4.607933
2012-03-01,7.18,7.32,6.91,7.09,15900,4.57791
2012-02-01,7.11,7.26,6.79,7.15,19400,4.579847
2012-01-03,6.41,7.07,6.41,7.04,15000,4.473821
2011-12-01,6.66,6.75,6.28,6.43,23300,4.053318
2011-11-01,6.84,6.95,6.45,6.63,12500,4.145187
2011-10-03,6.50,7.01,6.20,6.86,12100,4.25447
2011-09-01,7.02,7.09,6.41,6.50,12500,3.997661
2011-08-01,7.11,7.53,6.01,7.06,22700,4.306526
2011-07-01,7.91,7.93,6.81,7.04,22300,4.253428
2011-06-01,8.06,8.16,7.80,7.84,10400,4.700567
2011-05-02,8.12,8.18,7.91,8.02,10800,4.7715
2011-04-01,8.11,8.25,7.81,8.00,11700,4.723169
2011-03-01,7.95,8.24,7.75,8.19,12200,4.798962
2011-02-01,7.68,8.00,7.51,7.96,14500,4.628
2011-01-03,7.48,7.79,7.36,7.68,13100,4.429878
2010-12-01,7.43,7.71,7.20,7.38,14300,4.223493
2010-11-01,8.02,8.03,7.00,7.42,20500,4.213166
2010-10-01,8.12,8.22,7.89,7.95,12100,4.479516
2010-09-01,8.02,8.25,7.91,8.03,18600,4.492353
2010-08-02,8.00,8.22,7.85,7.92,33700,4.399048
2010-07-01,7.95,8.17,7.70,7.93,15200,4.373607
2010-06-01,7.87,8.70,7.38,7.98,32100,4.369388
2010-05-03,7.74,9.00,6.60,7.63,52900,4.149073
2010-04-01,7.05,7.75,6.97,7.67,18600,4.140564
2010-03-01,6.77,7.09,6.74,6.99,13700,3.742934
2010-02-01,6.84,6.94,6.37,6.73,17900,3.574156
2010-01-04,6.99,7.38,6.70,6.84,20300,3.601591
2009-12-01,6.15,7.18,6.10,7.03,21100,3.672533
2009-11-02,6.22,6.55,6.01,6.21,12700,3.215412
2009-10-01,6.28,6.34,6.00,6.23,12600,3.197542
2009-09-01,5.70,6.57,5.63,6.26,19500,3.184956
2009-08-03,5.55,6.52,5.40,5.78,13200,2.91428
2009-07-01,5.15,5.70,5.04,5.55,9300,2.774995
2009-06-01,4.95,5.29,4.80,5.14,11300,2.546227
2009-05-01,4.40,4.92,4.36,4.88,10600,2.395409
2009-04-01,3.98,4.46,3.90,4.36,12200,2.121036
2009-03-02,4.09,4.09,3.37,3.88,11100,1.869124
2009-02-02,4.44,4.50,3.86,4.09,13800,1.949305
2009-01-02,3.93,4.52,3.81,4.47,17900,2.110307
2008-12-01,3.79,3.99,3.08,3.90,18800,1.825234
2008-11-03,4.84,4.96,3.10,3.86,15500,1.786441
2008-10-01,5.30,5.90,3.36,4.75,19500,2.175149
2008-09-02,6.77,6.85,4.72,5.40,18400,2.438694
2008-08-01,6.86,6.97,6.50,6.65,7500,2.974822
2008-07-01,7.14,7.20,5.93,6.78,13700,3.005082
2008-06-02,7.75,7.75,6.86,7.10,15300,3.117537
2008-05-01,7.36,7.70,7.20,7.60,14700,3.307066
2008-04-01,7.09,7.42,6.77,7.29,17700,3.144145
2008-03-03,7.46,7.60,6.67,7.01,15000,2.995974
2008-02-01,7.44,7.90,7.18,7.33,11800,3.103504
2008-01-02,7.53,7.93,6.95,7.50,18000,3.147292
2007-12-03,7.83,8.10,7.42,7.57,25200,3.1473
2007-11-01,8.45,9.03,7.61,7.89,28600,3.249642
2007-10-01,9.23,9.29,8.36,8.44,14600,3.444718
2007-09-04,9.70,9.74,9.00,9.16,10100,3.707996
2007-08-01,10.39,10.47,7.32,9.50,21200,3.814537
2007-07-02,11.19,11.22,9.94,10.35,12100,4.122509
2007-06-01,11.34,11.40,10.85,11.10,8100,4.388447
2007-05-01,10.98,11.59,10.86,11.37,7600,4.460866
2007-04-02,10.74,11.30,10.60,11.09,10800,4.318681
2007-03-01,10.84,11.15,10.45,10.73,10200,4.146287
2007-02-01,11.11,11.70,10.74,10.90,11300,4.180408
2007-01-03,10.44,11.25,10.36,11.15,11800,4.246011
2006-12-01,10.51,10.80,10.20,10.42,13300,3.937898
2006-11-01,10.83,11.15,10.35,10.55,12000,3.957356
2006-10-02,10.65,11.19,10.60,10.91,12600,4.063321
2006-09-01,10.60,11.17,10.35,10.68,11600,3.948564
2006-08-01,10.06,10.60,9.83,10.40,9200,3.816749
2006-07-03,9.91,10.28,9.55,10.06,12000,3.663459
2006-06-01,10.19,10.59,9.79,9.88,7400,3.569257
2006-05-01,9.86,10.46,9.75,10.17,9100,3.644789
2006-04-03,10.25,10.34,9.75,9.86,9700,3.504713
2006-03-01,9.96,10.71,9.96,10.19,9000,3.593388
2006-02-01,9.80,10.12,9.33,10.05,14900,3.516149
2006-01-03,9.48,10.10,9.43,9.90,13400,3.434746
2005-12-01,10.44,10.60,9.07,9.38,19500,3.228054
2005-11-01,10.84,10.96,10.32,10.40,7500,3.550823
2005-10-03,11.50,11.54,10.69,10.85,5900,3.676732
2005-09-01,11.42,11.70,11.20,11.40,5700,3.834942
2005-08-01,11.33,11.60,11.02,11.36,6600,3.821486
2005-07-01,10.92,11.63,10.92,11.33,8900,3.782976
2005-06-01,11.15,11.40,10.63,10.90,7200,3.612091
2005-05-02,10.91,11.40,10.50,11.05,7700,3.634835
2005-04-01,10.50,10.99,10.41,10.91,8000,3.562187
2005-03-01,11.85,12.05,10.16,10.56,14300,3.42058
2005-02-01,12.10,12.24,11.66,11.84,10600,3.807368
2005-01-03,11.85,12.25,11.67,12.11,10000,3.866559
2004-12-01,11.60,11.94,11.45,11.91,8000,3.77536
2004-11-01,11.69,11.93,11.41,11.60,8800,3.650249
2004-10-01,11.30,11.98,11.25,11.60,6500,3.624352
2004-09-01,11.29,11.50,11.15,11.26,5800,3.493644
2004-08-02,11.43,11.55,10.87,11.20,9500,3.449811
2004-07-01,10.91,11.50,10.80,11.37,7500,3.476548
2004-06-01,11.05,11.40,10.66,11.01,6100,3.34041
2004-05-03,11.08,11.29,10.35,10.95,8000,3.296768
2004-04-01,11.79,12.40,10.09,11.08,16800,3.309295
2004-03-01,11.55,11.90,11.50,11.79,9800,3.496631
2004-02-02,11.60,12.00,11.46,11.53,14800,3.394331
2004-01-02,10.74,11.95,10.60,11.55,15500,3.375444
