Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,24.10,24.209999,23.10,23.459999,154400,23.459999
2013-03-01,20.459999,24.50,20.42,24.209999,87500,24.209999
2013-02-01,22.17,22.27,20.129999,20.450001,75600,20.450001
2013-01-02,24.809999,25.35,19.969999,22.02,187400,22.02
2012-12-03,21.780001,24.73,21.629999,24.690001,60100,24.690001
2012-11-01,22.16,22.690001,19.049999,21.690001,63300,21.690001
2012-10-01,23.370001,24.26,21.049999,22.09,99200,22.09
2012-09-04,21.77,23.74,21.370001,23.200001,81900,23.200001
2012-08-01,22.58,22.58,19.280001,21.809999,166200,21.809999
2012-07-02,26.43,26.98,22.40,22.48,90700,22.48
2012-06-01,22.18,26.74,21.15,26.280001,113300,26.280001
2012-05-01,23.469999,24.10,22.299999,22.540001,111200,22.540001
2012-04-02,23.74,25.459999,22.60,23.469999,85100,23.469999
2012-03-01,22.49,25.49,22.110001,23.82,114400,23.82
2012-02-01,22.83,23.969999,21.01,22.40,127700,22.40
2012-01-03,26.120001,26.24,20.629999,22.52,220500,22.52
2011-12-01,23.610001,26.15,22.73,25.49,132300,25.49
2011-11-01,21.18,24.01,20.559999,23.530001,129300,23.530001
2011-10-03,17.50,23.51,17.50,21.799999,253700,21.799999
2011-09-01,20.27,20.639999,17.51,17.559999,198800,17.559999
2011-08-01,17.290001,20.82,15.81,20.200001,262800,20.200001
2011-07-01,16.209999,17.27,15.70,17.059999,73800,17.059999
2011-06-01,17.40,17.49,14.83,16.200001,100500,16.200001
2011-05-02,18.389999,18.40,15.44,17.41,219000,17.41
2011-04-01,17.200001,18.459999,16.17,18.32,131900,18.32
2011-03-01,15.15,17.33,14.48,17.209999,149200,17.209999
2011-02-01,14.45,15.79,14.29,15.09,80200,15.09
2011-01-03,14.00,15.80,13.30,14.29,83000,14.29
2010-12-01,12.05,13.74,11.78,13.48,60400,13.48
2010-11-01,10.80,12.29,10.75,11.90,49100,11.90
2010-10-01,11.65,12.00,10.64,10.79,113000,10.79
2010-09-01,10.73,11.75,10.66,11.58,79100,11.58
2010-08-02,10.22,10.70,9.02,10.60,81100,10.60
2010-07-01,10.71,11.24,9.06,9.99,73600,9.99
2010-06-01,11.80,12.20,10.30,10.72,116600,10.72
2010-05-03,11.75,12.90,11.32,11.94,143400,11.94
2010-04-01,10.07,11.95,9.75,11.73,117100,11.73
2010-03-01,13.46,13.51,9.89,9.99,206000,9.99
2010-02-01,14.50,14.70,12.92,13.64,64300,13.64
2010-01-04,15.29,15.29,13.80,14.50,68300,14.50
2009-12-01,12.54,15.16,11.67,15.06,213300,15.06
2009-11-02,11.64,13.18,11.50,12.19,72100,12.19
2009-10-08,12.30,14.00,11.15,11.56,627300,11.56
