Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,6.55,6.57,6.54,6.57,194000,5.037542
2013-03-01,6.62,6.68,6.42,6.56,108100,5.029875
2013-02-01,6.67,6.75,6.55,6.62,88000,5.044976
2013-01-02,6.92,6.94,6.61,6.68,102200,5.059641
2012-12-03,6.75,6.95,6.75,6.85,80400,5.157214
2012-11-01,7.02,7.03,6.49,6.78,76700,5.07326
2012-10-01,7.20,7.34,6.91,6.95,73300,5.168765
2012-09-04,7.37,7.49,7.05,7.12,91900,5.264604
2012-08-01,7.08,7.36,7.02,7.30,67600,5.366255
2012-07-02,6.93,7.13,6.92,7.05,63900,5.151649
2012-06-01,6.82,6.95,6.81,6.93,65200,5.034089
2012-05-01,6.92,6.99,6.80,6.89,62800,4.97439
2012-04-02,6.84,7.03,6.81,6.88,65500,4.937066
2012-03-01,7.07,7.55,6.78,6.78,108600,4.83603
2012-02-01,7.03,7.08,6.89,7.02,73700,4.977174
2012-01-03,7.05,7.16,6.94,7.01,81700,4.940135
2011-12-01,6.91,7.09,6.83,6.96,63500,4.875843
2011-11-01,6.78,6.96,6.70,6.85,76300,4.76892
2011-10-03,6.73,6.82,6.58,6.78,90300,4.691413
2011-09-01,6.81,6.90,6.66,6.66,83300,4.578714
2011-08-01,6.60,6.83,6.34,6.77,98200,4.624864
2011-07-01,6.82,6.86,6.47,6.53,78400,4.431635
2011-06-01,6.75,6.84,6.55,6.80,79700,4.585776
2011-05-02,6.53,6.90,6.46,6.73,74300,4.509614
2011-04-01,6.40,6.53,6.34,6.48,114500,4.314464
2011-03-01,6.63,6.68,6.32,6.40,136100,4.233235
2011-02-01,6.65,6.71,6.46,6.62,94800,4.350972
2011-01-03,6.82,6.87,6.58,6.67,107300,4.355099
2010-12-01,7.17,7.23,6.47,6.80,138500,4.411863
2010-11-01,7.42,7.43,6.99,7.15,116500,4.609015
2010-10-01,7.62,7.66,7.32,7.39,115500,4.735167
2010-09-01,7.79,7.81,7.49,7.60,63000,4.841194
2010-08-02,7.62,7.85,7.56,7.81,72900,4.94635
2010-07-01,7.70,7.77,7.42,7.61,64200,4.792284
2010-06-01,7.57,7.85,7.35,7.65,76600,4.789435
2010-05-03,7.47,7.64,7.15,7.58,64700,4.719582
2010-04-01,7.63,7.74,7.16,7.43,98200,4.600081
2010-03-01,7.67,7.99,7.51,7.63,100000,4.696456
2010-02-01,7.32,7.79,7.30,7.73,100600,4.731334
2010-01-04,7.43,7.49,7.10,7.40,97500,4.502418
2009-12-01,7.29,7.58,7.26,7.45,93300,4.505405
2009-11-02,7.25,7.40,7.15,7.28,126100,4.376242
2009-10-01,7.65,7.86,7.01,7.24,132700,4.32571
2009-09-01,7.67,8.03,7.49,7.64,127400,4.538445
2009-08-03,7.48,7.87,7.21,7.56,117200,4.466037
2009-07-01,7.20,7.59,7.05,7.45,106700,4.375342
2009-06-01,7.11,7.40,6.86,7.11,115000,4.151234
2009-05-01,7.05,7.23,6.93,7.12,105500,4.131752
2009-04-01,7.34,7.45,6.90,7.10,88500,4.095088
2009-03-02,7.16,7.42,6.64,7.29,96500,4.179138
2009-02-02,7.60,7.97,6.52,7.16,118500,4.079434
2009-01-02,8.08,8.10,7.09,7.54,132900,4.271857
2008-12-01,7.29,8.24,6.98,7.90,124700,4.449125
2008-11-03,6.87,8.15,6.46,7.21,116300,4.038353
2008-10-01,6.22,7.20,5.21,6.62,112800,3.684648
2008-09-02,7.10,7.63,5.70,6.10,138800,3.370968
2008-08-01,6.90,7.22,6.70,6.97,74200,3.828932
2008-07-01,7.00,7.05,6.62,6.90,62800,3.766821
2008-06-02,7.05,7.20,6.68,6.97,67200,3.781628
2008-05-01,6.98,7.35,6.85,6.98,98900,3.763749
2008-04-01,6.86,7.01,6.70,6.98,76500,3.739921
2008-03-03,7.04,7.04,6.54,6.81,75500,3.6257
2008-02-01,6.98,7.09,6.55,7.00,111700,3.703093
2008-01-02,6.75,7.18,6.66,6.99,157600,3.674299
2007-12-03,6.62,7.26,6.46,6.75,165800,3.525252
2007-11-01,6.91,6.99,6.51,6.59,237900,3.418464
2007-10-01,6.86,7.00,6.77,6.87,232300,3.541598
2007-09-04,6.71,6.93,6.70,6.86,99900,3.514054
2007-08-01,6.70,6.75,6.46,6.71,122300,3.415512
2007-07-02,6.65,6.74,6.51,6.73,104400,3.41082
2007-06-01,6.70,6.72,6.49,6.65,133300,3.355534
2007-05-01,6.72,6.78,6.68,6.71,83400,3.371358
2007-04-02,6.70,6.82,6.62,6.72,86600,3.362417
2007-03-01,6.58,6.70,6.58,6.67,140300,3.323369
2007-02-01,6.51,6.63,6.47,6.61,60400,3.279606
2007-01-03,6.54,6.59,6.48,6.51,87300,3.216161
2006-12-01,6.60,6.66,6.47,6.52,46200,3.207353
2006-11-01,6.48,6.60,6.41,6.60,70900,3.232485
2006-10-02,6.49,6.55,6.41,6.47,50300,3.154589
2006-09-01,6.51,6.55,6.41,6.50,53200,3.154989
2006-08-01,6.30,6.59,6.30,6.51,59600,3.14568
2006-07-03,6.24,6.39,6.21,6.33,102100,3.04432
2006-06-01,6.32,6.36,6.22,6.28,48200,3.005822
2006-05-01,6.31,6.38,6.22,6.30,63400,3.001081
2006-04-03,6.36,6.40,6.21,6.30,64000,2.98679
2006-03-01,6.45,6.48,6.28,6.38,61500,3.010337
2006-02-01,6.50,6.55,6.40,6.47,49600,3.038493
2006-01-03,6.45,6.63,6.45,6.53,42900,3.052904
2005-12-01,6.37,6.50,6.33,6.50,93300,3.025526
2005-11-01,6.45,6.54,6.34,6.39,108500,2.960762
2005-10-03,6.66,6.69,6.39,6.45,47000,2.97529
2005-09-01,6.63,6.71,6.59,6.67,40900,3.063335
2005-08-01,6.64,6.70,6.60,6.67,48500,3.063335
2005-07-01,6.66,6.71,6.60,6.63,47200,3.031666
2005-06-01,6.70,6.74,6.54,6.67,66000,3.036716
2005-05-02,6.56,6.72,6.55,6.69,55300,3.034002
2005-04-01,6.53,6.60,6.43,6.56,97600,2.963325
2005-03-01,6.63,6.65,6.37,6.48,116600,2.915876
2005-02-01,6.73,6.77,6.55,6.63,64900,2.971987
2005-01-03,6.62,6.75,6.55,6.73,82600,3.005639
2004-12-01,6.55,6.65,6.51,6.64,87300,2.954229
2004-11-01,6.63,6.66,6.48,6.55,111100,2.903132
2004-10-01,6.66,6.69,6.58,6.66,54400,2.940603
2004-09-01,6.63,6.67,6.57,6.66,66500,2.929123
2004-08-02,6.50,6.62,6.47,6.61,69500,2.895663
2004-07-01,6.41,6.54,6.40,6.49,54500,2.831338
2004-06-01,6.54,6.56,6.35,6.42,55700,2.789094
2004-05-03,6.56,6.65,6.22,6.56,99300,2.837985
2004-04-01,6.89,6.89,6.51,6.54,145700,2.816877
2004-03-01,6.86,6.94,6.84,6.90,77500,2.959606
2004-02-02,6.87,6.92,6.82,6.86,98000,2.930509
2004-01-02,6.80,6.89,6.72,6.87,95100,2.922837
2003-12-01,6.72,6.80,6.67,6.78,95100,2.871876
2003-11-03,6.76,6.76,6.66,6.71,127500,2.829499
2003-10-01,6.82,6.89,6.63,6.73,74100,2.826143
2003-09-02,6.63,6.84,6.60,6.82,86400,2.852004
2003-08-01,6.64,6.79,6.56,6.67,103900,2.777585
2003-07-01,6.95,6.99,6.56,6.62,146500,2.745311
2003-06-02,7.06,7.16,6.87,6.97,124200,2.878761
2003-05-01,6.92,7.13,6.89,7.08,106200,2.912661
2003-04-01,6.91,6.95,6.82,6.88,63500,2.817848
2003-03-03,7.03,7.09,6.80,6.89,85200,2.809247
2003-02-03,7.05,7.06,6.97,7.00,122700,2.841565
2003-01-02,6.93,7.09,6.84,7.01,119700,2.832708
2002-12-02,6.77,6.97,6.72,6.97,67500,2.803093
2002-11-01,6.85,6.97,6.67,6.77,62500,2.708849
2002-10-01,7.09,7.12,6.66,6.83,99300,2.719507
2002-09-03,7.00,7.09,6.96,7.09,94000,2.809115
2002-08-01,6.95,7.00,6.90,6.99,79200,2.755725
2002-07-01,6.78,6.99,6.72,6.93,124400,2.718292
2002-06-03,6.78,6.94,6.72,6.75,71600,2.63406
2002-05-01,6.64,6.78,6.60,6.78,81300,2.631719
2002-04-01,6.53,6.69,6.47,6.62,67300,2.55538
2002-03-01,6.66,6.67,6.39,6.53,79100,2.506082
2002-02-01,6.57,6.73,6.53,6.65,75400,2.537464
2002-01-02,6.49,6.65,6.41,6.55,133100,2.485898
2001-12-03,6.58,6.62,6.25,6.49,172700,2.449903
2001-11-01,6.76,6.84,6.47,6.59,85100,2.474984
2001-10-01,6.68,6.82,6.59,6.74,72300,2.519372
2001-09-04,6.72,6.79,6.41,6.62,84400,2.462274
2001-08-01,6.56,6.81,6.52,6.74,81200,2.506907
2001-07-02,6.49,6.58,6.44,6.56,49200,2.427369
2001-06-01,6.48,6.53,6.41,6.47,54600,2.381543
2001-05-01,6.42,6.60,6.37,6.46,47900,2.365405
