Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,18.299999,18.360001,17.530001,17.92,346800,17.92
2013-03-01,16.07,18.110001,16.01,18.10,93300,18.10
2013-02-01,13.88,16.889999,13.77,16.209999,121400,16.209999
2013-01-02,13.55,14.67,13.17,13.77,84800,13.77
2012-12-03,12.07,13.36,11.28,13.29,81900,13.29
2012-11-01,15.54,15.80,11.00,12.01,100400,12.01
2012-10-01,13.53,17.799999,13.53,15.54,112200,15.54
2012-09-04,15.92,16.360001,14.82,14.94,94400,14.94
2012-08-01,15.68,16.709999,15.30,15.95,63100,15.95
2012-07-02,14.62,16.50,14.30,15.56,102200,15.56
2012-06-01,13.69,15.86,13.69,14.60,205700,14.60
2012-05-01,16.83,17.01,13.66,13.93,140700,13.93
2012-04-02,17.93,18.10,15.85,16.84,140600,16.84
2012-03-01,18.01,18.940001,16.639999,18.00,149500,18.00
2012-02-01,18.73,19.50,17.84,17.92,174500,17.92
2012-01-03,17.92,18.860001,17.00,18.559999,166600,18.559999
2011-12-01,17.35,17.76,16.280001,17.75,237400,17.75
2011-11-01,2.54,19.610001,2.38,17.17,586100,17.17
2011-10-03,2.31,2.87,1.99,2.56,54800,20.48
2011-09-01,2.61,2.71,2.09,2.33,60100,18.639999
2011-08-01,3.38,3.39,2.23,2.57,64400,20.559999
2011-07-01,3.34,3.66,3.15,3.36,55500,26.879999
2011-06-01,3.62,3.85,3.15,3.32,79000,26.559999
2011-05-02,4.00,4.05,3.14,3.66,63200,29.280001
2011-04-01,3.49,4.14,3.29,3.96,66300,31.68
2011-03-01,2.78,3.43,2.63,3.43,110700,27.440001
2011-02-01,2.48,3.05,2.48,2.76,62500,22.08
2011-01-03,2.75,3.00,2.43,2.47,42500,19.76
2010-12-01,2.52,2.94,2.46,2.71,40600,21.68
2010-11-01,2.43,2.56,2.26,2.45,32400,19.60
2010-10-01,2.46,2.57,2.25,2.41,32100,19.280001
2010-09-01,2.06,2.57,2.00,2.44,41300,19.52
2010-08-02,2.66,2.66,1.99,2.02,39000,16.16
2010-07-01,2.45,2.90,2.28,2.61,55000,20.879999
2010-06-01,2.59,2.96,2.34,2.45,56000,19.60
2010-05-03,3.08,3.39,2.48,2.63,77000,21.040001
2010-04-01,3.86,4.01,3.05,3.05,85100,24.40
2010-03-01,2.78,3.91,2.76,3.81,57900,30.48
2010-02-01,3.06,3.14,2.53,2.77,56900,22.16
2010-01-04,2.91,3.32,2.86,3.00,52900,24.00
2009-12-01,2.60,3.21,2.14,2.88,62200,23.040001
2009-11-02,2.99,3.04,2.35,2.48,56600,19.84
2009-10-01,3.12,3.35,2.79,2.99,60400,23.92
2009-09-01,2.66,3.43,2.42,3.14,90400,25.120001
2009-08-03,2.30,2.85,2.00,2.66,95900,21.280001
2009-07-01,1.84,2.47,1.75,2.24,103500,17.92
2009-06-01,1.57,2.08,1.39,1.78,108500,14.24
2009-05-01,1.51,1.95,1.41,1.65,38200,13.20
2009-04-01,1.15,1.58,1.08,1.52,44100,12.16
2009-03-02,1.54,1.54,0.96,1.18,23300,9.44
2009-02-02,1.55,1.60,1.10,1.40,38500,11.20
2009-01-02,1.03,1.62,0.97,1.55,42800,12.40
2008-12-01,1.00,1.13,0.89,1.02,37200,8.16
2008-11-03,1.09,1.28,0.80,1.03,72700,8.24
2008-10-01,1.41,1.60,0.91,1.08,58800,8.64
2008-09-02,1.81,1.97,1.34,1.42,131800,11.36
2008-08-01,1.44,2.26,1.37,1.70,131400,13.60
2008-07-01,0.95,1.49,0.89,1.38,137300,11.04
2008-06-02,1.47,1.60,0.84,0.90,213500,7.20
2008-05-01,1.57,2.10,1.36,1.36,211100,10.88
2008-04-01,1.90,1.98,1.45,1.55,145400,12.40
2008-03-03,3.67,3.70,1.55,1.86,464600,14.88
2008-02-01,5.42,6.44,3.61,3.66,235700,29.280001
2008-01-02,15.34,15.54,3.68,5.34,418600,42.720001
2007-12-03,15.56,19.209999,13.99,15.37,325700,122.959999
2007-11-01,15.81,16.799999,13.69,15.44,265800,123.104942
2007-10-01,22.57,24.90,14.42,15.95,210200,127.171234
2007-09-04,21.17,22.67,19.76,22.59,111800,180.112747
2007-08-01,25.450001,25.540001,20.190001,21.27,254400,169.179581
2007-07-02,28.60,30.67,25.50,25.59,142700,203.540451
2007-06-01,29.139999,29.68,27.459999,27.950001,74100,222.311676
2007-05-01,28.40,29.790001,28.01,29.139999,58700,231.367157
2007-04-02,27.90,30.08,26.709999,28.43,73900,225.729874
2007-03-01,29.969999,30.440001,27.16,27.76,80300,220.410187
2007-02-01,30.17,30.85,28.309999,30.059999,81200,238.239761
2007-01-03,31.549999,32.240002,27.25,29.99,138000,237.684982
2006-12-01,30.58,32.150002,29.799999,31.360001,82600,248.542892
2006-11-01,34.27,34.849998,29.450001,30.50,105900,241.339966
2006-10-02,29.00,35.18,26.700001,34.209999,119600,270.696411
2006-09-01,31.549999,33.810001,27.799999,29.059999,122700,229.945557
2006-08-01,30.549999,31.709999,28.74,31.40,59300,248.153885
2006-07-03,33.900002,33.900002,29.459999,30.65,98200,242.226639
2006-06-01,35.049999,35.900002,30.879999,33.950001,133700,268.306519
2006-05-01,34.139999,37.060001,33.369999,34.98,73300,276.106445
2006-04-03,30.719999,36.060001,29.719999,33.900002,81200,267.581726
2006-03-01,28.75,31.120001,27.290001,30.719999,56300,242.481125
2006-02-01,26.549999,28.940001,26.299999,28.67,47700,225.981766
2006-01-03,25.450001,27.65,23.709999,26.559999,59700,209.350388
2005-12-01,26.00,27.67,25.52,26.08,53200,205.566956
2005-11-01,24.190001,26.67,23.90,25.879999,49000,203.688522
2005-10-03,21.700001,24.93,20.48,24.299999,56100,191.253128
2005-09-01,20.77,21.709999,19.690001,21.709999,34900,170.868546
2005-08-01,21.049999,21.52,19.940001,20.76,31100,163.314575
2005-07-01,19.129999,21.58,19.110001,21.040001,40800,165.517288
2005-06-01,18.57,20.50,18.389999,19.120001,54800,150.41304
2005-05-02,19.40,19.58,18.219999,18.549999,41300,145.85614
2005-04-01,18.92,21.209999,17.91,19.40,44200,152.539581
2005-03-01,20.75,21.540001,18.51,18.889999,26700,148.52951
2005-02-01,19.40,20.799999,19.030001,20.58,24700,161.739395
2005-01-03,21.139999,21.49,18.700001,19.40,41000,152.465714
2004-12-01,21.40,21.809999,20.120001,21.139999,34200,166.140472
2004-11-01,18.50,21.84,17.93,21.389999,36500,168.022461
2004-10-01,17.08,18.92,16.85,18.60,25900,146.106491
2004-09-01,16.75,17.799999,16.57,17.08,54700,134.166611
2004-08-12,16.93,17.139999,16.299999,16.700001,38100,131.105911
