Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,13.10,13.15,12.74,12.82,15391400,12.82
2013-03-01,12.42,13.50,12.00,13.15,10743200,13.15
2013-02-01,12.78,13.59,11.94,12.49,12085300,12.49
2013-01-02,11.96,13.29,11.92,12.77,12923900,12.77
2012-12-03,10.18,11.90,9.83,11.64,10682000,11.64
2012-11-01,10.30,10.58,9.15,10.15,10722800,10.15
2012-10-01,10.75,11.50,10.07,10.31,9925100,10.31
2012-09-04,9.96,11.78,9.67,10.75,10318100,10.75
2012-08-01,9.61,10.77,8.83,9.86,10093300,9.86
2012-07-02,11.05,11.33,9.00,9.52,10254900,9.52
2012-06-01,10.50,11.73,10.15,11.16,10331100,11.16
2012-05-01,13.44,13.78,10.19,10.83,12734700,10.83
2012-04-02,13.68,14.11,12.93,13.42,11449200,13.42
2012-03-01,13.78,14.80,12.95,13.62,13412200,13.62
2012-02-01,13.27,14.94,13.11,13.77,18631900,13.77
2012-01-03,10.63,13.49,10.60,13.05,15576100,13.05
2011-12-01,10.14,10.57,8.95,10.43,12150700,10.43
2011-11-01,10.96,11.74,9.25,10.29,18359000,10.29
2011-10-03,9.06,12.41,7.40,11.52,26461200,11.52
2011-09-01,11.25,11.57,9.07,9.29,25077400,9.29
2011-08-01,15.62,15.74,9.01,11.07,31641900,11.07
2011-07-01,13.28,16.049999,13.24,15.11,24111500,15.11
2011-06-01,14.96,15.19,11.78,13.21,21720600,13.21
2011-05-02,12.76,15.80,12.70,15.07,23897400,15.07
2011-04-01,13.42,14.10,12.41,12.66,20231700,12.66
2011-03-01,14.03,14.06,12.15,13.15,19544100,13.15
2011-02-01,15.05,15.94,13.10,13.94,25267000,13.94
2011-01-03,15.23,16.940001,14.40,14.83,31080300,14.83
2010-12-01,12.54,15.10,12.34,14.85,30155500,14.85
2010-11-01,10.96,13.74,10.82,12.22,39851700,12.22
2010-10-01,11.42,14.10,10.70,10.93,40466600,10.93
2010-09-01,9.21,11.56,9.08,11.28,21867500,11.28
2010-08-02,11.12,11.55,8.92,9.01,19022200,9.01
2010-07-01,9.64,11.43,9.09,10.86,24126600,10.86
2010-06-01,12.18,12.84,9.59,9.64,28551000,9.64
2010-05-03,16.17,16.42,11.05,12.46,37828800,12.46
2010-04-01,12.15,16.66,11.82,15.89,43177300,15.89
2010-03-01,10.69,12.80,10.57,12.00,22806200,12.00
2010-02-01,11.14,12.03,10.08,10.54,24536700,10.54
2010-01-04,9.43,12.87,9.31,11.06,34085700,11.06
2009-12-01,10.86,11.37,8.94,9.12,19128200,9.12
2009-11-02,9.33,12.15,8.54,10.57,28698500,10.57
2009-10-01,11.74,12.72,8.81,9.27,35051700,9.27
2009-09-01,8.40,14.25,7.60,12.04,52153500,12.04
2009-08-03,7.20,9.60,7.10,8.47,28513900,8.47
2009-07-01,6.42,8.03,5.34,7.23,20955200,7.23
2009-06-01,7.75,8.40,5.51,6.39,23125400,6.39
