Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,26.950001,27.25,26.879999,27.09,51800,22.339159
2013-03-01,27.139999,27.33,26.540001,27.049999,7400,22.306173
2013-02-01,26.82,27.200001,26.17,27.120001,8500,21.952496
2013-01-02,26.450001,27.10,25.99,26.969999,11900,21.831076
2012-12-03,26.799999,26.99,25.059999,26.40,8200,21.369684
2012-11-01,26.57,27.25,25.00,26.76,14300,21.258169
2012-10-01,26.75,27.309999,26.00,26.440001,12000,21.003962
2012-09-04,26.00,26.700001,25.799999,26.700001,20900,21.210505
2012-08-01,26.719999,27.17,25.530001,25.950001,40200,20.22039
2012-07-02,25.59,26.90,25.43,26.719999,30100,20.820379
2012-06-01,24.780001,25.60,24.67,25.60,25700,19.947668
2012-05-01,25.35,25.60,24.57,25.030001,22900,19.116394
2012-04-02,24.950001,25.40,24.299999,25.219999,35200,19.261503
2012-03-29,24.799999,25.10,24.719999,24.90,130500,19.017107
