Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,24.33,24.65,23.50,23.709999,1243000,23.709999
2013-03-01,22.65,27.030001,22.110001,24.450001,773700,24.450001
2013-02-01,27.120001,27.57,20.82,22.90,445500,22.90
2013-01-02,27.77,29.07,24.93,27.24,473000,27.24
2012-12-03,22.32,26.76,20.469999,26.50,507900,26.50
2012-11-01,22.57,23.43,19.18,22.01,329500,22.01
2012-10-01,19.370001,24.129999,19.26,22.25,273400,22.25
2012-09-04,19.389999,21.99,17.559999,19.34,527800,19.34
2012-08-01,16.83,19.52,16.00,19.299999,138200,19.299999
2012-07-02,17.34,18.620001,15.79,16.59,156000,16.59
2012-06-01,14.39,17.559999,12.24,17.32,340600,17.32
2012-05-01,13.29,16.629999,12.93,15.02,344000,15.02
2012-04-02,12.35,14.23,11.25,13.30,144600,13.30
2012-03-01,12.22,13.99,10.42,12.36,142200,12.36
2012-02-01,11.52,13.72,11.00,12.11,159700,12.11
2012-01-03,9.98,12.09,9.20,11.35,158700,11.35
2011-12-01,9.03,10.48,8.66,9.60,148100,9.60
2011-11-01,7.02,9.21,6.84,9.04,180600,9.04
2011-10-03,5.96,8.69,5.08,7.47,179300,7.47
2011-09-01,8.23,8.58,5.85,6.01,83700,6.01
2011-08-01,11.43,11.43,6.17,8.24,137200,8.24
2011-07-01,12.13,13.06,11.00,11.30,76600,11.30
2011-06-01,12.51,12.51,10.99,12.26,94200,12.26
2011-05-02,13.33,13.54,11.52,12.57,80100,12.57
2011-04-01,15.12,15.13,12.80,13.29,85600,13.29
2011-03-01,13.41,15.51,12.58,14.99,107600,14.99
2011-02-01,14.79,15.49,12.59,13.35,112600,13.35
2011-01-03,15.65,17.50,14.35,14.66,138800,14.66
2010-12-01,11.82,16.299999,11.63,15.38,147500,15.38
2010-11-01,10.65,12.57,10.42,11.53,93100,11.53
2010-10-01,10.48,11.50,10.05,10.58,108200,10.58
2010-09-01,9.68,11.50,9.53,10.37,149200,10.37
2010-08-02,10.82,11.08,9.05,9.43,192800,9.43
2010-07-01,9.70,10.90,8.85,10.55,232100,10.55
2010-06-01,11.48,11.90,9.60,9.64,209600,9.64
2010-05-03,15.72,17.17,10.75,11.84,311100,11.84
2010-04-01,14.74,18.00,14.43,15.60,218700,15.60
2010-03-01,12.91,15.54,12.88,14.65,151700,14.65
2010-02-01,10.37,13.95,10.05,12.85,237700,12.85
2010-01-04,10.65,12.53,9.74,10.32,148600,10.32
2009-12-01,11.04,11.56,9.43,10.39,156700,10.39
2009-11-02,11.19,13.19,10.34,10.96,200200,10.96
2009-10-01,13.54,15.66,10.60,11.17,257400,11.17
2009-09-01,15.73,17.690001,13.59,13.59,191000,13.59
2009-08-03,13.31,17.00,12.54,15.82,230100,15.82
2009-07-01,9.85,13.84,7.87,13.13,276000,13.13
2009-06-01,11.89,12.65,8.80,9.79,333900,9.79
2009-05-01,15.50,18.549999,10.27,11.56,680500,11.56
2009-04-01,6.80,15.75,6.80,15.27,379400,15.27
2009-03-02,6.30,9.69,4.92,6.99,195800,6.99
2009-02-02,8.76,11.45,5.17,6.45,233800,6.45
2009-01-02,10.40,12.14,8.04,8.84,163200,8.84
2008-12-01,10.18,13.18,8.32,10.54,194000,10.54
2008-11-03,13.36,14.17,5.13,10.54,239100,10.54
2008-10-01,22.59,23.15,9.79,13.61,296600,13.61
2008-09-02,18.469999,26.00,16.799999,22.780001,262600,22.780001
2008-08-01,19.24,19.450001,15.57,17.91,221500,17.91
2008-07-01,15.52,22.51,12.60,18.950001,351300,18.950001
2008-06-02,17.299999,19.809999,14.27,15.73,325300,15.73
2008-05-01,16.50,18.780001,14.82,17.17,204900,17.14127
2008-04-01,17.129999,20.25,15.54,17.15,219500,17.121302
2008-03-03,16.709999,19.389999,15.01,16.98,400900,16.951586
2008-02-01,14.66,19.07,14.50,16.49,420000,16.437836
2008-01-02,10.46,15.35,7.20,14.95,528100,14.902707
2007-12-03,9.94,12.77,8.91,10.50,386300,10.466784
2007-11-01,16.200001,16.23,9.51,10.03,375900,9.973644
2007-10-01,14.12,18.030001,13.85,16.60,272900,16.506731
2007-09-04,18.08,18.33,13.45,13.89,371100,13.811956
2007-08-01,24.549999,29.74,17.73,18.23,411000,18.09568
2007-07-02,26.67,29.059999,23.50,24.549999,171400,24.369112
2007-06-01,28.93,29.50,26.33,26.60,169800,26.404009
2007-05-01,29.65,31.40,26.940001,28.780001,267400,28.541796
2007-04-02,26.549999,30.66,25.110001,29.73,323000,29.483931
2007-03-01,30.82,31.129999,26.459999,26.549999,411000,26.330252
2007-02-01,34.970001,37.73,31.370001,31.379999,301800,31.091179
2007-01-03,38.049999,38.25,34.110001,36.080002,175500,35.747921
2006-12-01,37.529999,39.110001,36.610001,38.189999,137800,37.838497
2006-11-01,36.119999,37.650002,33.16,37.279999,159300,36.912777
2006-10-02,35.369999,37.16,34.639999,35.919998,194600,35.566174
2006-09-01,32.560001,37.720001,30.41,35.349998,231600,35.001789
2006-08-01,31.969999,35.82,30.120001,32.360001,201200,32.019302
2006-07-03,35.25,35.82,30.27,32.220001,275900,31.880777
2006-06-01,36.00,36.990002,29.950001,35.080002,359700,34.710667
2006-05-01,43.040001,43.200001,35.259998,36.00,262500,35.594547
2006-04-03,47.299999,49.049999,41.66,43.169998,227900,42.683792
2006-03-01,41.900002,49.439999,38.700001,47.00,223900,46.470657
2006-02-01,39.849998,46.700001,38.91,42.119999,227000,41.623764
2006-01-03,41.099998,44.400002,35.00,39.860001,184600,39.390392
2005-12-01,44.099998,44.639999,39.93,40.619999,162200,40.141438
2005-11-01,44.900002,46.759998,41.91,43.75,125700,43.208004
2005-10-03,54.560001,54.860001,42.00,44.900002,172800,44.343758
2005-09-01,55.450001,56.900002,51.939999,54.259998,122700,53.587799
2005-08-01,59.869999,60.75,52.619999,56.349998,184800,55.625584
2005-07-01,53.75,61.450001,51.91,59.619999,121400,58.853546
2005-06-01,49.950001,54.759998,49.689999,54.099998,129900,53.404507
2005-05-02,45.869999,50.650002,44.18,50.48,147900,49.80777
2005-04-01,49.529999,50.599998,43.119999,45.700001,183400,45.091427
2005-03-01,56.310001,58.080002,48.099998,48.93,123100,48.278412
2005-02-01,57.150002,59.490002,52.00,56.299999,159600,55.522316
2005-01-03,55.290001,57.880001,52.349998,56.799999,131100,56.015411
2004-12-01,45.41,55.41,45.41,55.110001,95700,54.348755
2004-11-01,42.799999,46.209999,42.349998,45.209999,111400,44.564926
2004-10-01,42.599998,43.860001,37.990002,43.00,87700,42.386463
2004-09-01,39.049999,42.93,38.619999,42.439999,63400,41.83445
2004-08-02,38.200001,40.290001,36.52,39.049999,59800,38.469925
2004-07-01,40.549999,40.75,35.860001,37.990002,129500,37.425674
2004-06-01,42.490002,43.93,38.450001,40.599998,132700,39.996899
2004-05-03,42.849998,43.75,39.00,42.470001,120800,41.812428
2004-04-01,47.48,47.740002,39.889999,42.650002,86700,41.989639
2004-03-01,45.049999,48.080002,43.919998,47.279999,78700,46.547951
2004-02-02,38.59,45.240002,36.689999,44.959999,139300,44.239799
2004-01-02,39.099998,41.330002,35.919998,38.59,191100,37.97184
2003-12-01,38.950001,39.75,35.669998,39.049999,147300,38.424469
2003-11-03,41.75,43.279999,34.400002,38.349998,159700,37.71143
2003-10-01,39.549999,45.00,39.369999,41.630001,91800,40.936817
2003-09-02,43.299999,44.650002,39.50,39.669998,152700,39.009453
2003-08-01,40.790001,43.549999,39.610001,43.380001,101100,42.630695
2003-07-01,42.299999,44.580002,39.279999,40.790001,88700,40.085434
2003-06-02,41.150002,46.400002,40.25,42.68,134700,41.942787
2003-05-01,34.150002,40.849998,33.709999,40.599998,99800,39.87524
2003-04-01,28.75,34.689999,28.23,34.16,64700,33.550205
2003-03-03,26.10,30.110001,24.780001,28.68,58900,28.168028
2003-02-03,26.549999,27.98,25.690001,25.90,68800,25.416098
2003-01-02,27.700001,30.25,26.50,26.90,63500,26.397413
2002-12-02,29.25,29.50,23.00,27.799999,108400,27.280598
2002-11-01,32.389999,33.25,27.10,29.200001,73000,28.628307
2002-10-01,31.60,33.279999,27.50,32.41,84300,31.775459
2002-09-03,34.150002,36.740002,30.799999,31.50,91100,30.883276
2002-08-01,31.90,35.049999,29.110001,34.400002,54500,33.700462
2002-07-01,37.98,39.290001,27.10,32.459999,121200,31.79991
2002-06-03,63.799999,70.900002,33.41,37.68,136200,36.913757
2002-05-01,63.299999,65.699997,61.299999,64.050003,125000,31.351217
2002-04-01,56.50,65.089996,53.849998,63.200001,178100,30.935158
2002-03-01,58.50,61.700001,52.700001,56.650002,138300,27.729063
2002-02-01,57.400002,59.400002,54.00,58.48,116900,28.599852
2002-01-02,49.77,58.25,48.599998,57.50,121600,28.120579
2001-12-03,41.00,51.209999,40.790001,49.77,127400,24.340195
2001-11-01,36.799999,40.990002,36.349998,40.990002,35800,20.026545
2001-10-01,33.799999,36.950001,31.82,36.950001,38600,18.052715
2001-09-04,40.099998,40.189999,28.51,33.799999,80500,16.513714
2001-08-01,39.02,41.700001,35.349998,40.23,57300,19.62443
2001-07-02,39.50,44.720001,37.799999,39.009998,53600,19.029306
2001-06-01,39.00,40.00,33.25,39.50,102300,19.268332
2001-05-01,38.849998,45.490002,34.099998,39.200001,133600,19.097631
2001-04-02,29.799999,39.950001,29.00,38.849998,97900,18.927116
2001-03-01,27.75,30.35,27.299999,29.799999,55600,14.518097
2001-02-01,31.01,33.740002,26.43,27.799999,46600,13.520264
2001-01-02,24.25,31.9375,24.125,31.00,59400,15.076553
2000-12-01,23.8125,25.50,22.375,24.1875,55000,11.763359
2000-11-01,20.50,24.50,20.50,24.00,37200,11.647402
2000-10-02,20.50,21.9375,18.9375,20.5625,30300,9.979155
2000-09-01,19.9375,21.50,19.25,20.375,12100,9.888159
2000-08-01,17.9375,19.875,17.9375,19.6875,17000,9.530622
2000-07-03,15.75,18.375,15.75,18.00,10600,8.713713
2000-06-01,16.9375,17.50,15.125,15.75,24300,7.624498
2000-05-01,16.00,17.25,16.00,17.00,20600,8.203491
2000-04-03,15.8125,16.5625,14.875,16.00,21100,7.720933
2000-03-01,14.5625,15.875,14.25,15.8125,26200,7.630453
2000-02-01,13.125,14.625,12.75,14.5625,62700,7.004768
2000-01-03,15.5625,15.5625,13.00,13.00,39100,6.253184
