Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.55,15.58,15.37,15.47,10600,13.000823
2013-03-01,15.78,15.87,14.88,15.47,8700,13.000823
2013-02-01,15.93,16.15,15.53,15.70,7600,13.13996
2013-01-02,15.55,16.32,15.51,15.85,9100,13.213432
2012-12-03,16.280001,16.290001,15.25,15.44,11300,12.821171
2012-11-01,15.89,16.530001,15.65,16.280001,11100,13.465632
2012-10-01,16.02,16.27,15.79,15.82,8100,13.035192
2012-09-04,15.61,16.049999,15.44,16.00,8100,13.131401
2012-08-01,15.89,15.91,15.04,15.62,14600,12.76822
2012-07-02,15.02,15.89,15.02,15.80,10800,12.862281
2012-06-01,15.30,15.39,14.72,14.97,7900,12.136554
2012-05-01,15.19,15.27,15.05,15.27,4000,12.327881
2012-04-02,15.09,15.18,14.83,15.13,6300,12.163993
2012-03-01,15.28,15.36,14.10,15.00,11800,12.008895
2012-02-01,15.08,15.47,14.84,15.25,15100,12.15834
2012-01-03,14.39,15.06,14.27,15.01,18800,11.918491
2011-12-01,13.88,14.41,13.81,14.38,12700,11.370047
2011-11-01,13.86,14.00,13.65,13.81,11200,10.871949
2011-10-03,13.88,13.89,13.32,13.86,7000,10.863289
2011-09-01,13.51,13.87,13.45,13.84,5700,10.798598
2011-08-01,13.07,13.51,12.83,13.47,10300,10.463111
2011-07-01,13.17,13.48,12.87,12.98,9000,10.036595
2011-06-01,13.42,13.61,13.08,13.10,9700,10.083306
2011-05-02,12.89,13.49,12.85,13.37,5300,10.244492
2011-04-01,12.74,12.84,12.58,12.83,6400,9.78516
2011-03-01,12.62,12.76,12.45,12.68,6100,9.624161
2011-02-01,12.67,12.76,12.38,12.70,12600,9.593114
2011-01-03,12.85,12.92,12.05,12.66,20000,9.516713
2010-12-01,13.55,13.55,12.32,12.85,18900,9.613107
2010-11-01,14.12,14.12,12.69,13.49,17600,10.043495
2010-10-01,14.06,14.26,13.97,14.05,7000,10.414452
2010-09-01,14.06,14.27,13.91,14.06,9700,10.377252
2010-08-02,13.57,14.14,13.53,13.99,17100,10.281136
2010-07-01,12.92,13.58,12.89,13.52,9300,9.893764
2010-06-01,12.95,12.97,12.77,12.97,9100,9.449291
2010-05-03,12.80,13.07,12.54,12.94,8400,9.384883
2010-04-01,12.78,12.91,12.68,12.83,7100,9.264928
2010-03-01,12.51,12.88,12.51,12.79,14100,9.195666
2010-02-01,12.50,12.74,12.38,12.48,6800,8.933467
2010-01-04,12.26,12.52,12.08,12.43,8900,8.857974
2009-12-01,12.20,12.31,12.08,12.25,8500,8.690116
2009-11-02,12.05,12.35,12.05,12.15,9400,8.579515
2009-10-01,12.70,12.88,11.95,11.98,28900,8.420738
2009-09-01,12.13,12.74,12.03,12.68,9800,8.872903
2009-08-03,11.73,12.17,11.49,12.14,9300,8.456295
2009-07-01,10.79,11.63,10.79,11.60,7700,8.041868
2009-06-01,11.04,11.14,10.66,10.75,10900,7.415163
2009-05-01,10.61,11.20,10.58,10.96,8000,7.521808
2009-04-01,9.96,11.00,9.77,10.60,13000,7.239239
2009-03-02,10.00,10.00,9.35,9.75,5800,6.623723
2009-02-02,10.17,10.60,9.35,10.02,10800,6.769012
2009-01-02,8.69,10.37,8.69,10.17,10000,6.835665
2008-12-01,8.81,9.19,7.50,8.77,20500,5.863583
2008-11-03,9.65,10.11,8.33,8.97,8000,5.958108
2008-10-01,10.39,10.58,7.61,9.70,12900,6.408148
2008-09-02,12.15,12.25,10.02,10.23,9100,6.717066
2008-08-01,12.13,12.34,11.98,12.11,4900,7.916538
2008-07-01,12.11,12.59,11.86,12.12,6000,7.888227
2008-06-02,12.81,12.81,12.16,12.16,5000,7.880542
2008-05-01,12.70,12.89,12.63,12.81,4100,8.266645
2008-04-01,12.74,12.81,12.56,12.63,6700,8.116446
2008-03-03,12.26,12.79,11.89,12.68,10900,8.114572
2008-02-01,13.33,13.56,12.16,12.18,13800,7.761757
2008-01-02,12.78,13.63,12.78,13.30,7900,8.44186
2007-12-03,12.94,13.29,12.50,12.78,23400,8.080096
2007-11-01,13.03,13.17,12.10,12.90,15500,8.12279
2007-10-01,13.32,13.40,12.89,13.00,5500,8.152205
2007-09-04,13.27,13.75,13.15,13.32,5300,8.319689
2007-08-01,13.50,13.59,12.86,13.18,7200,8.200068
2007-07-02,13.67,13.89,13.42,13.49,4400,8.359543
2007-06-01,13.91,13.93,13.35,13.65,7700,8.425508
2007-05-01,14.03,14.17,13.78,13.93,4800,8.564633
2007-04-02,13.99,14.14,13.93,14.03,4700,8.593646
2007-03-01,13.93,14.18,13.92,14.05,5400,8.573457
2007-02-01,13.96,14.15,13.74,13.95,5900,8.480505
2007-01-03,13.70,14.15,13.70,14.01,6400,8.484436
2006-12-01,13.72,14.75,13.68,13.70,12300,8.265536
2006-11-01,13.84,13.97,13.55,13.80,11000,8.294706
2006-10-02,13.48,14.00,13.35,13.72,9300,8.214375
2006-09-01,13.47,13.73,13.10,13.40,10000,7.991093
2006-08-01,13.16,13.46,13.09,13.46,4600,7.994259
2006-07-03,12.95,13.19,12.75,13.09,6300,7.743176
2006-06-01,12.98,13.25,12.77,12.90,4300,7.598941
2006-05-01,13.03,13.35,12.84,13.03,4000,7.643807
2006-04-03,13.35,13.35,12.88,13.03,5800,7.61237
2006-03-01,13.75,13.89,13.21,13.34,9300,7.761668
2006-02-01,13.42,14.02,13.33,13.75,9400,7.968243
2006-01-03,13.20,13.45,13.10,13.44,9300,7.757533
2005-12-01,12.92,13.11,12.46,13.11,29700,7.536427
2005-11-01,13.30,13.37,12.78,12.92,9700,7.392658
2005-10-03,13.78,13.82,13.07,13.30,4400,7.574965
2005-09-01,13.92,14.04,13.50,13.75,7600,7.797163
2005-08-01,13.77,14.02,13.66,13.90,4800,7.848247
2005-07-01,13.72,14.00,13.68,13.80,8000,7.757908
2005-06-01,13.46,13.80,13.46,13.76,7500,7.701519
2005-05-02,13.26,13.45,13.11,13.44,7200,7.489445
2005-04-01,12.90,13.23,12.90,13.20,5700,7.322396
2005-03-01,13.50,13.51,12.70,12.90,5700,7.123202
2005-02-01,13.25,13.55,13.25,13.50,10500,7.420859
2005-01-03,13.01,13.25,12.94,13.25,8700,7.250677
2004-12-01,12.91,13.07,12.80,13.05,21100,7.10865
2004-11-01,13.39,13.46,12.85,12.90,12000,6.994283
2004-10-01,13.25,13.47,13.16,13.47,7800,7.269572
2004-09-01,13.31,13.41,13.16,13.27,12500,7.1294
2004-08-02,12.85,13.30,12.85,13.30,9600,7.113063
2004-07-01,12.56,12.90,12.52,12.84,12800,6.835547
2004-06-01,12.75,12.78,12.43,12.56,8000,6.655118
2004-05-03,12.70,12.80,11.90,12.75,18400,6.72357
2004-04-01,14.65,14.70,12.70,12.70,10200,6.664454
2004-03-01,14.70,14.73,14.49,14.59,5300,7.623203
2004-02-02,14.93,15.03,14.50,14.70,7200,7.649177
2004-01-02,14.63,15.15,14.45,15.00,11200,7.773424
2003-12-01,15.10,15.30,14.57,14.73,6100,7.602025
2003-11-03,14.98,15.20,14.91,15.12,3800,7.771835
2003-10-01,14.75,15.10,14.75,15.04,3900,7.69975
2003-09-02,15.00,15.02,14.75,14.81,7200,7.551673
2003-08-01,15.00,15.05,15.00,15.01,4300,7.622917
2003-07-30,15.00,15.00,15.00,15.00,118500,7.617838
