Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,16.299999,16.41,16.139999,16.23,33600,13.355223
2013-03-01,16.57,16.610001,15.40,16.32,51100,13.429281
2013-02-01,17.24,17.280001,16.559999,16.58,19700,13.583689
2013-01-02,17.190001,18.120001,16.959999,17.24,19300,14.066425
2012-12-03,18.290001,18.32,16.98,17.219999,40300,13.993971
2012-11-01,18.190001,18.23,17.389999,18.23,29100,14.751018
2012-10-01,17.50,18.139999,17.35,17.98,23300,14.491158
2012-09-04,16.969999,17.48,16.290001,17.469999,21700,14.024086
2012-08-01,17.99,17.99,16.27,16.879999,22700,13.494303
2012-07-02,16.92,17.85,16.82,17.77,22900,14.145961
2012-06-01,16.75,17.07,16.209999,17.07,23500,13.532765
2012-05-01,16.280001,16.85,16.190001,16.74,24400,13.215083
2012-04-02,15.88,16.299999,15.75,16.280001,21200,12.798203
2012-03-01,16.299999,16.309999,15.05,15.79,31600,12.359363
2012-02-01,16.16,16.370001,15.96,16.26,42700,12.669397
2012-01-03,15.36,16.190001,15.29,16.139999,45600,12.521622
2011-12-01,14.86,15.36,14.78,15.36,37200,11.863492
2011-11-01,14.65,14.89,14.58,14.83,30300,11.395421
2011-10-03,14.86,14.90,14.43,14.75,19200,11.280378
2011-09-01,14.36,14.99,14.22,14.90,19400,11.340867
2011-08-01,14.04,14.58,13.34,14.27,31600,10.810087
2011-07-01,14.02,14.37,13.83,13.85,23100,10.440705
2011-06-01,13.99,14.05,13.84,13.98,16400,10.486236
2011-05-02,13.33,14.00,13.32,13.95,18700,10.411414
2011-04-01,13.25,13.32,12.89,13.30,18600,9.875503
2011-03-01,12.97,13.27,12.89,13.22,18200,9.763287
2011-02-01,12.88,12.99,12.70,12.95,20700,9.512623
2011-01-03,13.19,13.24,12.16,12.83,19700,9.37429
2010-12-01,13.91,13.92,12.62,13.26,35000,9.635512
2010-11-01,14.42,14.56,13.11,13.87,33600,10.026054
2010-10-01,14.70,14.82,14.40,14.42,12500,10.37278
2010-09-01,15.17,15.17,14.49,14.74,24400,10.553379
2010-08-02,14.47,15.12,14.46,15.10,30200,10.762215
2010-07-01,14.15,14.47,14.01,14.40,16900,10.216434
2010-06-01,13.72,14.14,13.67,14.10,13100,9.95632
2010-05-03,14.07,14.27,13.62,13.79,20500,9.690394
2010-04-01,13.66,14.09,13.66,14.07,16800,9.839539
2010-03-01,13.47,13.90,13.34,13.66,21500,9.505776
2010-02-01,13.30,13.48,13.09,13.48,31800,9.334228
2010-01-04,13.32,13.44,13.17,13.30,31600,9.165079
2009-12-01,12.88,13.43,12.87,13.32,15500,9.13417
2009-11-02,13.37,13.40,12.68,12.90,23400,8.802396
2009-10-01,13.59,14.00,12.96,13.33,17100,9.050883
2009-09-01,13.01,13.93,12.97,13.57,20800,9.169246
2009-08-03,12.63,13.24,12.33,12.99,22900,8.735665
2009-07-01,12.13,12.85,11.84,12.50,16600,8.366399
2009-06-01,12.30,12.31,11.79,12.05,13700,8.026057
2009-05-01,11.80,12.51,11.75,12.30,16000,8.151609
2009-04-01,11.01,11.87,10.92,11.80,12900,7.784756
2009-03-02,10.92,11.14,10.27,11.10,22700,7.287274
2009-02-02,10.92,11.22,10.15,10.88,26100,7.105355
2009-01-02,9.75,11.03,9.68,10.95,32800,7.118476
2008-12-01,9.70,9.80,7.87,9.69,57800,6.270334
2008-11-03,10.02,10.70,9.11,9.70,17100,6.236978
2008-10-01,10.33,10.65,7.60,9.98,22900,6.385923
2008-09-02,12.11,12.30,10.22,10.43,20500,6.638925
2008-08-01,12.11,12.23,12.01,12.15,13800,7.675263
2008-07-01,12.34,12.68,12.09,12.14,17500,7.637491
2008-06-02,12.95,13.02,12.27,12.45,29100,7.80096
2008-05-01,12.83,13.01,12.78,12.95,9500,8.08223
2008-04-01,12.68,12.92,12.65,12.80,7400,7.957722
2008-03-03,12.27,12.83,12.21,12.68,16200,7.852324
2008-02-01,13.16,13.34,12.20,12.26,16600,7.561344
2008-01-02,13.27,13.74,13.03,13.17,34800,8.091078
2007-12-03,12.98,13.33,12.65,13.24,25100,8.104462
2007-11-01,13.17,13.22,12.31,12.93,11400,7.876723
2007-10-01,13.33,13.39,13.03,13.14,8900,7.973335
2007-09-04,13.19,13.61,13.14,13.27,24200,8.021579
2007-08-01,13.02,13.10,12.67,13.03,18200,7.847307
2007-07-02,13.25,13.29,13.01,13.03,8600,7.817101
2007-06-01,13.52,13.53,12.96,13.22,8700,7.901069
2007-05-01,13.72,13.85,13.40,13.55,11100,8.067646
2007-04-02,13.75,13.80,13.46,13.71,11700,8.133355
2007-03-01,14.02,14.29,13.75,13.78,5300,8.14498
2007-02-01,14.10,14.19,13.93,14.02,5100,8.257136
2007-01-03,14.12,14.35,14.04,14.10,5600,8.268816
2006-12-01,14.20,14.38,14.10,14.19,3400,8.286727
2006-11-01,13.96,14.33,13.80,14.13,4700,8.216969
2006-10-02,14.15,14.18,13.84,14.02,3900,8.11806
2006-09-01,13.90,14.15,13.78,14.15,5400,8.158093
2006-08-01,13.79,14.05,13.65,13.87,7200,7.96239
2006-07-03,13.43,13.94,13.36,13.84,11000,7.909235
2006-06-01,13.72,13.87,13.06,13.42,7300,7.635479
2006-05-01,14.15,14.19,13.58,13.72,9500,7.770713
2006-04-03,14.28,14.36,13.99,14.22,7000,8.012781
2006-03-01,14.10,14.70,13.95,14.35,7900,8.046173
2006-02-01,14.17,14.38,13.93,14.13,10600,7.884569
2006-01-03,13.58,14.45,13.55,14.17,7800,7.868076
2005-12-01,13.81,13.81,13.48,13.60,7100,7.51461
2005-11-01,13.84,13.95,13.57,13.81,5300,7.577342
2005-10-03,14.00,14.00,13.53,13.88,5100,7.577091
2005-09-01,14.26,14.40,13.96,13.99,4500,7.598288
2005-08-01,14.00,14.30,13.86,14.26,9000,7.706913
2005-07-01,13.92,14.10,13.79,13.94,11400,7.496243
2005-06-01,13.70,13.95,13.36,13.92,13000,7.485488
2005-05-02,13.15,13.52,13.05,13.52,7200,7.232856
2005-04-01,12.98,13.18,12.89,13.14,6400,6.992457
2005-03-01,13.74,13.74,12.85,12.92,7400,6.838561
2005-02-01,13.84,14.00,13.65,13.75,7500,7.240613
2005-01-03,13.50,14.20,13.45,13.82,17800,7.277473
2004-12-01,13.39,13.51,13.15,13.45,11700,7.04642
2004-11-01,13.73,13.75,13.32,13.40,5500,6.947109
2004-10-01,13.60,13.75,13.47,13.70,6300,7.065483
2004-09-01,13.59,13.64,13.45,13.60,6900,6.977782
2004-08-02,13.25,13.59,13.25,13.59,9500,6.936763
2004-07-01,13.00,13.33,12.11,13.22,12200,6.712862
2004-06-01,13.07,13.15,12.68,13.12,6000,6.626861
2004-05-03,12.85,13.17,12.45,13.05,11600,6.555401
2004-04-01,14.34,14.40,12.66,12.81,12900,6.398921
2004-03-01,14.30,14.85,14.24,14.34,8300,7.126026
2004-02-02,14.25,14.40,13.96,14.30,6000,7.07158
2004-01-02,14.00,14.50,13.90,14.25,5000,7.012214
2003-12-01,13.67,14.05,13.66,14.00,3400,6.854747
2003-11-03,13.61,13.94,13.39,13.67,4100,6.659097
2003-10-01,13.45,13.52,13.34,13.51,4900,6.547132
2003-09-02,13.34,13.55,13.25,13.41,6900,6.464696
2003-08-01,13.12,13.65,12.93,13.35,4600,6.402027
2003-07-01,14.19,14.24,13.15,13.15,6200,6.273295
2003-06-02,13.96,14.39,13.90,14.17,8300,6.726429
2003-05-01,13.66,13.97,13.63,13.97,10500,6.598823
2003-04-01,13.41,13.85,13.24,13.69,8600,6.433665
2003-03-03,13.42,13.64,13.25,13.35,6200,6.241034
2003-02-03,13.22,13.57,13.18,13.40,5300,6.232046
2003-01-02,13.37,13.48,13.08,13.27,4800,6.139153
2002-12-02,13.20,13.58,13.02,13.40,6200,6.16622
2002-11-01,13.18,13.30,12.96,13.24,4600,6.060382
2002-10-01,13.95,14.04,12.89,13.29,5300,6.051178
