Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,33.52,33.669998,32.490002,32.82,454600,31.264297
2013-03-01,35.759998,38.43,31.530001,33.52,290200,31.931116
2013-02-01,36.810001,39.119999,34.490002,36.040001,147500,34.279106
2013-01-02,31.26,37.50,30.120001,36.560001,221400,34.773701
2012-12-03,35.099998,35.48,28.25,30.68,205900,29.180994
2012-11-01,31.85,36.419998,28.809999,34.689999,194200,32.155495
2012-10-01,35.110001,35.110001,30.860001,31.690001,109800,29.374683
2012-09-04,35.02,37.310001,33.700001,33.720001,192800,31.256369
2012-08-01,23.610001,36.119999,21.75,35.16,362900,32.546215
2012-07-02,25.09,25.77,22.459999,23.440001,147100,21.697477
2012-06-01,27.129999,27.629999,23.17,25.02,280500,23.160021
2012-05-01,28.52,29.969999,23.809999,27.700001,425000,25.592413
2012-04-02,24.52,29.879999,24.35,28.35,328500,26.192955
2012-03-01,21.370001,24.82,20.58,24.549999,149100,22.231314
2012-02-01,18.49,21.82,18.370001,21.40,171900,19.378824
2012-01-03,18.76,20.23,17.98,18.41,195600,16.671221
2011-12-01,17.58,19.66,17.01,18.17,179900,16.45389
2011-11-01,16.00,17.75,13.92,15.73,104500,14.221191
2011-10-03,12.03,17.799999,11.55,16.73,127700,15.125273
2011-09-01,14.52,16.08,12.11,12.18,149600,11.011705
2011-08-01,16.540001,16.870001,10.93,13.76,147400,12.414432
2011-07-01,17.18,17.969999,15.64,16.18,100600,14.597784
2011-06-01,16.549999,17.469999,14.99,17.110001,123000,15.436841
2011-05-02,16.690001,17.209999,15.53,16.559999,96600,14.911929
2011-04-01,14.84,17.559999,14.43,16.690001,128700,15.028993
2011-03-01,14.13,15.00,12.68,14.68,85900,13.195591
2011-02-01,14.55,15.03,13.49,14.07,78500,12.647272
2011-01-03,16.389999,16.700001,14.08,14.41,137000,12.952892
2010-12-01,12.30,17.09,12.30,16.139999,193300,14.507958
2010-11-01,11.23,12.50,10.77,12.00,66500,10.786587
2010-10-01,10.99,11.74,10.65,11.24,79000,10.103436
2010-09-01,10.38,11.65,9.50,10.88,115600,9.779839
2010-08-02,11.55,11.87,10.00,10.14,80900,9.114666
2010-07-01,10.66,12.76,9.51,11.36,123600,10.211302
2010-06-01,12.16,12.64,10.45,10.68,168700,9.600062
2010-05-03,12.50,13.97,10.65,12.28,192800,11.038273
2010-04-01,11.83,13.76,10.96,12.41,199500,11.155128
2010-03-01,12.85,14.63,10.92,11.28,186200,10.139391
2010-02-01,10.95,13.35,10.01,12.80,135600,11.505692
2010-01-04,9.92,11.95,9.73,10.93,167700,9.824782
2009-12-01,10.43,10.95,8.66,9.72,253600,8.737135
2009-11-02,10.66,11.43,10.13,10.29,132000,9.249498
2009-10-01,14.39,15.06,10.18,10.48,144500,9.420285
2009-09-01,12.81,15.10,11.43,14.53,159200,13.060759
2009-08-03,14.30,14.45,11.48,12.85,118600,11.550636
2009-07-01,10.61,15.56,9.12,14.28,155200,12.836038
2009-06-01,7.73,13.00,7.73,10.54,228800,9.474218
2009-05-01,9.23,9.62,6.99,7.58,157400,6.813527
2009-04-01,7.43,9.70,6.13,9.17,264700,8.24275
2009-03-02,5.59,8.38,4.65,7.54,183700,6.777572
2009-02-02,7.55,8.65,5.49,5.71,193700,5.132617
2009-01-02,9.52,11.05,7.35,7.68,283600,6.903415
2008-12-01,13.39,13.78,5.94,9.39,607500,8.388849
2008-11-03,15.33,15.76,10.42,13.50,193100,12.060645
2008-10-01,22.34,22.34,11.54,15.21,226200,13.588326
2008-09-02,23.66,26.17,21.030001,22.35,247700,19.873709
2008-08-01,21.709999,25.91,20.15,23.190001,167400,20.62064
2008-07-01,19.690001,23.18,18.41,21.50,140900,19.117886
2008-06-02,22.17,22.32,19.620001,19.799999,225500,17.533146
2008-05-01,21.639999,23.09,20.40,22.200001,156600,19.658377
2008-04-01,19.75,22.549999,18.84,21.84,232000,19.339592
2008-03-03,19.23,23.08,17.16,19.49,323100,17.186539
2008-02-01,24.280001,26.50,19.219999,19.26,272500,16.983723
2008-01-02,25.129999,25.77,20.299999,24.219999,324100,21.357513
2007-12-03,27.57,32.93,24.65,25.290001,223200,22.224779
2007-11-01,29.940001,30.040001,26.280001,27.700001,175900,24.34268
2007-10-01,31.92,34.830002,29.40,30.09,155300,26.443005
2007-09-04,29.35,34.990002,28.68,31.92,173900,27.981771
2007-08-01,28.16,32.00,26.540001,29.50,212700,25.860346
2007-07-02,34.02,34.889999,27.709999,28.24,143700,24.755802
2007-06-01,33.75,34.740002,32.23,33.740002,180500,29.507177
2007-05-01,32.889999,34.02,32.009998,33.330002,173500,29.148613
2007-04-02,29.719999,33.50,29.469999,32.919998,241000,28.790047
2007-03-01,28.799999,35.400002,27.43,29.450001,388900,25.690622
2007-02-01,28.889999,30.50,27.75,29.50,152500,25.734238
2007-01-03,28.51,29.32,27.33,28.700001,191600,25.036362
2006-12-01,25.030001,29.68,24.60,29.00,379800,25.245085
2006-11-01,25.809999,26.84,24.51,25.01,105200,21.771709
2006-10-02,25.50,27.290001,25.25,25.75,138200,22.415894
2006-09-01,22.40,25.950001,20.549999,25.42,230400,22.078062
2006-08-01,22.59,23.950001,20.82,22.49,112800,19.533266
2006-07-03,22.50,23.799999,20.860001,22.530001,174400,19.568008
2006-06-01,20.15,24.959999,20.09,22.950001,318700,19.88052
2006-05-01,19.77,20.26,17.91,18.690001,117400,16.190279
2006-04-03,23.58,24.98,19.09,19.67,214000,17.039207
2006-03-01,21.870001,23.17,19.700001,23.08,135600,19.93775
2006-02-01,18.90,22.84,18.84,21.799999,141200,18.832016
2006-01-03,18.40,19.57,18.00,18.889999,63400,16.318201
2005-12-01,18.85,19.450001,17.60,18.299999,97300,15.765894
2005-11-01,17.530001,18.77,17.01,18.450001,95300,15.895123
2005-10-03,18.620001,18.75,16.49,17.530001,95100,15.102521
2005-09-01,19.59,20.379999,17.68,18.719999,90600,16.08041
2005-08-01,19.370001,20.00,18.16,19.49,63700,16.741838
2005-07-01,18.879999,19.60,17.299999,19.32,77900,16.595808
2005-06-01,16.860001,19.700001,16.860001,18.879999,92200,16.174042
2005-05-02,16.15,17.700001,15.24,16.860001,49100,14.443558
2005-04-01,18.690001,18.690001,15.81,16.07,81100,13.766783
2005-03-01,18.620001,19.799999,17.68,18.50,79100,15.803481
2005-02-01,18.25,19.700001,17.379999,18.620001,64200,15.905991
2005-01-03,18.82,19.01,17.25,18.23,57400,15.572835
2004-12-01,18.379999,18.950001,17.00,18.65,69300,15.896332
2004-11-01,17.450001,19.40,17.209999,18.40,65900,15.683244
2004-10-01,17.049999,17.860001,15.26,17.25,59700,14.703041
2004-09-01,14.30,17.629999,14.30,17.00,59500,14.453131
2004-08-02,15.06,15.06,12.99,14.35,44500,12.200143
2004-07-01,17.049999,17.15,14.09,15.01,49600,12.761264
2004-06-01,30.49,33.00,15.90,17.25,64300,14.628943
2004-05-03,29.40,31.52,29.40,30.700001,44800,13.01764
2004-04-01,29.799999,30.60,29.200001,30.00,45400,12.72082
2004-03-01,30.51,30.85,27.559999,29.940001,75900,12.661182
2004-02-02,28.52,31.50,25.57,30.51,91200,12.902226
2004-01-02,28.48,32.50,28.40,28.52,79700,12.060685
2003-12-01,27.24,30.75,27.10,28.23,48600,11.915047
2003-11-03,24.200001,27.629999,24.10,27.190001,38500,11.476094
2003-10-01,21.860001,24.40,21.799999,24.049999,35300,10.150792
2003-09-02,24.00,24.530001,20.15,21.90,47800,9.220281
2003-08-01,23.049999,24.120001,21.50,23.90,17500,10.062315
2003-07-01,21.799999,24.43,21.50,23.10,33800,9.725502
2003-06-02,22.90,22.98,19.459999,21.75,42800,9.133507
2003-05-01,20.50,23.139999,20.41,22.98,36400,9.650023
2003-04-01,19.00,20.50,18.26,20.50,32100,8.608593
2003-03-03,19.549999,19.58,17.719999,19.00,29800,7.966011
2003-02-03,18.299999,20.219999,17.530001,19.50,28500,8.175643
2003-01-02,19.059999,19.91,17.299999,18.34,34800,7.689297
2002-12-02,17.85,19.200001,17.85,18.809999,67800,7.874237
2002-11-01,17.10,17.799999,16.200001,17.799999,70000,7.451431
2002-10-01,16.290001,17.43,14.60,17.059999,31800,7.141652
2002-09-03,18.40,18.700001,15.95,16.25,43900,6.78892
2002-08-01,20.15,20.18,17.90,18.209999,35500,7.607768
2002-07-01,24.40,24.41,17.799999,19.99,45600,8.351416
2002-06-03,21.799999,25.15,19.51,25.15,60300,10.493055
2002-05-01,22.799999,25.200001,20.110001,21.50,58200,8.970206
2002-04-01,21.799999,22.90,21.35,22.799999,46000,9.51259
2002-03-01,18.299999,22.17,18.299999,21.950001,61000,9.145905
2002-02-01,17.60,18.549999,17.200001,18.40,73400,7.666727
2002-01-02,19.25,19.25,16.75,17.700001,52300,7.375058
2001-12-03,18.299999,19.59,18.299999,19.200001,34200,7.986349
