Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,16.780001,16.799999,16.57,16.700001,103200,13.4103
2013-03-01,16.940001,16.969999,15.45,16.719999,120800,13.426359
2013-02-01,17.42,17.540001,16.73,16.870001,80200,13.479915
2013-01-02,17.57,18.25,17.27,17.370001,80500,13.815144
2012-12-03,18.33,18.450001,16.620001,17.639999,113000,13.967978
2012-11-01,17.84,18.540001,17.16,18.33,85100,14.44878
2012-10-01,17.889999,18.17,17.27,17.799999,65800,13.967764
2012-09-04,17.450001,17.969999,17.209999,17.82,80400,13.920185
2012-08-01,17.49,17.780001,16.790001,17.35,90000,13.491717
2012-07-02,16.459999,17.690001,16.360001,17.379999,78800,13.452438
2012-06-01,16.25,16.559999,16.01,16.40,62500,12.632615
2012-05-01,16.120001,16.530001,16.049999,16.209999,55100,12.424562
2012-04-02,15.55,16.219999,15.55,16.049999,57700,12.241807
2012-03-01,16.16,16.309999,14.72,15.48,87200,11.74831
2012-02-01,16.74,16.879999,15.78,16.139999,73300,12.188754
2012-01-03,15.80,16.790001,15.37,16.74,71300,12.582149
2011-12-01,15.35,15.85,15.12,15.82,48700,11.8317
2011-11-01,14.62,15.48,14.59,15.34,62800,11.414978
2011-10-03,14.95,15.17,13.93,14.52,68500,10.749948
2011-09-01,14.50,14.99,14.36,14.85,55500,10.935435
2011-08-01,13.40,14.54,12.76,14.40,108200,10.548323
2011-07-01,13.60,13.95,13.06,13.26,61200,9.658854
2011-06-01,13.73,13.83,13.43,13.54,54300,9.808136
2011-05-02,13.21,13.70,13.07,13.70,60000,9.8683
2011-04-01,13.21,13.43,12.66,13.15,53700,9.41733
2011-03-01,13.24,13.69,12.98,13.14,52700,9.354773
2011-02-01,12.96,13.27,12.57,13.23,72600,9.364027
2011-01-03,13.72,13.77,11.87,12.98,101900,9.131857
2010-12-01,14.50,14.53,12.99,13.72,108100,9.5953
2010-11-01,14.93,15.05,12.65,14.45,117700,10.047373
2010-10-01,15.33,15.38,14.75,14.90,59400,10.305851
2010-09-01,15.60,15.66,15.05,15.28,74800,10.515635
2010-08-02,15.09,15.61,14.80,15.60,72800,10.682834
2010-07-01,14.47,15.15,14.43,15.02,62400,10.233096
2010-06-01,14.38,14.52,14.26,14.46,58400,9.800105
2010-05-03,14.55,14.59,13.89,14.37,66400,9.687391
2010-04-01,13.89,14.54,13.81,14.48,63400,9.710025
2010-03-01,13.66,13.88,13.60,13.84,88100,9.231381
2010-02-01,13.63,13.76,13.32,13.65,118200,9.054952
2010-01-04,13.80,14.17,13.45,13.50,79000,8.909622
2009-12-01,13.52,13.93,13.45,13.84,47400,9.08844
2009-11-02,13.28,13.53,13.01,13.50,45300,8.820267
2009-10-01,13.95,14.44,12.75,13.24,72900,8.60564
2009-09-01,13.56,14.29,13.53,13.95,89600,9.020106
2009-08-03,12.81,13.65,12.56,13.51,48600,8.691032
2009-07-01,12.14,13.13,12.05,12.85,61000,8.224934
2009-06-01,12.51,12.73,11.77,12.14,66400,7.729871
2009-05-01,12.38,12.83,12.19,12.54,56600,7.941034
2009-04-01,11.45,12.74,11.37,12.34,50600,7.779171
2009-03-02,11.45,11.62,10.79,11.45,90700,7.183334
2009-02-02,11.85,12.81,10.16,11.49,55100,7.171211
2009-01-02,10.09,12.47,10.07,11.85,79400,7.361954
2008-12-01,10.20,11.00,8.51,10.10,105800,6.245309
2008-11-03,10.85,11.80,9.45,10.13,64400,6.2241
2008-10-01,11.55,12.00,6.60,10.90,103900,6.663303
2008-09-02,13.10,13.20,10.85,11.15,56100,6.770636
2008-08-01,12.77,13.09,12.57,12.96,42000,7.835484
2008-07-01,12.94,13.29,12.39,12.77,41100,7.686232
2008-06-02,13.58,13.70,12.75,12.90,39400,7.730949
2008-05-01,13.47,13.70,13.35,13.59,43200,8.10995
2008-04-01,13.08,13.67,13.07,13.49,55200,8.016583
2008-03-03,12.60,13.28,12.19,13.01,77400,7.698959
2008-02-01,13.90,14.10,12.55,12.62,96000,7.434833
2008-01-02,13.29,14.16,13.22,13.90,64600,8.15558
2007-12-03,13.34,13.56,12.78,13.21,105800,7.719424
2007-11-01,13.20,13.32,12.39,13.24,83900,7.661895
2007-10-01,13.84,13.94,13.02,13.20,95300,7.60481
2007-09-04,13.54,14.11,13.54,13.78,39600,7.906122
2007-08-01,13.50,13.80,12.96,13.59,57000,7.765456
2007-07-02,13.75,13.84,13.36,13.46,32500,7.658938
2007-06-01,14.01,14.06,13.47,13.75,43200,7.791281
2007-05-01,14.39,14.56,13.91,13.96,38400,7.876975
2007-04-02,14.33,14.46,14.19,14.39,26600,8.087664
2007-03-01,14.18,14.49,14.18,14.30,38900,8.005
2007-02-01,14.13,14.27,14.01,14.18,47400,7.906579
2007-01-03,14.25,14.27,13.98,14.12,37100,7.841407
2006-12-01,14.45,14.80,13.90,14.20,46800,7.854113
2006-11-01,14.63,14.68,14.22,14.45,32400,7.960885
2006-10-02,14.58,14.61,14.16,14.48,28400,7.943967
