Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.75,15.75,15.59,15.60,44600,15.330154
2013-03-01,15.58,15.93,15.26,15.69,17500,15.418597
2013-02-01,16.15,16.190001,15.40,15.59,23500,15.320328
2013-01-02,15.76,16.370001,15.73,16.07,29300,15.792024
2012-12-03,14.95,15.50,14.87,15.50,35800,15.231884
2012-11-01,14.74,14.97,14.07,14.91,34700,14.573971
2012-10-01,14.73,15.11,14.50,14.69,23600,14.358929
2012-09-04,13.82,15.02,13.76,14.63,31600,14.300282
2012-08-01,14.04,14.33,13.59,13.89,38000,13.576959
2012-07-02,14.00,14.40,13.28,13.97,40600,13.655156
2012-06-01,13.00,14.00,12.90,13.99,43400,13.674705
2012-05-01,14.76,14.80,13.09,13.25,33700,12.951383
2012-04-02,14.56,14.92,14.04,14.60,49600,14.270958
2012-03-01,14.77,14.97,14.35,14.63,27700,14.300282
2012-02-01,14.26,14.97,14.26,14.75,22500,14.417577
2012-01-03,13.14,14.25,12.99,14.11,29700,13.792
2011-12-01,13.61,13.85,12.54,12.92,30300,12.628819
2011-11-01,13.54,14.29,12.40,13.65,32800,13.342367
2011-10-03,12.53,14.58,12.07,14.01,55200,13.694255
2011-09-01,14.63,14.75,12.45,12.55,51100,12.267159
2011-08-01,15.87,15.90,12.99,14.70,71700,14.368704
2011-07-01,15.84,16.16,15.21,15.72,70200,15.365716
2011-06-01,16.040001,16.040001,14.98,15.84,28100,15.483011
2011-05-02,16.41,16.49,15.20,16.07,33600,15.707828
2011-04-01,16.059999,16.440001,15.49,16.41,26000,16.040165
2011-03-01,15.10,16.00,14.59,15.95,35800,15.590532
2011-02-01,15.35,15.67,14.66,15.10,38600,14.759689
2011-01-03,16.50,16.799999,15.20,15.35,47800,15.004055
2010-12-01,16.00,16.52,15.53,16.360001,42600,15.991292
2010-11-01,16.32,17.440001,15.60,15.90,42800,15.461629
2010-10-01,15.51,16.32,15.51,16.18,30700,15.73391
2010-09-01,13.88,15.52,13.85,15.51,43800,15.082382
2010-08-02,14.08,14.41,13.50,13.67,24700,13.293112
2010-07-01,12.80,14.12,12.41,13.99,23700,13.604289
2010-06-01,12.61,13.78,12.31,12.70,25900,12.349854
2010-05-03,13.96,14.06,11.75,12.74,46900,12.38496
2010-04-01,14.10,14.59,13.78,13.96,32000,13.570961
2010-03-01,12.96,14.15,12.95,14.07,28700,13.677896
2010-02-01,12.81,13.26,11.78,12.89,31500,12.530781
2010-01-04,14.01,14.85,12.77,12.84,29600,12.482174
2009-12-01,14.28,14.45,13.44,13.97,30700,13.580683
2009-11-02,12.82,14.35,12.66,13.93,29000,13.359222
2009-10-01,13.19,14.08,12.50,12.90,71100,12.371426
2009-09-01,11.85,13.61,11.75,13.18,37300,12.639954
2009-08-03,12.50,12.83,11.14,11.93,40800,11.441172
2009-07-01,10.99,12.32,10.41,12.13,43700,11.632977
2009-06-01,11.58,11.72,10.22,10.92,40300,10.472556
2009-05-01,9.44,11.33,9.44,11.25,43600,10.789034
2009-04-01,7.98,9.65,7.98,9.32,48600,8.938115
2009-03-02,6.72,8.49,6.59,7.98,35600,7.653022
2009-02-02,7.35,8.33,6.73,7.01,35000,6.722767
2009-01-02,8.33,9.40,7.03,7.60,75200,7.288592
2008-12-01,8.59,10.05,7.33,8.21,78200,7.873598
2008-11-03,10.19,10.85,7.08,8.73,52300,7.391775
2008-10-01,12.99,13.36,7.50,9.76,85300,8.263886
2008-09-02,15.80,15.80,12.15,13.13,62500,11.117297
2008-08-01,17.190001,17.34,15.41,15.85,33600,13.420347
2008-07-01,17.35,18.360001,16.469999,17.25,110800,14.605741
2008-06-02,24.66,24.66,17.42,17.780001,47200,15.054498
2008-05-01,23.940001,25.43,23.68,24.60,49100,16.822111
2008-04-01,21.879999,24.00,21.73,23.75,39300,16.240858
2008-03-03,22.790001,23.02,18.26,21.360001,75200,14.606516
2008-02-01,22.84,24.290001,21.719999,22.780001,52800,15.577548
2008-01-02,25.24,26.85,20.110001,22.790001,168200,15.584386
2007-12-03,32.25,34.360001,23.299999,24.75,64200,16.924685
2007-11-01,34.93,35.029999,29.75,32.369999,71600,16.363426
2007-10-01,31.09,35.450001,30.940001,35.119999,70900,17.753586
2007-09-04,28.040001,31.190001,27.09,30.700001,36900,15.519222
2007-08-01,28.00,28.620001,22.40,28.030001,64400,14.169505
2007-07-02,27.299999,30.379999,27.299999,28.40,55500,14.356544
2007-06-01,28.65,29.85,26.77,27.280001,46200,13.790371
2007-05-01,27.49,30.58,27.15,28.42,74500,13.19809
2007-04-02,26.18,28.00,25.950001,27.360001,30500,12.705832
2007-03-01,25.719999,26.950001,24.34,26.040001,46200,12.092831
2007-02-01,25.879999,27.389999,24.700001,26.10,86200,12.120694
