Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,63.970001,64.230003,63.560001,63.700001,1496000,59.149136
2013-03-01,61.939999,64.099998,61.240002,64.029999,1508300,59.455559
2013-02-01,58.900002,62.509998,58.50,62.209999,1705300,57.523849
2013-01-02,56.139999,59.48,55.630001,58.389999,1879500,53.9916
2012-12-03,54.630001,55.77,53.779999,55.68,1630800,51.485741
2012-11-01,51.779999,54.860001,51.00,54.450001,2079400,50.109299
2012-10-01,50.849998,51.849998,49.490002,51.68,1684700,47.56012
2012-09-04,47.580002,51.919998,47.110001,50.549999,1755000,46.520199
2012-08-01,48.490002,48.57,45.610001,47.66,1943000,43.628761
2012-07-02,47.889999,48.599998,44.490002,48.34,2282200,44.251244
2012-06-01,47.240002,49.59,46.380001,48.110001,2426300,44.040699
2012-05-01,51.139999,52.060001,46.869999,48.080002,2346600,43.811634
2012-04-02,50.740002,51.849998,47.959999,51.029999,2542600,46.499741
2012-03-01,49.830002,52.779999,49.580002,50.830002,2564600,46.317501
2012-02-01,46.259998,51.060001,45.68,49.799999,2808000,45.179985
2012-01-03,46.889999,48.049999,44.18,46.41,2228700,42.104481
2011-12-01,46.490002,47.439999,45.279999,46.290001,2205000,41.995613
2011-11-01,45.490002,46.990002,43.360001,46.669998,2730400,42.140812
2011-10-03,41.880001,47.75,39.619999,46.91,2622900,42.357525
2011-09-01,42.169998,45.00,38.639999,41.900002,4082600,37.833733
2011-08-01,45.139999,45.200001,38.360001,42.09,5510400,37.800461
2011-07-01,46.130001,47.490002,43.23,44.889999,4688000,40.315102
2011-06-01,47.619999,47.91,44.73,46.040001,3322600,41.347904
2011-05-02,45.98,47.900002,44.57,47.869999,3012000,42.991398
2011-04-01,44.740002,47.639999,42.50,45.880001,3577100,41.204208
2011-03-01,38.68,44.939999,37.93,44.689999,4067600,40.135483
2011-02-01,38.91,40.509998,37.060001,38.639999,3684500,34.702061
2011-01-03,9.099938,40.369999,9.079938,38.77,5246400,34.818813
2010-12-01,7.869948,9.179937,7.819947,9.069941,8360700,32.928551
2010-11-01,8.139945,8.279944,7.64995,7.659948,6474400,27.809553
2010-10-01,8.559942,8.719941,7.699948,8.159945,8218200,29.6248
2010-09-01,7.64995,8.739942,7.64995,8.529943,5489800,30.968084
2010-08-02,7.599948,8.179945,7.289952,7.519949,7692400,27.301285
2010-07-01,6.539956,8.099946,6.359957,7.489948,10150800,27.192368
2010-06-01,6.769955,7.379951,6.499956,6.519956,6441800,23.670795
2010-05-03,7.169953,7.18995,6.249956,6.849953,7716800,24.868853
2010-04-01,7.099952,7.749947,6.739954,7.069951,7744500,25.667561
2010-03-01,6.779954,7.509951,6.609957,7.019952,5312500,25.48604
2010-02-01,6.229957,7.33995,6.159958,6.759954,11014900,24.542112
2010-01-04,7.879947,8.259944,6.039959,6.149957,14084800,22.327509
2009-12-01,8.069944,8.669943,7.669947,7.759948,7691700,28.172604
2009-11-02,8.969941,9.359937,7.869948,8.009947,10587000,29.080229
2009-10-01,8.509941,8.969941,7.709947,8.569941,9739400,31.113295
2009-09-01,7.35995,9.449934,6.999953,8.589941,10127800,31.185905
2009-08-03,7.249952,7.629947,6.969952,7.179952,5351500,26.066919
2009-07-01,6.639955,7.679948,5.909961,7.159952,5877300,25.994308
2009-06-01,6.149957,6.949955,5.91996,6.629954,6470700,24.070145
2009-05-01,5.499963,6.499956,5.119965,6.059959,5486200,22.000769
2009-04-01,4.099972,6.009961,4.059973,5.529964,5776900,20.076614
2009-03-02,3.439977,4.549968,2.97998,4.229972,5200800,15.356977
2009-02-02,4.359971,4.639969,3.399977,3.519976,6789300,12.779325
2009-01-02,4.449971,4.949965,4.029972,4.429969,4696300,16.083067
2008-12-01,4.239971,4.509968,3.849975,4.429969,5167700,16.083067
2008-11-03,5.339964,5.349965,2.99998,4.309972,7644600,15.462016
2008-10-01,7.089953,7.459949,3.999973,5.369962,7772800,19.264729
2008-09-02,9.559936,9.739934,6.519956,7.139952,6931500,25.614561
2008-08-01,8.799941,10.499929,8.559942,9.419936,6971500,33.59066
2008-07-01,7.249952,8.83994,6.619956,8.639942,7817900,30.809271
2008-06-02,9.299937,9.419936,7.199952,7.33995,7921400,26.173616
2008-05-01,9.959933,10.37993,9.019938,9.329935,4461600,33.082813
2008-04-01,9.499936,10.089933,8.849941,9.959933,6182400,35.316708
2008-03-03,10.049932,10.389931,8.979939,9.299937,7420000,32.976444
2008-02-01,12.899913,12.969912,9.829932,9.969934,8243300,35.175583
